word,category
baa baa,sounds
choo choo,sounds
cockadoodledoo,sounds
grrr,sounds
meow,sounds
moo,sounds
ouch,sounds
quack quack,sounds
uh oh,sounds
vroom,sounds
woof woof,sounds
yum yum,sounds
alligator,animals
animal,animals
ant,animals
bear,animals
bee,animals
bird,animals
bug,animals
bunny,animals
butterfly,animals
cat,animals
chicken,animals
cow,animals
deer,animals
dog,animals
donkey,animals
duck,animals
elephant,animals
fish,animals
frog,animals
giraffe,animals
goose,animals
hen,animals
horse,animals
kitty,animals
lamb,animals
lion,animals
monkey,animals
moose,animals
mouse,animals
owl,animals
penguin,animals
pig,animals
pony,animals
puppy,animals
rooster,animals
sheep,animals
squirrel,animals
teddybear,animals
tiger,animals
turkey,animals
turtle,animals
wolf,animals
zebra,animals
airplane,vehicles
bicycle,vehicles
boat,vehicles
bus,vehicles
car,vehicles
firetruck,vehicles
helicopter,vehicles
motorcycle,vehicles
sled,vehicles
stroller,vehicles
tractor,vehicles
train,vehicles
tricycle,vehicles
truck,vehicles
ball,toys
balloon,toys
bat,toys
block,toys
book,toys
bubbles,toys
chalk,toys
crayon,toys
doll,toys
game,toys
glue,toys
pen,toys
pencil,toys
play dough,toys
present,toys
puzzle,toys
story,toys
toy,toys
apple,food_drink
applesauce,food_drink
banana,food_drink
beans,food_drink
bread,food_drink
butter,food_drink
cake,food_drink
candy,food_drink
carrots,food_drink
cereal,food_drink
cheerios,food_drink
cheese,food_drink
chocolate,food_drink
coffee,food_drink
coke,food_drink
cookie,food_drink
corn,food_drink
cracker,food_drink
donut,food_drink
drink,food_drink
egg,food_drink
food,food_drink
french fries,food_drink
grapes,food_drink
green beans,food_drink
gum,food_drink
hamburger,food_drink
ice,food_drink
ice cream,food_drink
jello,food_drink
jelly,food_drink
juice,food_drink
lollipop,food_drink
meat,food_drink
melon,food_drink
milk,food_drink
muffin,food_drink
noodles,food_drink
nuts,food_drink
orange,food_drink
pancake,food_drink
peas,food_drink
peanut butter,food_drink
pickle,food_drink
pizza,food_drink
popcorn,food_drink
popsicle,food_drink
potato chip,food_drink
potato,food_drink
pretzel,food_drink
pudding,food_drink
pumpkin,food_drink
raisin,food_drink
salt,food_drink
sandwich,food_drink
sauce,food_drink
soda/pop,food_drink
soup,food_drink
spaghetti,food_drink
strawberry,food_drink
toast,food_drink
tuna,food_drink
vanilla,food_drink
vitamins,food_drink
water,food_drink
yogurt,food_drink
beads,clothing
belt,clothing
bib,clothing
boots,clothing
button,clothing
coat,clothing
diaper,clothing
dress,clothing
gloves,clothing
hat,clothing
jacket,clothing
jeans,clothing
mittens,clothing
necklace,clothing
pajamas,clothing
pants,clothing
scarf,clothing
shirt,clothing
shoe,clothing
shorts,clothing
slipper,clothing
sneaker,clothing
snowsuit,clothing
sock,clothing
sweater,clothing
tights,clothing
underpants,clothing
zipper,clothing
ankle,body_parts
arm,body_parts
belly button,body_parts
buttocks/bottom*,body_parts
cheek,body_parts
chin,body_parts
ear,body_parts
eye,body_parts
face,body_parts
finger,body_parts
foot,body_parts
hair,body_parts
hand,body_parts
head,body_parts
knee,body_parts
leg,body_parts
lips,body_parts
mouth,body_parts
nose,body_parts
owie/boo boo,body_parts
penis*,body_parts
shoulder,body_parts
toe,body_parts
tongue,body_parts
tooth,body_parts
tummy,body_parts
vagina*,body_parts
basket,household
blanket,household
bottle,household
bowl,household
box,household
broom,household
brush,household
bucket,household
camera,household
can,household
clock,household
comb,household
cup,household
dish,household
fork,household
garbage,household
glass,household
glasses,household
hammer,household
jar,household
keys,household
knife,household
lamp,household
light,household
medicine,household
money,household
mop,household
nail,household
napkin,household
paper,household
penny,household
picture,household
pillow,household
plant,household
plate,household
purse,household
radio,household
scissors,household
soap,household
spoon,household
tape,household
telephone,household
tissue/kleenex,household
toothbrush,household
towel,household
trash,household
tray,household
vacuum,household
walker,household
watch,household
basement,furniture_rooms
bathroom,furniture_rooms
bathtub,furniture_rooms
bed,furniture_rooms
bedroom,furniture_rooms
bench,furniture_rooms
chair,furniture_rooms
closet,furniture_rooms
couch,furniture_rooms
crib,furniture_rooms
door,furniture_rooms
drawer,furniture_rooms
dryer,furniture_rooms
garage,furniture_rooms
high chair,furniture_rooms
kitchen,furniture_rooms
living room,furniture_rooms
oven,furniture_rooms
play pen,furniture_rooms
porch,furniture_rooms
potty,furniture_rooms
rocking chair,furniture_rooms
refrigerator,furniture_rooms
room,furniture_rooms
shower,furniture_rooms
sink,furniture_rooms
sofa,furniture_rooms
stairs,furniture_rooms
stove,furniture_rooms
table,furniture_rooms
tv,furniture_rooms
window,furniture_rooms
washing machine,furniture_rooms
backyard,outside
cloud,outside
flag,outside
flower,outside
garden,outside
grass,outside
hose,outside
ladder,outside
lawn mower,outside
moon,outside
pool,outside
rain,outside
rock,outside
roof,outside
sandbox,outside
shovel,outside
sidewalk,outside
sky,outside
slide,outside
snow,outside
snowman,outside
sprinkler,outside
star,outside
stick,outside
stone,outside
street,outside
sun,outside
swing,outside
tree,outside
wind,outside
beach,places
camping,places
church*,places
circus,places
country,places
downtown,places
farm,places
gas station,places
home,places
house,places
movie,places
outside,places
park,places
party,places
picnic,places
playground,places
school,places
store,places
woods,places
work,places
yard,places
zoo,places
aunt,people
baby,people
babysitter,people
babysitter's name,people
boy,people
brother,people
child,people
clown,people
cowboy,people
daddy*,people
doctor,people
fireman,people
friend,people
girl,people
grandma*,people
grandpa*,people
lady,people
