metric,value,n,ci_lo,ci_hi
n_raters,2.0,,,
n_ratings,1880.0,,,
cant_tell_rate,0.0106,1880.0,,
median_rt_s,1.9995,1880.0,,
kripp_alpha_3level,0.6817,369.0,,
kripp_alpha_binary,0.6817,369.0,,
pairwise_kappa_3level,0.6813,1.0,,
pairwise_kappa_binary,0.6813,1.0,,
n_items_rated,1491.0,,,
n_items_ge2_raters,369.0,,,
n_items_tie_excluded,58.0,,,
spearman_gemini_vs_human,0.6337,1491.0,,
binary_kappa,0.6248,1433.0,0.5805,0.6653
binary_agree,0.8137,1433.0,0.7927,0.8339
binary_precision,0.7877,1433.0,0.7562,0.8196
binary_recall,0.8059,1433.0,0.7725,0.8349
binary_f1,0.7966,1433.0,0.7725,0.8205
binary_w_precision,0.7898,1433.0,0.7577,0.8215
binary_w_recall,0.468,1433.0,0.4024,0.5457
binary_w_f1,0.5878,1433.0,0.5306,0.6455
binary_w_human_aligned_rate,0.1841,1433.0,0.1591,0.2108
binary_w_gemini_aligned_rate,0.1091,1433.0,0.0983,0.1211
human_mean_0_noun,17.7928,444.0,,
human_aligned_0_noun,0.1678,444.0,,
human_mean_0_other,10.2349,298.0,,
human_aligned_0_other,0.0956,298.0,,
human_mean_1-49,54.5,50.0,,
human_aligned_1-49,0.5532,50.0,,
human_mean_50-60,59.3333,150.0,,
human_aligned_50-60,0.6058,150.0,,
human_mean_70-75,76.3423,149.0,,
human_aligned_70-75,0.7724,149.0,,
human_mean_80,78.8333,150.0,,
human_aligned_80,0.8143,150.0,,
human_mean_90-95,92.5,100.0,,
human_aligned_90-95,0.9293,100.0,,
human_mean_100,83.3333,150.0,,
human_aligned_100,0.8531,150.0,,
fn_rate_0_noun,0.1678,429.0,,
fn_rate_0_other,0.0956,293.0,,
referent_n_ratings,56.0,,,
referent_match_exact,0.5714,56.0,,
referent_match_lemma,0.75,56.0,,
referent_match_synonym,0.75,56.0,,
referent_item_majority_lemma,0.75,56.0,,
per_child_agree_n_children,37.0,,,
per_child_agree_min,0.5952,,,
per_child_agree_max,0.9512,,,
per_child_agree_sd,0.0786,,,
per_child_agree_below_0.7,3.0,,,
