metric,value,n,ci_lo,ci_hi
n_raters,3.0,,,
n_ratings,3391.0,,,
cant_tell_rate,0.0068,3391.0,,
median_rt_s,1.859,3391.0,,
kripp_alpha_3level,0.7344,1488.0,,
kripp_alpha_binary,0.7344,1488.0,,
pairwise_kappa_3level,0.7136,3.0,,
pairwise_kappa_binary,0.7136,3.0,,
n_items_rated,1500.0,,,
n_items_ge2_raters,1488.0,,,
n_items_tie_excluded,144.0,,,
spearman_gemini_vs_human,0.7201,1500.0,,
binary_kappa,0.7269,1356.0,0.6889,0.7636
binary_agree,0.8643,1356.0,0.8451,0.8827
binary_precision,0.8636,1356.0,0.836,0.8931
binary_recall,0.8418,1356.0,0.8103,0.8694
binary_f1,0.8526,1356.0,0.8309,0.8728
binary_w_precision,0.8644,1356.0,0.8375,0.8938
binary_w_recall,0.5505,1356.0,0.4695,0.6372
binary_w_f1,0.6726,1356.0,0.6079,0.7343
binary_w_human_aligned_rate,0.1653,1356.0,0.1431,0.1921
binary_w_gemini_aligned_rate,0.1053,1356.0,0.0941,0.1166
R3_binary_precision,0.7447,381.0,0.6839,0.8035
R3_binary_recall,0.8383,381.0,0.7797,0.8924
R3_binary_f1,0.7887,381.0,0.739,0.8312
R3_binary_w_precision,0.7438,381.0,0.6819,0.8025
R3_binary_w_recall,0.5476,381.0,0.4036,0.7231
R3_binary_w_f1,0.6308,381.0,0.5193,0.7408
R3_binary_agree,0.8031,381.0,0.7612,0.8425
R3_binary_kappa,0.6057,381.0,0.5217,0.6813
R2_binary_precision,0.8541,1497.0,0.8303,0.8778
R2_binary_recall,0.8201,1497.0,0.7906,0.8477
R2_binary_f1,0.8367,1497.0,0.8146,0.8552
R2_binary_w_precision,0.8544,1497.0,0.8293,0.879
R2_binary_w_recall,0.4985,1497.0,0.433,0.5808
R2_binary_w_f1,0.6296,1497.0,0.5722,0.6923
R2_binary_agree,0.8444,1497.0,0.8263,0.8611
R2_binary_kappa,0.6881,1497.0,0.6523,0.7211
R1_binary_precision,0.7797,1490.0,0.7482,0.8094
R1_binary_recall,0.8027,1490.0,0.7742,0.8328
R1_binary_f1,0.791,1490.0,0.7675,0.8147
R1_binary_w_precision,0.7809,1490.0,0.7481,0.8111
R1_binary_w_recall,0.4573,1490.0,0.3942,0.5304
R1_binary_w_f1,0.5768,1490.0,0.5222,0.6348
R1_binary_agree,0.8067,1490.0,0.7872,0.8268
R1_binary_kappa,0.6113,1490.0,0.5708,0.6522
human_mean_0_noun,16.1852,450.0,,
human_aligned_0_noun,0.1313,450.0,,
human_mean_0_other,9.9444,300.0,,
human_aligned_0_other,0.0707,300.0,,
human_mean_1-49,61.0,50.0,,
human_aligned_1-49,0.6579,50.0,,
human_mean_50-60,63.0,150.0,,
human_aligned_50-60,0.6975,150.0,,
human_mean_70-75,80.2222,150.0,,
human_aligned_70-75,0.8473,150.0,,
human_mean_80,82.8889,150.0,,
human_aligned_80,0.8797,150.0,,
human_mean_90-95,95.0,100.0,,
human_aligned_90-95,0.9688,100.0,,
human_mean_100,88.1111,150.0,,
human_aligned_100,0.9343,150.0,,
fn_rate_0_noun,0.1313,419.0,,
fn_rate_0_other,0.0707,283.0,,
referent_n_ratings,61.0,,,
referent_match_exact,0.541,61.0,,
referent_match_lemma,0.7213,61.0,,
referent_match_synonym,0.7213,61.0,,
referent_item_majority_lemma,0.7213,61.0,,
per_child_agree_n_children,36.0,,,
per_child_agree_min,0.7105,,,
per_child_agree_max,1.0,,,
per_child_agree_sd,0.0649,,,
per_child_agree_below_0.7,0.0,,,
