who,threshold,n_items,n_gemini_pos,corpus_share,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,f1,f1_lo,f1_hi,w_precision,w_precision_lo,w_precision_hi,w_recall,w_recall_lo,w_recall_hi,w_f1,w_f1_lo,w_f1_hi
consensus,50,1315,590,0.1116,0.8763,0.8475,0.9054,0.8448,0.8149,0.875,0.8602,0.8368,0.8857,0.8773,0.8475,0.9064,0.5562,0.4848,0.6366,0.6808,0.6186,0.7425
consensus,60,1315,480,0.0883,0.9167,0.8888,0.9395,0.719,0.6833,0.7546,0.8059,0.7797,0.8311,0.9172,0.8878,0.939,0.4746,0.4078,0.5416,0.6255,0.5633,0.6815
consensus,70,1315,479,0.088,0.9165,0.8949,0.9418,0.7173,0.6804,0.7533,0.8048,0.7798,0.8293,0.9171,0.8951,0.9423,0.4735,0.401,0.5628,0.6245,0.5572,0.7006
consensus,80,1315,351,0.0676,0.9373,0.9142,0.959,0.5376,0.4988,0.5768,0.6833,0.6489,0.7132,0.934,0.9083,0.9583,0.3726,0.3207,0.4368,0.5327,0.4769,0.596
consensus,90,1315,226,0.0372,0.9602,0.9324,0.9814,0.3546,0.3191,0.3939,0.5179,0.479,0.5586,0.9626,0.9354,0.9823,0.2193,0.1856,0.2571,0.3573,0.3107,0.4057
consensus,100,1315,131,0.0195,0.9466,0.8972,0.9838,0.2026,0.1711,0.2335,0.3338,0.2893,0.376,0.9466,0.8972,0.9838,0.1088,0.0857,0.1316,0.1952,0.1573,0.2308
R2,50,1497,699,0.1116,0.8541,0.8288,0.8793,0.8201,0.792,0.8455,0.8367,0.8177,0.8556,0.8544,0.8292,0.8806,0.4985,0.4313,0.5698,0.6296,0.5751,0.6841
R2,60,1497,551,0.0883,0.9038,0.8783,0.9279,0.6841,0.6463,0.7172,0.7787,0.753,0.8024,0.9034,0.8764,0.9291,0.4169,0.3602,0.4756,0.5706,0.5162,0.6253
R2,70,1497,549,0.088,0.9035,0.8821,0.9268,0.6813,0.651,0.7135,0.7768,0.7538,0.7989,0.9031,0.8799,0.9269,0.4153,0.36,0.4784,0.5689,0.5155,0.6288
R2,80,1497,399,0.0676,0.9248,0.8945,0.9498,0.5069,0.4694,0.5408,0.6548,0.6229,0.6843,0.9202,0.8871,0.9491,0.3248,0.2822,0.3746,0.4801,0.4321,0.5336
R2,90,1497,250,0.0372,0.956,0.932,0.9778,0.3283,0.2959,0.3653,0.4888,0.4517,0.5289,0.959,0.9344,0.9801,0.1866,0.1541,0.2249,0.3124,0.2652,0.3631
R2,100,1497,150,0.0195,0.94,0.8993,0.9729,0.1937,0.1678,0.2224,0.3212,0.2845,0.3598,0.94,0.8993,0.9729,0.0962,0.0807,0.1172,0.1745,0.1486,0.2082
R1,50,1490,699,0.1116,0.7797,0.7471,0.8109,0.8027,0.7757,0.8309,0.791,0.7664,0.8138,0.7809,0.7458,0.8117,0.4573,0.3934,0.5256,0.5768,0.5182,0.6316
R1,60,1490,551,0.0883,0.8203,0.7885,0.8524,0.6657,0.6285,0.699,0.735,0.7039,0.7612,0.8211,0.7877,0.8531,0.3804,0.3288,0.442,0.52,0.4712,0.577
R1,70,1490,549,0.088,0.8215,0.7833,0.8581,0.6642,0.6267,0.7027,0.7345,0.7056,0.7625,0.8223,0.7873,0.8571,0.3796,0.3224,0.4381,0.5194,0.4608,0.5757
R1,80,1490,400,0.0676,0.8425,0.8146,0.8755,0.4963,0.4586,0.5334,0.6247,0.5926,0.6592,0.8394,0.8108,0.8731,0.2981,0.2549,0.3528,0.44,0.3882,0.4985
R1,90,1490,250,0.0372,0.876,0.832,0.9141,0.3225,0.2904,0.3581,0.4715,0.4341,0.5096,0.8827,0.8437,0.9193,0.1723,0.1457,0.2037,0.2883,0.2498,0.3305
R1,100,1490,150,0.0195,0.84,0.773,0.8973,0.1856,0.1604,0.217,0.304,0.267,0.346,0.84,0.773,0.8973,0.0862,0.0721,0.1076,0.1563,0.1324,0.1907
