who,threshold,n_items,n_gemini_pos,corpus_share,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,f1,f1_lo,f1_hi,w_precision,w_precision_lo,w_precision_hi,w_recall,w_recall_lo,w_recall_hi,w_f1,w_f1_lo,w_f1_hi
consensus,50,1356,616,0.1116,0.8636,0.8336,0.8891,0.8418,0.8103,0.8686,0.8526,0.8281,0.8725,0.8644,0.8345,0.8886,0.5505,0.4669,0.6339,0.6726,0.6069,0.7329
consensus,60,1356,498,0.0883,0.9036,0.8796,0.9277,0.712,0.6734,0.7431,0.7965,0.7716,0.8193,0.9038,0.8791,0.9288,0.4669,0.4048,0.5399,0.6157,0.5595,0.675
consensus,70,1356,497,0.088,0.9034,0.8779,0.9289,0.7104,0.6734,0.7412,0.7954,0.7667,0.8196,0.9036,0.8783,0.9299,0.4659,0.3958,0.5318,0.6148,0.5503,0.6708
consensus,80,1356,366,0.0676,0.9235,0.8967,0.9477,0.5348,0.5028,0.5768,0.6774,0.6481,0.7109,0.9199,0.8902,0.9454,0.368,0.3174,0.4349,0.5257,0.4704,0.5897
consensus,90,1356,233,0.0372,0.9485,0.9165,0.9775,0.3497,0.312,0.384,0.511,0.4668,0.5483,0.9511,0.9215,0.9783,0.2142,0.1763,0.2564,0.3496,0.2973,0.4048
consensus,100,1356,137,0.0195,0.9343,0.894,0.9742,0.2025,0.1746,0.2328,0.3329,0.2942,0.374,0.9343,0.894,0.9742,0.108,0.0875,0.1317,0.1936,0.1601,0.2314
R3,50,381,188,0.1116,0.7447,0.6758,0.7952,0.8383,0.783,0.8948,0.7887,0.7341,0.8272,0.7438,0.6717,0.7944,0.5476,0.425,0.7356,0.6308,0.534,0.7444
R3,60,381,152,0.0883,0.8224,0.7561,0.8799,0.7485,0.6869,0.8097,0.7837,0.7297,0.8291,0.8212,0.76,0.8792,0.4889,0.3783,0.6381,0.6129,0.5165,0.7249
R3,70,381,152,0.088,0.8224,0.7581,0.881,0.7485,0.6771,0.8069,0.7837,0.721,0.8268,0.8212,0.7583,0.8805,0.4889,0.377,0.6695,0.6129,0.5173,0.7339
R3,80,381,115,0.0676,0.8261,0.75,0.8856,0.5689,0.4885,0.6398,0.6738,0.604,0.7264,0.824,0.7478,0.8813,0.3873,0.2942,0.5148,0.5269,0.429,0.638
R3,90,381,77,0.0372,0.8442,0.7561,0.9195,0.3892,0.3219,0.4571,0.5328,0.4643,0.5981,0.8478,0.7574,0.9168,0.2358,0.1687,0.3288,0.369,0.2795,0.475
R3,100,381,52,0.0195,0.8269,0.7274,0.93,0.2575,0.2012,0.3285,0.3927,0.3218,0.4754,0.8269,0.7274,0.93,0.1393,0.0908,0.2028,0.2385,0.165,0.3273
R2,50,1497,699,0.1116,0.8541,0.8276,0.8798,0.8201,0.7949,0.8485,0.8367,0.8175,0.8554,0.8544,0.83,0.88,0.4985,0.4412,0.5711,0.6296,0.5799,0.6852
R2,60,1497,551,0.0883,0.9038,0.8785,0.925,0.6841,0.6555,0.7188,0.7787,0.7553,0.805,0.9034,0.8771,0.9246,0.4169,0.3625,0.4795,0.5706,0.5184,0.6284
R2,70,1497,549,0.088,0.9035,0.877,0.9274,0.6813,0.6474,0.7117,0.7768,0.7517,0.8,0.9031,0.8773,0.9259,0.4153,0.3604,0.4835,0.5689,0.5123,0.6315
R2,80,1497,399,0.0676,0.9248,0.8994,0.9475,0.5069,0.4741,0.5475,0.6548,0.6259,0.688,0.9202,0.8928,0.9453,0.3248,0.2767,0.3753,0.4801,0.4242,0.5337
R2,90,1497,250,0.0372,0.956,0.9256,0.9767,0.3283,0.2928,0.3575,0.4888,0.4475,0.5209,0.959,0.9318,0.978,0.1866,0.1569,0.2205,0.3124,0.2696,0.3587
R2,100,1497,150,0.0195,0.94,0.9006,0.9761,0.1937,0.1665,0.2205,0.3212,0.2831,0.3576,0.94,0.9006,0.9761,0.0962,0.0784,0.1164,0.1745,0.1442,0.2068
R1,50,1490,699,0.1116,0.7797,0.7492,0.8161,0.8027,0.7723,0.8308,0.791,0.7671,0.8146,0.7809,0.75,0.8158,0.4573,0.3997,0.5313,0.5768,0.5286,0.6354
R1,60,1490,551,0.0883,0.8203,0.7906,0.8528,0.6657,0.6239,0.6999,0.735,0.7091,0.7611,0.8211,0.7906,0.8538,0.3804,0.3204,0.4533,0.52,0.463,0.5868
R1,70,1490,549,0.088,0.8215,0.7925,0.854,0.6642,0.629,0.6985,0.7345,0.7059,0.7609,0.8223,0.7915,0.8543,0.3796,0.3281,0.4316,0.5194,0.4672,0.5663
R1,80,1490,400,0.0676,0.8425,0.8089,0.8792,0.4963,0.4619,0.5358,0.6247,0.5933,0.6611,0.8394,0.802,0.8787,0.2981,0.2594,0.3478,0.44,0.396,0.4927
R1,90,1490,250,0.0372,0.876,0.8343,0.9182,0.3225,0.2872,0.359,0.4715,0.4284,0.5104,0.8827,0.8447,0.9229,0.1723,0.1437,0.2034,0.2883,0.2472,0.3307
R1,100,1490,150,0.0195,0.84,0.7724,0.9007,0.1856,0.1595,0.2149,0.304,0.2668,0.3433,0.84,0.7724,0.9007,0.0862,0.0711,0.1074,0.1563,0.1313,0.1907
