encoder,N,seed,acc
dinov3b,3000,0,25.3
dinov3b,3000,1,24.462
dinov3b,3000,2,28.375
dinov3b,3000,3,25.4
dinov3b,3000,4,27.0
dinov3b,3000,5,23.712
dinov3b,3000,6,25.4
dinov3b,3000,7,26.9
dinov3b,10000,0,32.575
dinov3b,10000,1,30.125
dinov3b,10000,2,24.85
dinov3b,10000,3,29.025
dinov3b,10000,4,30.775
dinov3b,10000,5,31.25
dinov3b,10000,6,23.588
dinov3b,10000,7,27.112
dinov3b,30000,0,39.325
dinov3b,30000,1,40.1
dinov3b,30000,2,39.55
dinov3b,30000,3,33.4
dinov3b,30000,4,41.375
dinov3b,30000,5,34.4
dinov3b,30000,6,36.325
dinov3b,30000,7,35.625
dinov3b,100000,0,59.925
dinov3b,100000,1,52.912
dinov3b,100000,2,53.562
dinov3b,100000,3,51.7
dinov3b,100000,4,53.15
dinov3b,100000,5,56.0
dinov3b,100000,6,55.088
dinov3b,100000,7,50.388
dinov3b,300000,0,66.95
dinov3b,300000,1,65.812
dinov3b,300000,2,65.037
dinov3b,300000,3,70.112
dinov3b,300000,4,65.287
dinov3b,1000000,0,79.888
dinov3b,1000000,1,80.225
dinov3b,1000000,2,78.725
dinov3b,1686105,0,82.05
dinov3b,1686105,1,82.338
dinov3b,1686105,2,82.575
dinov3l,3000,0,26.988
dinov3l,3000,1,24.675
dinov3l,3000,2,27.062
dinov3l,3000,3,28.512
dinov3l,3000,4,25.5
dinov3l,3000,5,24.15
dinov3l,3000,6,28.05
dinov3l,3000,7,31.05
dinov3l,10000,0,35.625
dinov3l,10000,1,31.712
dinov3l,10000,2,38.262
dinov3l,10000,3,43.175
dinov3l,10000,4,32.962
dinov3l,10000,5,33.0
dinov3l,10000,6,34.012
dinov3l,10000,7,27.35
dinov3l,30000,0,46.412
dinov3l,30000,1,46.138
dinov3l,30000,2,37.175
dinov3l,30000,3,47.0
dinov3l,30000,4,39.688
dinov3l,30000,5,40.512
dinov3l,30000,6,48.575
dinov3l,30000,7,41.562
dinov3l,100000,0,65.95
dinov3l,100000,1,63.988
dinov3l,100000,2,53.312
dinov3l,100000,3,54.05
dinov3l,100000,4,54.125
dinov3l,100000,5,63.175
dinov3l,100000,6,60.862
