"user_id","run_id","dataset","language","score","score_se","age","num_attempted","adaptive"
"Dq45fla7GZy8pTetuOaj","UHSpEIZDzLdyes3sOs1W","pilot_western_ca_main","en-US",-0.19,0.4,7,60,TRUE
"Ag2JMyOh89swTZM1cLZh","64gTQXEwTNPWTQg0ADeF","pilot_western_ca_main","en-US",-0.86,0.36,6,68,TRUE
"JBnYuzKwGOj33HlbIwmG","stWHaHzNEXs2snR5noY9","pilot_western_ca_main","en-US",-1.5,0.33,6.8,74,TRUE
"dUnEU1Dk18GIqWdIWWnU","SKxjbirfMmrT1Cd2ofPJ","pilot_western_ca_main","en-US",-0.88,0.37,5.5,60,TRUE
"K8go9epnJ7EekcJs3Pur","Fr8WXGkRaLi8GHnOeMQD","pilot_western_ca_main","en-US",-1.68,0.32,5.8,89,TRUE
"9sj1XfTKcE8LPC1m8Y5v","T535BKnQvItTfyfQavLZ","pilot_western_ca_main","en-US",0.31,0.42,6.4,43,TRUE
"AgstWPo9ckHKHutz7AAy","hCVi5Z6Jop238pzlDiUH","pilot_western_ca_main","en-US",-1.23,0.36,7,56,TRUE
"hObQbFyGdyDiTyCzkmH3","0BkvlrdEO3ooqlrVhe91","pilot_western_ca_main","en-US",-1.23,0.36,6.5,61,TRUE
"Fvdb4O5LlQzUpzLBMiZS","vv7s3TSAju8AQSJfCjDn","pilot_western_ca_main","en-US",-2.71,0.4,5.4,67,TRUE
"87MvhCJNdpWSkQ3GeOIw","1PhDFHmGKj8ElCzv6wTq","pilot_western_ca_main","en-US",0.12,0.39,7.7,51,TRUE
"IHfdGyDsrgvZO4W9e7md","hq35qBABaawuRpnfCkHm","pilot_western_ca_main","en-US",-1.51,0.38,12.6,51,TRUE
"7kJYEwSVJOT7Szbdxjx8","cdciSlFYI5tXBJrbFr7T","pilot_western_ca_main","en-US",-2.51,0.36,7.1,66,TRUE
"kANvp1nRXUcIVuiGv0xO","pGkb05n8BYoFN6b5i236","pilot_western_ca_main","en-US",-2.49,0.37,5.5,77,TRUE
"lc7fwI0lyBuN8LVdztOZ","QkmSa5M84HwfSvNEtF3e","pilot_western_ca_main","en-US",-3.34,0.43,6.5,84,TRUE
"EggCdbIdGsnBcuNPtPet","QCtTUQ5HU3Of9sIzGcHi","pilot_western_ca_main","en-US",-1.13,0.55,5.8,24,TRUE
"Q53zLxnpAgFXai8df3DK","UWmhNr4fdoye7DhvMeZF","pilot_western_ca_main","en-US",0.25,0.42,6.6,43,TRUE
"YEVwOoD6x9tCw5D64pA2","wBMwInR8xwf5ilxw9Exe","pilot_western_ca_main","en-US",-1.87,0.37,5.7,55,TRUE
"ULktxKXoPhE6fKLP8PmL","xkajgIwLcwdFIIUTWVHI","pilot_western_ca_main","en-US",0.85,0.78,6.6,20,TRUE
"EZTo2p4fIYWmNN6KzGRe","diBNzc79FwUUWQS7mDLS","pilot_western_ca_main","en-US",-0.33,0.39,6.6,46,TRUE
"9wn3CEWfvEXGe0sPgxCr","pM3Ht36UrfDDHhVndwt4","pilot_western_ca_main","en-US",-2.27,0.46,6.3,36,TRUE
"C0lmZvANktAueDqkSF0v","cYgvmPB39GIGAVrf89Ba","pilot_western_ca_main","en-US",-0.42,0.35,6,60,TRUE
"qZTJ9xGffq7UQS0ydEsy","EpgHbSkGsn1VTmgaYEme","pilot_western_ca_main","en-US",-0.02,0.37,7,59,TRUE
"CnyHY3XaQOfMyODXXV73","LRaDWzJ4S7PZKbNaD2dq","pilot_western_ca_main","en-US",-0.52,0.53,7.5,29,TRUE
"3zVkvgDIPIR8sKgPaYtq","3TXh7DVdFC1SQcNdNb02","pilot_western_ca_main","en-US",-0.1,0.82,11.6,12,TRUE
"QDsuISzwGTOFaGtoaaHd","NSE1I3WwJk3rLRa9xXKe","pilot_western_ca_main","en-US",-1.28,0.34,12.6,67,TRUE
"R7NmxKP068PsCzXhOMpv","CqrPUn1Zg4ls20vWV6AS","pilot_western_ca_main","en-US",-0.75,0.38,6.5,56,TRUE
"ldWYPVfOXiPWdaQSwtup","oXKHCPm70UAxsM1psyRW","pilot_western_ca_main","en-US",-0.38,0.33,6.4,68,TRUE
"dw5Lm1FH9hY4eGpOddtB","O01Ww6FBowaHl7or7NRm","pilot_western_ca_main","en-US",0.34,0.45,8,51,TRUE
"6DxuHk9CCWhtvMrEySLb","ve3YgEabtL2DMoW4dxih","pilot_western_ca_main","en-US",-0.46,0.42,9.9,47,TRUE
"5bShSQJUwaG7lIqZ6fzs","bvlKFZQoMtwhkc6tzUWw","pilot_western_ca_main","en-US",1.37,0.61,12.8,33,TRUE
"EyRMFEJvpwX2xx4i4oLk","OUMhhW1o37yVDh4mPMil","pilot_western_ca_main","en-US",2.03,0.48,11.9,45,TRUE
"Wh2N9ihJ8XNHffYiFQPV","ahxL1yPGNMVcO2vqoMam","pilot_western_ca_main","en-US",-0.07,0.4,8.1,60,TRUE
"mi1BVahrNUX66yaTTxxH","Sjr7zUz8SgTzUzjiYjZJ","pilot_western_ca_main","en-US",-0.17,0.32,9.8,80,TRUE
"BTvVlbDcOhkRa9mZrI2i","gjWPnxezMVpqeVGUtyks","pilot_western_ca_main","en-US",0.02,0.4,9.2,52,TRUE
"Yjq7Jxhg9I02MjakBhHT","He173jSWjXuLbqPY9Von","pilot_western_ca_main","en-US",1.31,0.52,12.1,35,TRUE
"08JcpMWL9gFwxNqry7sA","JwZaF740yNgv6H2bTUii","pilot_western_ca_main","en-US",1.74,0.8,10.7,18,TRUE
"Ip3nv7sCA9Q8kw18v5nU","D7eEq9aeVVh41yQZvCsx","pilot_western_ca_main","en-US",0.87,0.4,10.8,55,TRUE
"nBBZ5SNX09w3WOVDWgJz","OU1FO0wY99DjKXSE8DOI","pilot_western_ca_main","en-US",0.09,0.44,9,39,TRUE
"HCv5SVzbrug6Tdwt4edf","PmAXa1qqEiI9OyT8QaVt","pilot_western_ca_main","en-US",0.46,0.41,9.5,46,TRUE
"XL9AiPI49TDZhjtUoDNN","WOsMBVPSHRwZslAH9JYX","pilot_western_ca_main","en-US",2.5,0.47,9.3,52,TRUE
"rnFaSVKD0fvdT22vwys4","HIXVJQbZfG1ZzCBmPutj","pilot_western_ca_main","en-US",0.41,0.43,8.6,43,TRUE
"xa4ZDadXSIMJvpIGvl0M","IHd61GJtklgtdAm6ACXW","pilot_western_ca_main","en-US",2.05,0.4,10.7,68,TRUE
"gvYNkswITCYZYKUbm45H","oHOe37uqh1houCDkDKjS","pilot_western_ca_main","en-US",-0.12,0.4,10.2,62,TRUE
"IdJSBNV7hhdKi4158PpG","EpqtxHu2vaihXx6KT7pW","pilot_western_ca_main","en-US",-0.27,0.44,10.7,38,TRUE
