category,n,within,between,gap_overall,null_mean,null_sd,p_perm
animals,33,0.07053807377815247,0.008659915998578072,0.0459923,-5.1524054e-05,0.0015608856,0.0
food_drink,23,0.04743047058582306,0.004444184247404337,0.0459923,-5.1524054e-05,0.0015608856,0.0
vehicles,10,0.08698541671037674,0.010491115041077137,0.0459923,-5.1524054e-05,0.0015608856,0.0
toys,11,0.024835683405399323,0.013902486301958561,0.0459923,-5.1524054e-05,0.0015608856,0.0
clothing,16,0.05832401290535927,0.011331940069794655,0.0459923,-5.1524054e-05,0.0015608856,0.0
body_parts,7,0.0752592608332634,0.004095116164535284,0.0459923,-5.1524054e-05,0.0015608856,0.0
household,24,0.03401082009077072,0.01074571069329977,0.0459923,-5.1524054e-05,0.0015608856,0.0
furniture_rooms,13,0.06135969236493111,0.014630885794758797,0.0459923,-5.1524054e-05,0.0015608856,0.0
outside,13,0.0516347698867321,0.010055308230221272,0.0459923,-5.1524054e-05,0.0015608856,0.0
places,8,0.03789655491709709,0.008880828507244587,0.0459923,-5.1524054e-05,0.0015608856,0.0
