category,n,within,between,gap_overall,null_mean,null_sd,p_perm
animals,39,0.0758465975522995,0.010435105301439762,0.043840505,-1.4132805e-06,0.0012705233,0.0
food_drink,35,0.048439204692840576,0.003637160873040557,0.043840505,-1.4132805e-06,0.0012705233,0.0
vehicles,11,0.09267105907201767,0.01312266942113638,0.043840505,-1.4132805e-06,0.0012705233,0.0
toys,16,0.02693733014166355,0.011591440998017788,0.043840505,-1.4132805e-06,0.0012705233,0.0
clothing,19,0.0651421993970871,0.014025854878127575,0.043840505,-1.4132805e-06,0.0012705233,0.0
body_parts,7,0.09875790029764175,0.0080350860953331,0.043840505,-1.4132805e-06,0.0012705233,0.0
household,31,0.02832426130771637,0.013133395463228226,0.043840505,-1.4132805e-06,0.0012705233,0.0
furniture_rooms,20,0.05836207792162895,0.015820704400539398,0.043840505,-1.4132805e-06,0.0012705233,0.0
outside,22,0.0470627062022686,0.007690278813242912,0.043840505,-1.4132805e-06,0.0012705233,0.0
places,7,0.009824248030781746,0.0118204141035676,0.043840505,-1.4132805e-06,0.0012705233,0.0
