family,seed,category,n,within,between,gap,null_mean,null_sd,null_lo,null_hi,p_perm,n_perm
F_dinov3b_base,0,animals,38,0.07008271664381027,0.010994331911206245,0.059088386595249176,8.30969586968422e-06,0.0026743016468145954,-0.004611645010299981,0.005841200542636215,0.0,5000
F_dinov3b_base,0,food_drink,29,0.04904374107718468,0.004138140939176083,0.04490559920668602,2.5970375444740056e-05,0.0033423246996667493,-0.0060148144140839575,0.007297197589650735,0.0,5000
F_dinov3b_base,0,vehicles,11,0.08030954003334045,0.008542204275727272,0.07176733762025833,-7.168033206835388e-05,0.007946202386065653,-0.014458312583155929,0.016983208991587152,0.0,5000
F_dinov3b_base,0,toys,10,0.02429208718240261,0.012309838086366653,0.011982249096035957,-8.890032218769192e-05,0.008650436242782675,-0.015577488741837441,0.01798757934011517,0.0824,5000
F_dinov3b_base,0,clothing,17,0.07050089538097382,0.011937597766518593,0.05856329947710037,-8.637086916714906e-05,0.005252205568958082,-0.009453220199793576,0.010841319896280765,0.0,5000
F_dinov3b_base,0,body_parts,7,0.11151045560836792,0.0066640861332416534,0.10484637320041656,9.723124857991934e-05,0.012742702340955883,-0.022687445022165777,0.02731808694079517,0.0,5000
F_dinov3b_base,0,household,21,0.028412891551852226,0.01175990141928196,0.016652990132570267,-1.3453306816518306e-05,0.004350301996831161,-0.007757027796469629,0.009349172655493019,0.0016,5000
F_dinov3b_base,0,furniture_rooms,15,0.05869098752737045,0.015520802699029446,0.04317018389701843,0.00014436682788655162,0.005984818597122717,-0.010487101599574089,0.012884475430473684,0.0,5000
F_dinov3b_base,0,outside,16,0.053571589291095734,0.010623754933476448,0.042947836220264435,-6.923418808728457e-05,0.005637990886565012,-0.010212331241928042,0.012133497325703489,0.0,5000
F_dinov3b_base,0,places,5,0.03699936717748642,0.014574538916349411,0.02242482826113701,0.00019865551805123687,0.017888579362229005,-0.03194556999951601,0.03750526811927548,0.1028,5000
F_dinov3b_base,0,ALL,169,0.05828148126602173,0.010283179581165314,0.047998301684856415,4.903827793896198e-06,0.0015947068478487155,-0.0029821314848959444,0.0032610114198177993,0.0,5000
F_dinov3b_base,1,animals,38,0.06938889622688293,0.01046220026910305,0.058926694095134735,6.546897161751986e-06,0.002556258525547428,-0.004557147668674588,0.005445413826964794,0.0,5000
F_dinov3b_base,1,food_drink,29,0.046109993010759354,0.004261136054992676,0.04184885695576668,1.0308020282536745e-05,0.0031769704370797295,-0.005634356406517327,0.006806565960869192,0.0,5000
F_dinov3b_base,1,vehicles,11,0.08418738842010498,0.009388851933181286,0.07479853928089142,-1.952131111174822e-05,0.0076638147703476595,-0.013782801665365696,0.016163737140595914,0.0,5000
F_dinov3b_base,1,toys,10,0.020494472235441208,0.012778066098690033,0.007716406136751175,-0.00019369965307414533,0.008378045173449805,-0.015406935196369886,0.018073306512087575,0.1636,5000
F_dinov3b_base,1,clothing,17,0.06396988034248352,0.012582867406308651,0.051387012004852295,-9.00968600064516e-05,0.005096198685413066,-0.009394744341261686,0.01054463097825646,0.0,5000
F_dinov3b_base,1,body_parts,7,0.10660427808761597,0.003688147058710456,0.10291612893342972,5.404415437951684e-05,0.01241735592546617,-0.022352740168571472,0.025939962314441775,0.0,5000
F_dinov3b_base,1,household,21,0.031237412244081497,0.010841870680451393,0.020395541563630104,-3.6477935500442984e-05,0.004176552299277377,-0.007436892692930996,0.008893940364941948,0.0,5000
F_dinov3b_base,1,furniture_rooms,15,0.0515725277364254,0.014516358263790607,0.03705617040395737,-1.3202666956931352e-05,0.005746188860652414,-0.010298063931986689,0.01238590348511934,0.0,5000
F_dinov3b_base,1,outside,16,0.04841082915663719,0.01041649654507637,0.03799433261156082,-0.00011947766961529851,0.005417328796290687,-0.010001802374608815,0.011304482840932894,0.0,5000
