scale,run,category,n_pairs,partial_model,p_model,partial_w2v,p_w2v
3000,B26_rand_3000_s0,all,186,-0.10282187139921285,0.1636972666840974,0.16222950953594095,0.027367200919235307
3000,B26_rand_3000_s1,all,117,-0.024472907014075267,0.7942730934616355,0.17776397545714945,0.05625222422115948
3000,B26_rand_3000_s2,all,109,-0.07808167254280637,0.4218396568544251,0.24618384510679658,0.01021976667926617
3000,B26_rand_3000_s3,all,112,0.12336945219610641,0.19705122662253433,0.10667686374822831,0.2651200280796475
3000,B26_rand_3000_s4,all,108,-0.02107412925191777,0.829411834923435,0.11856948080171933,0.2238392097238564
3000,B26_rand_3000_s5,all,130,0.09480175341548977,0.2852185914557013,0.2275934891257908,0.0094883127828283
3000,B26_rand_3000_s6,all,133,0.019941465715960213,0.8204599389955721,0.13717727919654538,0.11676887813476636
3000,B26_rand_3000_s7,all,112,-0.007751452979318743,0.9356460526990227,0.21312864362572598,0.024710329272691643
10000,B26_rand_10000_s0,all,708,0.057039059223916,0.12972467210090277,0.11232835969819702,0.00278122423139915
10000,B26_rand_10000_s0,noun,184,-0.09688051689658222,0.19200652856572273,0.015521199306724402,0.8348067861715611
10000,B26_rand_10000_s1,all,561,0.07813205281415375,0.06465505850764006,0.13451548154466142,0.0014196946749521636
10000,B26_rand_10000_s1,noun,137,0.06330415918119559,0.46406628337601336,0.010043446143967618,0.9076148793254777
10000,B26_rand_10000_s2,all,544,-0.020532317247683823,0.6330778772909932,0.08012508946717103,0.0620691080322763
10000,B26_rand_10000_s2,noun,129,-0.022649663636621922,0.799672885157611,-0.07162851875932463,0.42170472371719386
10000,B26_rand_10000_s3,all,545,0.009666949597255104,0.8220129621521965,0.13276921227641458,0.0019136932386193798
10000,B26_rand_10000_s3,noun,135,0.04744611953177448,0.5861732946671114,0.003696619343864404,0.9661872362323267
10000,B26_rand_10000_s4,all,541,-0.03675865755036911,0.39393512216061777,0.13826735663265172,0.0012770775289510125
10000,B26_rand_10000_s4,noun,128,-0.09496180855085004,0.288241975595475,-0.04180743963749667,0.6407205009841883
10000,B26_rand_10000_s5,all,540,-0.036313759465559405,0.40012720753552894,0.10663600305019766,0.013248447405792117
10000,B26_rand_10000_s5,noun,123,0.10498837083936041,0.24978145616854436,-0.04589174794340916,0.6157116223925893
10000,B26_rand_10000_s6,all,568,0.008806252316390976,0.8342658173088434,0.10142388827618093,0.015692722416323718
10000,B26_rand_10000_s6,noun,130,-0.03507939814832577,0.6930872906461857,-0.06206299685944896,0.48473137553941564
10000,B26_rand_10000_s7,all,571,-0.03545253281361458,0.39820846322233805,0.1185910753956267,0.004580867093608062
10000,B26_rand_10000_s7,noun,134,-0.16996110131547562,0.05048408291616039,-0.035720744525250786,0.6831316431888109
30000,B26_rand_30000_s0,all,1472,-0.020149249598681224,0.4399852863314078,0.1870635966047099,4.745360619356174e-13
30000,B26_rand_30000_s0,noun,502,-0.04308197220399935,0.3358772427999312,0.2048876694501735,3.769696282460882e-06
30000,B26_rand_30000_s1,all,1224,0.03908286594027437,0.17196801484552818,0.2179719373383154,1.279504330402344e-14
30000,B26_rand_30000_s1,noun,413,0.017591200144136426,0.7218367614905368,0.24470867521401873,4.940528961046246e-07
30000,B26_rand_30000_s2,all,1224,0.00022049668792130037,0.9938537990970745,0.2253908195913095,1.4988782035250718e-15
30000,B26_rand_30000_s2,noun,409,-0.08170436898076011,0.09934438984622944,0.28309056771932617,5.881772223674715e-09
30000,B26_rand_30000_s3,all,1207,0.01600670177180559,0.5786675573036028,0.21750626605382686,2.2194288664548338e-14
30000,B26_rand_30000_s3,noun,408,-0.10156192827001495,0.040566742458737856,0.2193432890975357,7.970462492596351e-06
30000,B26_rand_30000_s4,all,1217,-0.029653300643612837,0.3015057888770114,0.2103895556077446,1.2431343826153546e-13
30000,B26_rand_30000_s4,noun,399,-0.11818678248791471,0.018340306037384346,0.2249098331414953,5.870363033602904e-06
30000,B26_rand_30000_s5,all,1263,-0.01917166054859535,0.49621706102109436,0.20589084128820792,1.5105834970440877e-13
30000,B26_rand_30000_s5,noun,425,-0.11862565383328069,0.01452235632693716,0.23930841307306608,6.17248157556844e-07
30000,B26_rand_30000_s6,all,1275,0.00466123292661791,0.8679904208054823,0.22256026962851022,9.20003631393962e-16
30000,B26_rand_30000_s6,noun,426,0.08810401210778271,0.06960212564740613,0.24412109220001343,3.4845927766512993e-07
30000,B26_rand_30000_s7,all,1271,-0.033867239306030326,0.22778420205961528,0.216071273947773,6.987971957564253e-15
30000,B26_rand_30000_s7,noun,433,-0.039562557136858745,0.4120844440054975,0.2193875732088082,4.167133603993281e-06
100000,B26_rand_100000_s0,all,2727,-0.01074327143620713,0.5750177197684615,0.18523406941415388,1.8204507417917089e-22
100000,B26_rand_100000_s0,noun,1029,0.007623468755811423,0.8071276822799001,0.213906729812219,4.196654883969466e-12
100000,B26_rand_100000_s1,all,2442,-0.013002746836968067,0.5207965639757332,0.21759591111295695,1.5048723965343888e-27
