scale,run,category,n_pairs,partial_model,p_model,partial_w2v,p_w2v
10000,F_dinov3b_align_10000_s0,all,607,0.049680748184009645,0.22200143181241716,-0.04780757218180722,0.2399449716520943
10000,F_dinov3b_align_10000_s0,noun,207,0.056358582333864836,0.4210416078081129,0.05889922604504445,0.4003763469608617
10000,F_dinov3b_align_10000_s1,all,607,0.007145283720467003,0.8606592683631276,-0.04852659758867507,0.23294030529384158
10000,F_dinov3b_align_10000_s1,noun,207,0.0016940290412201936,0.9807202313831679,0.053636720304323884,0.4438555742711677
10000,F_dinov3b_align_10000_s2,all,607,-0.00749560128863894,0.8539025793650294,-0.048285937475124455,0.23526849726073298
10000,F_dinov3b_align_10000_s2,noun,207,-0.042189551886829366,0.5470959225428966,0.0517291780452422,0.46025310295419936
30000,F_dinov3b_align_30000_s0,all,1382,0.034210738835923515,0.20388749922470206,0.1025614974023866,0.00013454269024746
30000,F_dinov3b_align_30000_s0,noun,570,0.039446544538393274,0.3476058647277856,0.11998199631168241,0.004155849087392332
30000,F_dinov3b_align_30000_s1,all,1382,0.04689257167086647,0.08150965348277825,0.09808857131897705,0.00026157309768761567
30000,F_dinov3b_align_30000_s1,noun,570,0.013940488968750922,0.7400271461507952,0.11761876998854605,0.004965979825684826
30000,F_dinov3b_align_30000_s2,all,1382,0.042211175909246085,0.11689933126341316,0.10043182049624996,0.0001852661643712657
30000,F_dinov3b_align_30000_s2,noun,570,0.11041983152383109,0.008384101195741348,0.11568210998462836,0.005733227959148529
100000,F_dinov3b_align_100000_s0,all,2901,0.06101234411190181,0.001011668723534879,0.26536985539059876,6.191461151892128e-48
100000,F_dinov3b_align_100000_s0,noun,1205,0.09195465114617227,0.0014023723595814898,0.32350211111071103,9.89985392301362e-31
100000,F_dinov3b_align_100000_s1,all,2901,0.11389002658881363,7.721829649998594e-10,0.26179408240867585,1.1814843345854638e-46
100000,F_dinov3b_align_100000_s1,noun,1205,0.1251020289394981,1.3399182841074095e-05,0.3189193358438611,7.220638991352808e-30
100000,F_dinov3b_align_100000_s2,all,2901,0.0654492437527567,0.00042059554576745055,0.26485753867733464,9.473082338349346e-48
100000,F_dinov3b_align_100000_s2,noun,1205,0.06523146444110711,0.0236044398980324,0.32536482121847166,4.371091564528945e-31
170000,F_dinov3b_align_170000_s0,all,3673,0.06934655529697514,2.6012781058951712e-05,0.26021731532353015,6.701193261278847e-58
170000,F_dinov3b_align_170000_s0,noun,1509,0.11376850881273944,9.480632256722725e-06,0.3169818745356839,1.515081642048716e-36
170000,F_dinov3b_align_170000_s1,all,3673,0.08854134509544806,7.697774669191944e-08,0.2593209265602736,1.6812513399119434e-57
170000,F_dinov3b_align_170000_s1,noun,1509,0.0891802350854016,0.0005259645970485473,0.3204624623792825,2.3342632503987867e-37
170000,F_dinov3b_align_170000_s2,all,3673,0.12088062318859757,1.9898450464191225e-13,0.258469210541495,4.015629571205234e-57
170000,F_dinov3b_align_170000_s2,noun,1509,0.17206077304928363,1.74015094583315e-11,0.31444265147532274,5.8379311944398344e-36
