scale,run,category,n_pairs,partial_model,p_model,partial_w2v,p_w2v
3000,F_dinov3b_rand_3000_s0,all,207,0.0674951855175994,0.3350744303387688,-0.0211966114287611,0.7623384904366367
3000,F_dinov3b_rand_3000_s1,all,128,0.10875192297361266,0.22357848977685105,0.011017262535536379,0.9021590701568877
3000,F_dinov3b_rand_3000_s2,all,129,0.03957275724021268,0.657406686478482,0.06399365091778833,0.47297977421313453
3000,F_dinov3b_rand_3000_s3,all,126,-0.04474650913997702,0.6202447459025031,0.08311077521215589,0.3568066177544326
3000,F_dinov3b_rand_3000_s4,all,128,-0.027280674477434572,0.7607816434519363,0.0055565064655253744,0.9505628415748842
3000,F_dinov3b_rand_3000_s5,all,113,-0.11642532059969775,0.22153019397481669,0.07964140381651094,0.4038770896063471
3000,F_dinov3b_rand_3000_s6,all,98,0.14492538418723067,0.15667737603949589,0.20843754648909124,0.0404796531693544
3000,F_dinov3b_rand_3000_s7,all,123,0.0011985476399008488,0.9895463261413494,0.09963996312380077,0.274855264229125
10000,F_dinov3b_rand_10000_s0,all,771,-0.0145119517348206,0.6876418695393639,0.033373752034048784,0.35505061687156286
10000,F_dinov3b_rand_10000_s0,noun,211,0.06417510258334183,0.35476357283603377,-0.08456292186302158,0.22234895062592921
10000,F_dinov3b_rand_10000_s1,all,593,0.08334653171873332,0.04264700273440959,0.0556310600529617,0.1764558648190666
10000,F_dinov3b_rand_10000_s1,noun,135,0.030944356070239654,0.7226375884209155,-0.03745722201960977,0.667423113778886
10000,F_dinov3b_rand_10000_s2,all,603,0.011519740062892879,0.777892395236804,0.01770069136421904,0.664702440410504
10000,F_dinov3b_rand_10000_s2,noun,143,-0.018271050988258028,0.8291293703969524,-0.06335505830788361,0.45383146024339877
10000,F_dinov3b_rand_10000_s3,all,609,-0.06620439446298466,0.10291661259260794,0.02354791438013827,0.5622371008944891
10000,F_dinov3b_rand_10000_s3,noun,154,-0.06528988955519124,0.42265452128143854,-0.09439511250627194,0.24579593100493888
10000,F_dinov3b_rand_10000_s4,all,602,-0.04295960749611838,0.29304708247438965,0.023552843209405816,0.5644239673188631
10000,F_dinov3b_rand_10000_s4,noun,133,-0.06638018491714943,0.44951062118795004,-0.08679765316083982,0.32236311617532526
10000,F_dinov3b_rand_10000_s5,all,593,-0.061904913552097915,0.13246005810150788,0.02749488741444408,0.5043303437902309
10000,F_dinov3b_rand_10000_s5,noun,146,0.04991183841548611,0.5510496207514508,-0.0483310165195968,0.5637483485016346
10000,F_dinov3b_rand_10000_s6,all,572,0.014405627196603744,0.731226335558013,0.06557861870195725,0.1175144142051632
10000,F_dinov3b_rand_10000_s6,noun,136,-0.0024842523332822865,0.9771867721936965,-0.004042810645366176,0.9628825621331433
10000,F_dinov3b_rand_10000_s7,all,607,0.03520331934255725,0.38699412024546287,0.03990841511857357,0.3266960593997067
10000,F_dinov3b_rand_10000_s7,noun,139,-0.04725940545701393,0.5820243440551035,-0.031458258507303716,0.7141560545970863
30000,F_dinov3b_rand_30000_s0,all,1595,-0.04666048753473724,0.06253691127379628,0.15673733427733955,3.139223468215403e-10
30000,F_dinov3b_rand_30000_s0,noun,514,-0.08439733336262803,0.056094077974878774,0.1612812859236263,0.0002443876219260823
30000,F_dinov3b_rand_30000_s1,all,1325,0.014132527013154442,0.6074075350885918,0.19712540885739713,4.583322605952273e-13
30000,F_dinov3b_rand_30000_s1,noun,413,0.016008759233643435,0.7459563270122909,0.17261876050623215,0.0004322170637709161
30000,F_dinov3b_rand_30000_s2,all,1273,0.00360230361718059,0.8978714788981569,0.17114970651330452,8.074602794834603e-10
30000,F_dinov3b_rand_30000_s2,noun,417,0.03745991229848314,0.4460577255833157,0.14308422994592984,0.003448567110719369
30000,F_dinov3b_rand_30000_s3,all,1301,0.015409821557546208,0.5788211327698222,0.18975993696105165,5.271110102291459e-12
30000,F_dinov3b_rand_30000_s3,noun,425,0.030772183691890657,0.5274410270043118,0.17726762078663044,0.00024399502681270489
30000,F_dinov3b_rand_30000_s4,all,1327,-0.0377388954322976,0.16961931956178583,0.20235030889316735,1.0178008508712475e-13
30000,F_dinov3b_rand_30000_s4,noun,427,-0.05260066434648882,0.27870831754634084,0.18881293859141787,8.820874738380652e-05
