scale,run,category,n_pairs,partial_model,p_model,partial_w2v,p_w2v
10000,F_dinov3l_align_10000_s0,all,607,0.0635775056725235,0.11794859213116826,-0.047781844732907856,0.24019832096055238
10000,F_dinov3l_align_10000_s0,noun,207,0.03882365786747828,0.5795497134718758,0.05412867538423241,0.43968100965544976
10000,F_dinov3l_align_10000_s1,all,607,0.001934632209843655,0.9620934620148995,-0.048105352750156746,0.23702626518571107
10000,F_dinov3l_align_10000_s1,noun,207,-0.015525205585540047,0.8247139866051172,0.05133040522097141,0.4637230356218193
10000,F_dinov3l_align_10000_s2,all,607,0.037468146399904145,0.35716798328500454,-0.04871288028926705,0.23114939783782934
10000,F_dinov3l_align_10000_s2,noun,207,0.136134316919227,0.0510453433561844,0.04762847678870654,0.49661621310853826
30000,F_dinov3l_align_30000_s0,all,1382,0.02803935503235794,0.2977575342531948,0.09986146339143409,0.00020162916400951413
30000,F_dinov3l_align_30000_s0,noun,570,0.08499902237848325,0.04268764980848465,0.1202147416486142,0.004082914858266056
30000,F_dinov3l_align_30000_s1,all,1382,0.04632376830176899,0.08527986338439579,0.10214214638746175,0.00014336012847532091
30000,F_dinov3l_align_30000_s1,noun,570,0.024377274759912856,0.5617148779378066,0.11820710508200288,0.004751971816193544
30000,F_dinov3l_align_30000_s2,all,1382,0.07835542017321291,0.003572039981908518,0.10269520775324587,0.00013184030685679622
30000,F_dinov3l_align_30000_s2,noun,570,0.10291310214139912,0.01404985950880818,0.1270454581379269,0.00239617012502968
100000,F_dinov3l_align_100000_s0,all,2901,0.09436372098678063,3.565300067634323e-07,0.2618987732303412,1.0844633101540158e-46
100000,F_dinov3l_align_100000_s0,noun,1205,0.13918331951418644,1.2466261427555083e-06,0.31974293400294407,5.065138608020973e-30
100000,F_dinov3l_align_100000_s1,all,2901,0.1027258832662025,2.952244963259095e-08,0.259510413542116,7.585237274466488e-46
100000,F_dinov3l_align_100000_s1,noun,1205,0.10145384385869341,0.0004222681311877145,0.31782876759394413,1.1527484519918148e-29
100000,F_dinov3l_align_100000_s2,all,2901,0.1317642031478929,1.0503742488022816e-12,0.2599696918877987,5.2264461856989584e-46
100000,F_dinov3l_align_100000_s2,noun,1205,0.1429857820988235,6.296731520337731e-07,0.3112046270001011,1.8955163909765813e-28
170000,F_dinov3l_align_170000_s0,all,3673,0.11326164641934093,5.854708441859393e-12,0.25949974478763765,1.3998014520703126e-57
170000,F_dinov3l_align_170000_s0,noun,1509,0.10131401167648091,8.107270414647533e-05,0.31824884766250316,7.691309437487495e-37
170000,F_dinov3l_align_170000_s1,all,3673,0.12115464897650972,1.7548029348150342e-13,0.2550091055813368,1.3346785940317666e-55
170000,F_dinov3l_align_170000_s1,noun,1509,0.18745462276024738,2.1595390600973557e-13,0.3061866287406273,4.284463765251701e-34
170000,F_dinov3l_align_170000_s2,all,3673,0.1469207728241609,3.602473737708342e-19,0.2569598031392449,1.863765633268434e-56
170000,F_dinov3l_align_170000_s2,noun,1509,0.15153603792899,3.3410446621437498e-09,0.31947219637597235,3.984285391765226e-37
