scale,run,category,n_pairs,partial_model,p_model,partial_w2v,p_w2v
3000,F_dinov3l_rand_3000_s0,all,207,-0.005147057156745384,0.9414678198196607,-0.027689189847130175,0.6927896426272643
3000,F_dinov3l_rand_3000_s1,all,128,-0.08665422872479418,0.33268902289523833,0.007742994492371102,0.9311503211141318
3000,F_dinov3l_rand_3000_s2,all,129,-0.11900990591199104,0.18089791025335808,0.07453225590604458,0.4030828758402492
3000,F_dinov3l_rand_3000_s3,all,126,-0.16828315708797978,0.06066036823910582,0.10513321513289675,0.2432696306123865
3000,F_dinov3l_rand_3000_s4,all,128,0.10212701873451535,0.25323640851995016,-0.005818464138422836,0.9482353212976269
3000,F_dinov3l_rand_3000_s5,all,113,-0.012738592855712647,0.8939516942437228,0.07982780088509137,0.40277424455910604
3000,F_dinov3l_rand_3000_s6,all,98,-0.1472313778659109,0.15011698958782188,0.1792688152972707,0.07892334915661851
3000,F_dinov3l_rand_3000_s7,all,123,-0.126759996952805,0.16412973516997562,0.08523076742942189,0.35060669724455823
10000,F_dinov3l_rand_10000_s0,all,771,-0.021851962392333203,0.5448770186275042,0.03234957017141367,0.37001758113972005
10000,F_dinov3l_rand_10000_s0,noun,211,-0.032229643459028,0.642372031598669,-0.09011647589830826,0.1933387867953212
10000,F_dinov3l_rand_10000_s1,all,593,-0.022193907734855686,0.5899378122099466,0.05001910856583656,0.22428754455401434
10000,F_dinov3l_rand_10000_s1,noun,135,0.03844280867606308,0.6592118039448738,-0.044641412695403435,0.6085279701656882
10000,F_dinov3l_rand_10000_s2,all,603,-0.018625650326011864,0.6483303650086728,0.017090491315354037,0.6755918172307795
10000,F_dinov3l_rand_10000_s2,noun,143,-0.020965136419017254,0.804407154433506,-0.0662793935316144,0.43322114248944876
10000,F_dinov3l_rand_10000_s3,all,609,-0.017226020952753936,0.6716309644722156,0.021412893120491015,0.5982174519326033
10000,F_dinov3l_rand_10000_s3,noun,154,-0.06042611937272245,0.4581002663980073,-0.07821012995857848,0.33657969163545093
10000,F_dinov3l_rand_10000_s4,all,602,0.016118126439689323,0.6933272915817745,0.02553951936913609,0.5320317845263014
10000,F_dinov3l_rand_10000_s4,noun,133,0.012288242435810358,0.8887835424267015,-0.07731160756159904,0.37825601149054283
10000,F_dinov3l_rand_10000_s5,all,593,-0.07715287049041324,0.06064980559269301,0.021881301358139135,0.5951877512260672
10000,F_dinov3l_rand_10000_s5,noun,146,0.05562965415041001,0.506314768512786,-0.050166502520034705,0.5490170019658901
10000,F_dinov3l_rand_10000_s6,all,572,0.0002949576509685796,0.9943887260075978,0.06550605005927049,0.11792179999188195
10000,F_dinov3l_rand_10000_s6,noun,136,-0.17219169505665372,0.045822497936065736,0.0242924744330284,0.7797309511603027
10000,F_dinov3l_rand_10000_s7,all,607,0.010645126483352352,0.7936929509564635,0.03998092317912294,0.3258171977816683
10000,F_dinov3l_rand_10000_s7,noun,139,0.09653974292190666,0.25999504343224505,-0.028942853103692122,0.7361323401824329
30000,F_dinov3l_rand_30000_s0,all,1595,-0.0033126123096194077,0.8948637307740224,0.15739137560504732,2.644081071804403e-10
30000,F_dinov3l_rand_30000_s0,noun,514,-0.00787289675220746,0.8588133117619405,0.15643891111115235,0.0003757696486196624
30000,F_dinov3l_rand_30000_s1,all,1325,0.034962041160949545,0.20360620012005123,0.19581723083938535,6.568371451460055e-13
30000,F_dinov3l_rand_30000_s1,noun,413,0.01943596577226573,0.6940642608216895,0.17046049983392517,0.0005109998054257945
30000,F_dinov3l_rand_30000_s2,all,1273,-0.0005647683686586663,0.9839454727401042,0.17126991390643787,7.854827653463565e-10
30000,F_dinov3l_rand_30000_s2,noun,417,0.04929119225651015,0.3158938233703527,0.14478671674662447,0.0030783256997105827
30000,F_dinov3l_rand_30000_s3,all,1301,-0.004895726645795639,0.8600196215554305,0.18968279133372729,5.378120077091133e-12
30000,F_dinov3l_rand_30000_s3,noun,425,-0.02825874498493923,0.5617249490092243,0.18006595459983046,0.00019350396792004935
30000,F_dinov3l_rand_30000_s4,all,1327,0.00706369732775922,0.7971941378447035,0.20383002703514835,6.673793173923147e-14
30000,F_dinov3l_rand_30000_s4,noun,427,-0.05666203540436297,0.2432133053078046,0.1934148027860757,5.861618416168196e-05
30000,F_dinov3l_rand_30000_s5,all,1304,0.03129504547327168,0.25896009732492625,0.17971117720896845,6.399728433766297e-11
30000,F_dinov3l_rand_30000_s5,noun,424,0.029130791971885436,0.5501830443865134,0.15881734133587738,0.0010471198714571677
30000,F_dinov3l_rand_30000_s6,all,1312,0.052477514020138845,0.05748716357278678,0.17785920710267378,8.843146384020388e-11
30000,F_dinov3l_rand_30000_s6,noun,439,0.05677196334965391,0.23573670311260483,0.1454940795791659,0.002269267614951753
30000,F_dinov3l_rand_30000_s7,all,1302,0.035939999648120814,0.19514577383758022,0.17265725155143383,3.638685213892763e-10
30000,F_dinov3l_rand_30000_s7,noun,430,0.02578178640706544,0.5943582925112199,0.16032865277873787,0.0008601612577679964
100000,F_dinov3l_rand_100000_s0,all,2808,0.030158648828123007,0.11015631970195255,0.20574870049152813,3.2721529433664556e-28
100000,F_dinov3l_rand_100000_s0,noun,1067,0.03127678333564822,0.30762047856800556,0.23999878626803206,1.972607615353185e-15
100000,F_dinov3l_rand_100000_s1,all,2540,0.0228013591483091,0.2507582468948597,0.22452269271252426,2.2368732860076597e-30
100000,F_dinov3l_rand_100000_s1,noun,955,0.035894197804378164,0.26805035650907455,0.27110973988799825,1.5563739464920124e-17
100000,F_dinov3l_rand_100000_s2,all,2520,0.03639265828804721,0.06781520614003667,0.22836565741695258,3.681684941372061e-31
100000,F_dinov3l_rand_100000_s2,noun,960,0.03615008805971966,0.26339982792589894,0.26332704924651773,1.125276145668414e-16
100000,F_dinov3l_rand_100000_s3,all,2521,0.017761418456824298,0.37279825304555286,0.23361252677429878,1.3948962662688937e-32
