scale,run,category,n_pairs,partial_model,p_model,partial_w2v,p_w2v
3000,F_dinov3s_rand_3000_s0,all,207,-0.014911379806315468,0.8315390528477502,-0.02881838485756352,0.6809330860898037
3000,F_dinov3s_rand_3000_s1,all,128,0.19770225087250454,0.025880426453887086,0.04102057888049518,0.6470238973609149
3000,F_dinov3s_rand_3000_s2,all,129,0.09525206086005095,0.28483703901015256,0.06263693220000194,0.4824332545577157
3000,F_dinov3s_rand_3000_s3,all,126,0.012522336707116055,0.8897639639017523,0.07688678228342233,0.3940770984348382
3000,F_dinov3s_rand_3000_s4,all,128,-0.09079338589207381,0.31002415791305704,-0.010281033890356703,0.9086679897703961
3000,F_dinov3s_rand_3000_s5,all,113,-0.2364104585178761,0.012088644470104779,0.05930043185353607,0.5345448327649791
3000,F_dinov3s_rand_3000_s6,all,98,-0.07142274395743081,0.48692873022481353,0.18449344090871206,0.07044211070205633
3000,F_dinov3s_rand_3000_s7,all,123,0.0889931258052043,0.3296704729013445,0.11142872922876318,0.22174179750595593
10000,F_dinov3s_rand_10000_s0,all,771,-0.021195128700664506,0.5570348537098399,0.03281964922224973,0.36310008845874925
10000,F_dinov3s_rand_10000_s0,noun,211,-0.10318032023756273,0.13615044812070196,-0.10260819239824923,0.13834743792821724
10000,F_dinov3s_rand_10000_s1,all,593,0.021050253270993365,0.6092467938400424,0.048718745194030924,0.23658103219694743
10000,F_dinov3s_rand_10000_s1,noun,135,-0.009933857680083404,0.9093026406739876,-0.03904046863914919,0.6542520899448393
10000,F_dinov3s_rand_10000_s2,all,603,-0.01586749407453755,0.6976200191216319,0.01732745089356004,0.6713549320334231
10000,F_dinov3s_rand_10000_s2,noun,143,0.10167601319476083,0.22858047609176194,-0.06764987416967418,0.42374960216378693
10000,F_dinov3s_rand_10000_s3,all,609,0.03756305072841352,0.3551547121388803,0.02148261359857178,0.597026180702073
10000,F_dinov3s_rand_10000_s3,noun,154,0.033314609859014174,0.6826768251760473,-0.08151037775244353,0.31652367124398506
10000,F_dinov3s_rand_10000_s4,all,602,-0.0008723058361357009,0.9829741770556761,0.024679593303762994,0.545936682609212
10000,F_dinov3s_rand_10000_s4,noun,133,-0.016422853743352808,0.8517373074896836,-0.08373494080942989,0.33979582553271165
10000,F_dinov3s_rand_10000_s5,all,593,-0.00485230975099769,0.9062158629248069,0.026756089798837986,0.5158574901981821
10000,F_dinov3s_rand_10000_s5,noun,146,0.021457914416379426,0.7978113560484759,-0.04636345006482696,0.5797460170670838
10000,F_dinov3s_rand_10000_s6,all,572,-0.040687456199556715,0.3317859600590799,0.06619055924930284,0.11412277675517057
10000,F_dinov3s_rand_10000_s6,noun,136,-0.13623533130436763,0.11513019973706125,-0.011979145327660852,0.8903228021456544
10000,F_dinov3s_rand_10000_s7,all,607,0.08376554616780521,0.03926216581215603,0.0424203892048911,0.29714338805231055
10000,F_dinov3s_rand_10000_s7,noun,139,0.08476089709190213,0.32293807206250313,-0.03957212261373952,0.6449282164568377
30000,F_dinov3s_rand_30000_s0,all,1595,0.04710953158296299,0.06005177351388959,0.15834624334551917,2.0553161035890671e-10
30000,F_dinov3s_rand_30000_s0,noun,514,0.027770200654880894,0.5302870003592055,0.15565508281306176,0.0004024067304538476
30000,F_dinov3s_rand_30000_s1,all,1325,-0.028110187753766662,0.30674495151255204,0.19721424247138392,4.472277952614889e-13
30000,F_dinov3s_rand_30000_s1,noun,413,-0.06273693933655178,0.203798389138433,0.175216860940239,0.00035238889929323913
30000,F_dinov3s_rand_30000_s2,all,1273,-0.000826031554457516,0.9765204133220908,0.17132209517673255,7.761248860785907e-10
30000,F_dinov3s_rand_30000_s2,noun,417,0.07272265788884637,0.13867183799559923,0.14616700253007164,0.0028050810890248405
30000,F_dinov3s_rand_30000_s3,all,1301,-0.03383830743346909,0.22275575964070515,0.1888611619866148,6.658298462536149e-12
30000,F_dinov3s_rand_30000_s3,noun,425,-0.03309712411098212,0.49670341371191573,0.17955080603418394,0.00020199435355434993
30000,F_dinov3s_rand_30000_s4,all,1327,-0.049288733251073774,0.07277937804646678,0.20540122683252615,4.248259436055125e-14
30000,F_dinov3s_rand_30000_s4,noun,427,-0.05582924337781236,0.25022056501009665,0.19242992363023137,6.40258231342564e-05
30000,F_dinov3s_rand_30000_s5,all,1304,0.0546132067828624,0.048728805372160976,0.18140973964835083,4.198774991242506e-11
30000,F_dinov3s_rand_30000_s5,noun,424,0.07975919804661619,0.10138809769035409,0.16440236480368892,0.0006878519710159473
30000,F_dinov3s_rand_30000_s6,all,1312,-0.008506874614171161,0.7582905227613161,0.17871657969896887,7.159068577265958e-11
30000,F_dinov3s_rand_30000_s6,noun,439,0.025116241465542116,0.6001223347420787,0.1449430613181999,0.002359207299902108
30000,F_dinov3s_rand_30000_s7,all,1302,-0.07865316779160944,0.004530591882862272,0.17523505872843542,1.9676317040408573e-10
30000,F_dinov3s_rand_30000_s7,noun,430,-0.054584862817416105,0.25926863723506827,0.15947218851238554,0.0009176199177181858
100000,F_dinov3s_rand_100000_s0,all,2808,0.0007937547318767856,0.9664705599542921,0.20605715608869438,2.712677420324932e-28
