scale,run,category,n_pairs,partial_model,p_model,partial_w2v,p_w2v
3000,F_vitb_bv_rand_3000_s0,all,207,0.06614936742195483,0.34482228178064417,-0.021225218243670123,0.7620273520746597
3000,F_vitb_bv_rand_3000_s1,all,128,0.10147989425765812,0.2562721055609594,0.011860210494470308,0.8947146526636974
3000,F_vitb_bv_rand_3000_s2,all,129,0.039227235696857286,0.6602115184273584,0.06364575198006366,0.47539425219066017
3000,F_vitb_bv_rand_3000_s3,all,126,-0.04240136129718138,0.6387049166334606,0.0832376435121529,0.3560704724555587
3000,F_vitb_bv_rand_3000_s4,all,128,-0.035034907456193504,0.6957679071439515,0.005106125484888754,0.9545654851456203
3000,F_vitb_bv_rand_3000_s5,all,113,-0.12523171470969302,0.18829299069988548,0.07835531545268051,0.4115348763168895
3000,F_vitb_bv_rand_3000_s6,all,98,0.1439411441343884,0.15954171563854805,0.20794489063974908,0.04096646089235021
3000,F_vitb_bv_rand_3000_s7,all,123,0.0051734129373561255,0.9549002110531069,0.09984751977347812,0.2738516568722658
10000,F_vitb_bv_rand_10000_s0,all,771,-0.009759666909613066,0.7868631293499017,0.033448179009019134,0.353978041923233
10000,F_vitb_bv_rand_10000_s0,noun,211,0.07258306353192423,0.29513095337593354,-0.08402851933270909,0.2252955864065512
10000,F_vitb_bv_rand_10000_s1,all,593,0.08231438154163359,0.04528895742441291,0.05563779668560577,0.176403406998428
10000,F_vitb_bv_rand_10000_s1,noun,135,0.022995561749141843,0.7919849835253198,-0.03812737192218485,0.661835475379732
10000,F_vitb_bv_rand_10000_s2,all,603,0.011957919952099154,0.7696777251412826,0.01770855032007368,0.6645626459445081
10000,F_vitb_bv_rand_10000_s2,noun,143,-0.01933245135028258,0.8193680184709242,-0.06329120140482031,0.4542875342735619
10000,F_vitb_bv_rand_10000_s3,all,609,-0.0658000876874427,0.10504036864369555,0.023584159703890405,0.561635387216314
10000,F_vitb_bv_rand_10000_s3,noun,154,-0.06073626728827562,0.45579184774927284,-0.09373784379391678,0.24911400396690522
10000,F_vitb_bv_rand_10000_s4,all,602,-0.04282857475593761,0.2945231731153364,0.023644145765249862,0.5629147852992508
10000,F_vitb_bv_rand_10000_s4,noun,133,-0.06909247672526353,0.4311628325036185,-0.08666841760765895,0.32308684870737026
10000,F_vitb_bv_rand_10000_s5,all,593,-0.05900515892159808,0.15160860787134203,0.027676097105129874,0.5015238439131557
10000,F_vitb_bv_rand_10000_s5,noun,146,0.04389478632624605,0.6001107512993482,-0.047853337285004516,0.5676128035614171
10000,F_vitb_bv_rand_10000_s6,all,572,0.015611530065924934,0.7097050948223221,0.06559018673070441,0.11744957554302202
10000,F_vitb_bv_rand_10000_s6,noun,136,-0.0005901923393205472,0.9945794942199494,-0.0039057374563217385,0.9641401916173702
10000,F_vitb_bv_rand_10000_s7,all,607,0.032187009767059536,0.42899138592228064,0.0399366866663793,0.32635320076550933
10000,F_vitb_bv_rand_10000_s7,noun,139,-0.04551311752970941,0.5960636334469536,-0.03144235407511334,0.7142942946571712
30000,F_vitb_bv_rand_30000_s0,all,1595,-0.05263432792812672,0.03562079203495125,0.15626759085832814,3.5495313361133204e-10
30000,F_vitb_bv_rand_30000_s0,noun,514,-0.0956256236663943,0.030345272469916067,0.16126368108967631,0.0002447756153265351
30000,F_vitb_bv_rand_30000_s1,all,1325,0.012325955822440896,0.6540841853428276,0.19713689923639358,4.568808442388963e-13
30000,F_vitb_bv_rand_30000_s1,noun,413,0.022112677819261926,0.654492870422193,0.17268869900635037,0.0004298640045788553
30000,F_vitb_bv_rand_30000_s2,all,1273,-0.0016832226074520486,0.9521768684259007,0.17133988999055533,7.729585752083604e-10
30000,F_vitb_bv_rand_30000_s2,noun,417,0.04234449057627285,0.38899066707223934,0.1432237740414231,0.0034167662852297577
30000,F_vitb_bv_rand_30000_s3,all,1301,0.015933200567086893,0.5659924874773252,0.18976886000576743,5.2588681207079835e-12
30000,F_vitb_bv_rand_30000_s3,noun,425,0.030674677585093936,0.5287509387613089,0.17737432526506328,0.00024186278172158874
30000,F_vitb_bv_rand_30000_s4,all,1327,-0.043061360253539176,0.11704534960159146,0.20196460071646072,1.135557209363313e-13
30000,F_vitb_bv_rand_30000_s4,noun,427,-0.05952249050031484,0.220195704606242,0.1875873405388709,9.819321764045809e-05
30000,F_vitb_bv_rand_30000_s5,all,1304,0.014407071997496907,0.6033554778878709,0.18106218941746646,4.578451667786501e-11
30000,F_vitb_bv_rand_30000_s5,noun,424,0.09859757972780236,0.04268357726970666,0.16497928773783294,0.0006581284780684426
30000,F_vitb_bv_rand_30000_s6,all,1312,-0.00017207141320524713,0.9950337009744471,0.1784553375645509,7.635908265711203e-11
30000,F_vitb_bv_rand_30000_s6,noun,439,-0.04756670259965569,0.32060526113760446,0.14219918783503369,0.002857413787382744
