scale,run,category,n_pairs,partial_model,p_model,partial_w2v,p_w2v
10000,F_vitl_bv_align_10000_s0,all,607,0.04737663898324203,0.24421337785029126,-0.04805173564085017,0.23754993911486247
10000,F_vitl_bv_align_10000_s0,noun,207,0.006505906257622082,0.9260544235323327,0.05383046873626186,0.442208814965834
10000,F_vitl_bv_align_10000_s1,all,607,-0.013062106194841487,0.7482857632213702,-0.04863658619873716,0.23188169993432906
10000,F_vitl_bv_align_10000_s1,noun,207,-0.044300911693935824,0.5272044752801162,0.04782108152406164,0.49487492991577336
10000,F_vitl_bv_align_10000_s2,all,607,0.022102604746900862,0.5870993284641244,-0.048574486430225196,0.23247897088809452
10000,F_vitl_bv_align_10000_s2,noun,207,0.11379020656978321,0.10340775323820649,0.047088044361490916,0.5015193659762079
30000,F_vitl_bv_align_30000_s0,all,1382,0.004365468279069359,0.8712408343768228,0.10035868359696307,0.00018729239714255225
30000,F_vitl_bv_align_30000_s0,noun,570,0.044307052619932515,0.2913877822655263,0.11864384438725789,0.004598529708475917
30000,F_vitl_bv_align_30000_s1,all,1382,0.010300266987173796,0.7021349651619433,0.10074748636902135,0.000176754601322174
30000,F_vitl_bv_align_30000_s1,noun,570,-0.03445698070211621,0.4120090000424056,0.11794240857866412,0.004847203693720081
30000,F_vitl_bv_align_30000_s2,all,1382,0.03895030987909666,0.14798033974534264,0.101485626031002,0.00015826348278535413
30000,F_vitl_bv_align_30000_s2,noun,570,0.043219341023542544,0.3034064125562968,0.12085061199368477,0.0038895242821835882
100000,F_vitl_bv_align_100000_s0,all,2901,0.04155739123577984,0.0252252327227695,0.2667147600666729,2.0183362916226003e-48
100000,F_vitl_bv_align_100000_s0,noun,1205,0.04736372563535041,0.10045025193252032,0.32681202509920776,2.3068980200079805e-31
100000,F_vitl_bv_align_100000_s1,all,2901,0.062074630665778514,0.0008239964321548365,0.26479102804763893,1.0010126219920176e-47
100000,F_vitl_bv_align_100000_s1,noun,1205,0.026363556245322002,0.36072216113800876,0.3264015098556828,2.766399130657841e-31
100000,F_vitl_bv_align_100000_s2,all,2901,0.07449628861715171,5.9295022167292416e-05,0.26583716491713094,4.1972545016139354e-48
100000,F_vitl_bv_align_100000_s2,noun,1205,0.05065933412867336,0.07889810269032245,0.3232594354844564,1.1007802512932715e-30
170000,F_vitl_bv_align_170000_s0,all,3673,0.05896873093096325,0.00034992735301875283,0.26447569856409625,8.070868000811098e-60
170000,F_vitl_bv_align_170000_s0,noun,1509,0.015451244546732265,0.548802151168252,0.32711313235523654,6.108517055729861e-39
170000,F_vitl_bv_align_170000_s1,all,3673,0.06853393767950214,3.2326410142060324e-05,0.2614065847549084,1.966649143743219e-58
170000,F_vitl_bv_align_170000_s1,noun,1509,0.11599436303967986,6.304184727844767e-06,0.31782778289096,9.638528048842395e-37
170000,F_vitl_bv_align_170000_s2,all,3673,0.08690149574148981,1.333660192660136e-07,0.2633975475901399,2.4899870622317194e-59
170000,F_vitl_bv_align_170000_s2,noun,1509,0.06239365663041929,0.01538092067337955,0.32712075411164837,6.082746520595959e-39
