scale,run,category,n_pairs,partial_model,p_model,partial_w2v,p_w2v
10000,F_vits_bv_align_10000_s0,all,607,-0.010871936140682485,0.78939948230407,-0.04803806178630793,0.2376836209051795
10000,F_vits_bv_align_10000_s0,noun,207,-0.08989181934578047,0.19881237680494018,0.05503277719174986,0.4320677350351251
10000,F_vits_bv_align_10000_s1,all,607,0.042180891330436336,0.29988157547619115,-0.04748463501806845,0.24313871273919985
10000,F_vits_bv_align_10000_s1,noun,207,0.030442797060429162,0.6640137561423765,0.054359295288032156,0.4377317743755096
10000,F_vits_bv_align_10000_s2,all,607,-0.01493012130344739,0.7137701427485058,-0.04812386012783771,0.23684569422285584
10000,F_vits_bv_align_10000_s2,noun,207,-0.03399434666897139,0.627618193371779,0.05162899958999338,0.4611234498551526
30000,F_vits_bv_align_30000_s0,all,1382,0.01638594395243006,0.5429084486877718,0.10087288046749693,0.00017347655818339435
30000,F_vits_bv_align_30000_s0,noun,570,-0.00757332597694272,0.8569505570122409,0.11764886915397618,0.004954823671048589
30000,F_vits_bv_align_30000_s1,all,1382,0.016914405495218263,0.529974041603729,0.10015890009794899,0.0001929338927313876
30000,F_vits_bv_align_30000_s1,noun,570,-0.0347804091847439,0.40763182733920633,0.11735270918440768,0.005065583965710691
30000,F_vits_bv_align_30000_s2,all,1382,0.014639481772748028,0.5867400832594003,0.10027606835471939,0.00018960624482991582
30000,F_vits_bv_align_30000_s2,noun,570,0.01480540249160523,0.7245333337498957,0.11806376056745854,0.004803332213169151
100000,F_vits_bv_align_100000_s0,all,2901,0.045938970079922654,0.013356150104507355,0.26752606423431147,1.0232318125799551e-48
100000,F_vits_bv_align_100000_s0,noun,1205,0.0729365421430066,0.0113560617083397,0.32478252052000345,5.647362489270333e-31
100000,F_vits_bv_align_100000_s1,all,2901,0.023949600079660845,0.19727493000955781,0.2683372311567307,5.175814967178805e-49
100000,F_vits_bv_align_100000_s1,noun,1205,0.06923769649019476,0.016268001022096506,0.32733210542295066,1.8319478657033415e-31
100000,F_vits_bv_align_100000_s2,all,2901,0.06277134942931888,0.0007190282144035688,0.267748900709935,8.487173991870863e-49
100000,F_vits_bv_align_100000_s2,noun,1205,0.07569818764575562,0.008597149083270004,0.325187264184164,4.726505483708144e-31
170000,F_vits_bv_align_170000_s0,all,3673,0.047308528885273135,0.004138782125182279,0.2634952118122774,2.248899159487569e-59
170000,F_vits_bv_align_170000_s0,noun,1509,0.0605515889877192,0.018692537584122065,0.32543015354070387,1.5490974781775238e-38
170000,F_vits_bv_align_170000_s1,all,3673,0.0398229572363574,0.01580929706647006,0.26343589375228715,2.392402873375527e-59
170000,F_vits_bv_align_170000_s1,noun,1509,0.02883375302757856,0.26313817979321963,0.3252820771237991,1.6807955630885834e-38
170000,F_vits_bv_align_170000_s2,all,3673,0.030858408978039747,0.06152041574778577,0.2646859525992019,6.474981811791627e-60
170000,F_vits_bv_align_170000_s2,noun,1509,0.03506029773355176,0.17358162821228368,0.32696822476647164,6.619632244805917e-39
