n_pairs_scale,run,w2v,n_shared,rsa
1000000,B26_rand_1000000_s0,bv26_rand_1000000_s0,2000,0.06899432627065887
1000000,B26_rand_1000000_s1,bv26_rand_1000000_s0,2000,0.06934179859429784
1000000,B26_rand_1000000_s2,bv26_rand_1000000_s0,2000,0.06341535596183695
100000,B26_rand_100000_s0,bv26_rand_100000_s0,2000,0.0050334125289820284
100000,B26_rand_100000_s1,bv26_rand_100000_s0,2000,0.002822808070165525
100000,B26_rand_100000_s2,bv26_rand_100000_s0,2000,0.005369110801691979
100000,B26_rand_100000_s3,bv26_rand_100000_s0,2000,0.005672873932849877
100000,B26_rand_100000_s4,bv26_rand_100000_s0,2000,0.005912293055270091
100000,B26_rand_100000_s5,bv26_rand_100000_s0,2000,0.005545513520104573
100000,B26_rand_100000_s6,bv26_rand_100000_s0,2000,0.00673386765007235
100000,B26_rand_100000_s7,bv26_rand_100000_s0,2000,0.0041129470164281015
10000,B26_rand_10000_s0,bv26_rand_10000_s0,916,0.0005053132921944219
10000,B26_rand_10000_s1,bv26_rand_10000_s0,732,0.0014747281299369267
10000,B26_rand_10000_s2,bv26_rand_10000_s0,748,0.0017728279181408661
10000,B26_rand_10000_s3,bv26_rand_10000_s0,732,-0.0005222367745965682
10000,B26_rand_10000_s4,bv26_rand_10000_s0,737,0.0018295226813956113
10000,B26_rand_10000_s5,bv26_rand_10000_s0,727,0.004920814426225686
10000,B26_rand_10000_s6,bv26_rand_10000_s0,745,-0.0019187239433641284
10000,B26_rand_10000_s7,bv26_rand_10000_s0,735,-0.0028746925355250834
300000,B26_rand_300000_s0,bv26_rand_300000_s0,2000,0.021131116916225275
300000,B26_rand_300000_s1,bv26_rand_300000_s0,2000,0.02021925510472566
300000,B26_rand_300000_s2,bv26_rand_300000_s0,2000,0.021245282144049978
300000,B26_rand_300000_s3,bv26_rand_300000_s0,2000,0.018699647509118376
300000,B26_rand_300000_s4,bv26_rand_300000_s0,2000,0.023788381569378673
30000,B26_rand_30000_s0,bv26_rand_30000_s0,1778,0.0019921093801584583
30000,B26_rand_30000_s1,bv26_rand_30000_s0,1500,0.001625739936969415
30000,B26_rand_30000_s2,bv26_rand_30000_s0,1496,0.0004166719887213786
30000,B26_rand_30000_s3,bv26_rand_30000_s0,1486,0.002007049221121657
30000,B26_rand_30000_s4,bv26_rand_30000_s0,1489,0.002012730680121778
30000,B26_rand_30000_s5,bv26_rand_30000_s0,1477,0.0027661500986750137
30000,B26_rand_30000_s6,bv26_rand_30000_s0,1499,0.00021824629834487413
30000,B26_rand_30000_s7,bv26_rand_30000_s0,1508,0.00022278109576184905
3000,B26_rand_3000_s0,bv26_rand_3000_s0,386,-0.0032831679417323002
3000,B26_rand_3000_s1,bv26_rand_3000_s0,288,-0.0004660360109789325
3000,B26_rand_3000_s2,bv26_rand_3000_s0,292,-0.002140096128105044
3000,B26_rand_3000_s3,bv26_rand_3000_s0,292,-0.005015834228619836
3000,B26_rand_3000_s4,bv26_rand_3000_s0,282,0.005307678444898064
3000,B26_rand_3000_s5,bv26_rand_3000_s0,291,0.002227983240068719
3000,B26_rand_3000_s6,bv26_rand_3000_s0,298,0.006312541410678268
3000,B26_rand_3000_s7,bv26_rand_3000_s0,295,-0.004810418539489916
1815243,B26_lad_base_s0,bv26_base,2000,0.08311196821178003
1815243,B26_lad_base_s1,bv26_base,2000,0.081015291896555
1815243,B26_lad_base_s2,bv26_base,2000,0.08982959188981693
