word,x,y,pos,count,nn_cos,konkle60
you,-53.781105,2.745972,PRON,218120,0.2896297,False
i,-54.29934,3.2833138,PRON,143486,0.24679987,False
s,-49.78016,-24.166578,PROPN,889,0.2063884,False
it,-55.397923,6.3967977,PRON,142773,0.25911632,False
the,32.29316,-20.706648,DET,123942,0.1780564,False
that,-55.409683,6.442523,PRON,72452,0.23602407,False
no,-56.60367,4.195649,INTJ,59714,0.22802894,False
we,-53.487923,2.501964,PRON,47046,0.2474606,False
oh,-56.03984,4.2461877,INTJ,46254,0.25158608,False
okay,-55.82627,3.4846652,INTJ,50012,0.24023254,False
yeah,-55.701733,4.010141,INTJ,50728,0.25577965,False
want,-9.678485,-25.633589,VERB,50472,0.17774011,False
is,-49.77821,-24.165318,AUX,50687,0.2098664,False
what,-54.437378,4.746808,PRON,48043,0.19647638,False
go,-56.21104,2.6779597,VERB,41637,0.18000661,False
there,-56.174004,6.917753,ADV,31064,0.1800853,False
let,-54.617302,7.0816417,VERB,24687,0.18010743,False
she,-49.297913,-1.084039,PRON,16036,0.1817377,False
two,7.547212,53.675964,NUM,8791,0.18129134,False
book,17.494387,8.784238,NOUN,6056,0.3415072,False
these,-15.156642,43.32717,PRON,5400,0.1792999,False
said,22.207218,-29.383074,VERB,4284,0.21950595,False
three,6.3052583,53.493107,NUM,5278,0.19759189,False
read,17.356586,8.802246,VERB,5446,0.3914461,False
from,27.457186,-31.29002,ADP,4592,0.17781715,False
blue,29.245018,37.614376,ADJ,4575,0.26116237,False
ball,14.080174,6.178646,NOUN,4328,0.2119502,True
hands,-13.825323,-42.15638,NOUN,3816,0.19660206,False
dog,45.829483,-11.89427,NOUN,2691,0.2049101,True
green,29.049423,36.813797,ADJ,3300,0.23296948,False
red,30.481363,36.77241,ADJ,3191,0.26036072,False
choo,18.268446,-3.4123356,PROPN,2475,0.20441724,False
car,14.563706,-2.3429153,NOUN,3032,0.18908095,False
five,7.751592,52.0749,NUM,2925,0.26206523,False
bear,43.88918,-6.0095654,NOUN,2344,0.2140923,False
four,7.4155,52.492485,NUM,2698,0.27389845,False
cheese,1.0487205,-44.770508,NOUN,3008,0.20697588,True
night,18.89548,17.277023,NOUN,2418,0.2491907,False
brush,-5.1205254,45.325348,VERB,2491,0.23355883,False
mouth,-0.647093,42.064777,NOUN,2478,0.19620585,False
miles,-32.362072,-16.208313,PROPN,3180,0.39059508,False
train,18.80693,-4.680069,NOUN,2104,0.33509064,True
yay,4.3795805,35.504097,NOUN,2822,0.1809736,False
teeth,-2.8747654,43.938076,NOUN,2485,0.20206054,False
house,14.179174,0.2927438,NOUN,2093,0.17951764,False
yellow,29.39547,36.336605,ADJ,2448,0.25828883,False
goodness,-9.142014,-50.866676,NOUN,1608,0.1866204,False
papa,-13.283628,-11.172873,PROPN,2589,0.20813335,False
cat,37.21797,-5.0448627,NOUN,2539,0.20000125,True
wash,-13.821379,-41.200848,VERB,2115,0.2001973,False
bed,16.728958,20.476814,NOUN,1720,0.18264604,True
truck,14.519818,-3.8012338,NOUN,2010,0.24318878,False
color,25.212076,30.361364,NOUN,1990,0.2431891,False
orange,30.127432,36.273407,ADJ,1959,0.26642692,False
bubba,-13.881181,-30.779253,PROPN,678,0.22177891,False
guys,-28.268274,2.2507844,NOUN,1949,0.20042734,False
hat,11.067436,-17.612907,NOUN,2414,0.1886055,True
walk,-11.267813,3.5740094,VERB,1957,0.19963504,False
shoes,10.692742,-14.566945,NOUN,1984,0.24047655,False
emmett,-7.9628835,-48.627487,PROPN,1407,0.4737327,False
helmet,-44.61798,6.944306,NOUN,1834,0.19997568,False
e,53.346035,1.3010722,PROPN,984,0.19330116,False
quack,43.322964,4.465355,INTJ,1777,0.209747,False
luna,-13.622722,-15.567922,PROPN,2826,0.49138823,False
apple,38.323166,33.775536,NOUN,1533,0.18925792,True
song,-36.720314,-13.177395,NOUN,1700,0.20847803,False
nose,-0.31299147,41.200657,NOUN,1548,0.23728482,False
eggs,2.7775884,-45.859867,NOUN,1574,0.27387047,False
o,22.03141,45.233597,PROPN,873,0.19514394,False
bread,-1.0773553,-39.269535,NOUN,1736,0.20457278,False
cup,-4.2936034,-31.339417,NOUN,1820,0.19636421,False
fish,40.103783,19.509903,NOUN,1789,0.21930994,False
feet,41.1034,-32.464893,NOUN,1741,0.18667884,False
dinner,-22.970333,-31.876928,NOUN,1537,0.19894765,False
bus,4.808779,9.776122,NOUN,1279,0.17816353,False
hop,51.27922,8.340363,PROPN,1168,0.18675756,False
emmy,-22.388092,22.120031,PROPN,1510,0.5664305,False
books,16.703669,9.001545,NOUN,1651,0.2771699,False
bunny,38.90808,-12.782092,NOUN,1493,0.21582444,False
tree,33.24742,-9.652046,NOUN,1187,0.19685125,True
dance,14.937222,50.689835,NOUN,1619,0.2004558,False
