word,x,y,pos,count,nn_cos,konkle60
book,-15.431248,7.9916654,NOUN,6056,0.21207725,False
ball,-11.139166,-7.4500365,NOUN,4328,0.20078903,True
hands,4.604903,44.88447,NOUN,3816,0.18716705,False
dog,21.663837,-31.714012,NOUN,2691,0.20136438,True
car,-32.710274,-4.6967554,NOUN,3032,0.18908095,False
bear,1.4453088,-41.129807,NOUN,2344,0.2140923,False
cheese,15.330964,38.9713,NOUN,3008,0.19446011,True
night,-0.79585516,-8.357184,NOUN,2418,0.23485076,False
mouth,-22.497143,-28.419355,NOUN,2478,0.19620585,False
train,-30.88606,-9.801145,NOUN,2104,0.33509064,True
teeth,4.20621,1.7251996,NOUN,2485,0.20206054,False
house,-34.15933,-0.68804425,NOUN,2093,0.17951764,False
cat,-0.84643227,-37.660645,NOUN,2539,0.17727609,True
bed,0.5524307,-6.489679,NOUN,1720,0.18264604,True
truck,-30.793846,-3.3431385,NOUN,2010,0.24318878,False
color,13.873165,-4.4885197,NOUN,1990,0.21127594,False
hat,-28.975677,-26.210062,NOUN,2414,0.1886055,True
shoes,-6.5374866,-5.4863505,NOUN,1984,0.24047655,False
helmet,-29.893826,8.011146,NOUN,1834,0.19997568,False
apple,31.904469,21.79577,NOUN,1533,0.18925792,True
song,-21.613905,19.821157,NOUN,1700,0.18096197,False
nose,-21.42139,-28.61263,NOUN,1548,0.23728482,False
eggs,15.733447,42.138474,NOUN,1574,0.26381525,False
bread,10.848079,41.31156,NOUN,1736,0.20457278,False
cup,4.7522373,19.066748,NOUN,1820,0.19636421,False
fish,-4.732444,-15.497837,NOUN,1789,0.20518064,False
feet,32.44514,-21.86579,NOUN,1741,0.1803335,False
dinner,1.945361,18.283213,NOUN,1537,0.17736419,False
books,-15.374366,8.274871,NOUN,1651,0.20332263,False
bunny,-8.323432,-38.12736,NOUN,1493,0.21461399,False
tree,-10.260577,-31.123484,NOUN,1187,0.19685125,True
eyes,-19.940302,-27.30544,NOUN,1492,0.19668293,False
music,-21.079453,19.88178,NOUN,1941,0.18239701,False
breakfast,12.597476,41.970837,NOUN,1583,0.2101134,False
socks,-3.9246912,-2.1384537,NOUN,1087,0.19661629,True
piece,-24.37262,-18.38034,NOUN,1250,0.20972721,False
egg,16.032686,42.382713,NOUN,1196,0.2391547,False
duck,11.474369,-24.860561,NOUN,1214,0.19807284,False
butter,8.803693,32.927097,NOUN,1217,0.19775526,False
rice,2.9239118,17.878174,NOUN,1417,0.2189756,False
bowl,7.1787634,21.580603,NOUN,1062,0.18201184,True
peek,-16.552387,-25.299017,NOUN,1052,0.20009202,False
mouse,-2.1505065,-34.546898,NOUN,839,0.19484307,False
bubbles,-13.177014,-2.7528007,NOUN,1321,0.22800933,False
spoon,4.5589066,35.929592,NOUN,1180,0.24104051,True
woof,23.82278,-27.69295,NOUN,1436,0.21748863,False
paper,15.296313,-0.44657472,NOUN,854,0.23054989,False
yogurt,7.6170783,38.345085,NOUN,1193,0.23754184,False
foot,32.445877,-21.841377,NOUN,1122,0.17787819,False
bow,-20.822895,28.983585,NOUN,382,0.18309624,False
bird,-6.077909,-30.162607,NOUN,857,0.1784925,True
pants,-3.037737,-2.551005,NOUN,998,0.19544768,True
page,11.45354,-9.924776,NOUN,1076,0.24766223,False
animals,7.6092205,-31.049597,NOUN,736,0.1902921,False
elephant,10.700737,-30.847218,NOUN,958,0.2547435,False
sun,-16.741777,-17.540907,NOUN,851,0.1836582,False
cow,15.891333,-24.801939,NOUN,912,0.26181817,False
diaper,-1.7268112,1.3952353,NOUN,1067,0.18573518,False
monkey,12.93896,-38.359325,NOUN,1205,0.21478625,False
plate,7.480922,36.7388,NOUN,784,0.2339052,False
horse,14.916791,-29.403385,NOUN,715,0.280246,False
button,-0.81737727,7.8082614,NOUN,782,0.17841975,True
potty,1.4612789,-3.4534392,NOUN,837,0.20173086,False
pig,16.975073,-25.39436,NOUN,632,0.28327724,False
number,26.184732,-0.76113456,NOUN,805,0.21109135,False
pieces,-23.900599,-18.79553,NOUN,628,0.25047472,False
dinosaur,4.229692,-24.352106,NOUN,733,0.19961882,False
doggy,22.786257,-32.45917,NOUN,706,0.24347194,False
dogs,24.4371,-26.863684,NOUN,578,0.22617088,False
shirt,-2.430157,-3.1384585,NOUN,635,0.18228333,False
sheep,17.492052,-23.688028,NOUN,743,0.26280764,False
paint,18.94928,0.5493737,NOUN,394,0.21518552,False
bath,4.0694838,-6.876767,NOUN,686,0.2368346,False
bubble,-13.271679,-3.0015743,NOUN,538,0.2187166,False
oink,16.687502,-26.20163,NOUN,639,0.2525921,False
colors,21.26334,-2.9397833,NOUN,665,0.18781559,False
strawberry,22.41808,31.502256,NOUN,877,0.2683255,False
couch,-14.444301,4.2501006,NOUN,596,0.19787312,False
farm,12.953763,-25.146065,NOUN,619,0.22352517,False
lion,12.4355955,-37.361214,NOUN,659,0.19728005,False
boat,-10.4148855,-18.069302,NOUN,687,0.25681105,False
flower,-12.740545,-27.571106,NOUN,799,0.23755133,False
fork,3.4896185,36.186207,NOUN,717,0.26642895,False
circle,26.912613,-7.869515,NOUN,681,0.3335791,False
turtle,0.09281826,-23.433615,NOUN,541,0.22737235,True
rainbow,21.122936,-2.8710146,NOUN,587,0.18825786,False
flowers,-12.867981,-27.705091,NOUN,731,0.2229199,False
cars,-31.645514,-4.505775,NOUN,652,0.24061663,False
bathroom,3.8466773,-1.4254768,NOUN,581,0.18159215,False
letter,29.894276,-2.9112346,NOUN,702,0.23424202,False
shark,-1.5211562,-14.257616,NOUN,868,0.20047374,False
strawberries,21.81381,32.221485,NOUN,707,0.30608115,False
sauce,-11.1983795,30.41989,NOUN,688,0.18423086,False
spot,17.916393,9.417929,NOUN,609,0.17733371,False
blueberries,19.18532,34.71009,NOUN,518,0.27782002,False
cereal,9.240826,20.680216,NOUN,735,0.19994354,False
puzzle,-23.039886,-19.77852,NOUN,575,0.24876244,False
star,21.747276,-11.813474,NOUN,594,0.23097081,False
pancakes,9.718144,35.73161,NOUN,781,0.28099242,False
ears,-19.290697,-27.268812,NOUN,484,0.21996112,False
balls,-10.794976,-7.338674,NOUN,609,0.17846458,False
moon,-15.1332855,-17.556347,NOUN,596,0.19045965,False
snow,10.241861,-14.0906925,NOUN,403,0.19331379,False
pumpkin,33.80734,2.0505764,NOUN,559,0.21461344,False
animal,7.368986,-25.558569,NOUN,465,0.18237142,False
puppy,22.778883,-33.788746,NOUN,569,0.18691619,False
video,-29.005346,15.414569,NOUN,672,0.22123997,False
pancake,9.068228,35.692062,NOUN,571,0.28120664,False
vacuum,-11.623961,4.85641,NOUN,441,0.20418392,False
rabbit,-2.833158,-32.656006,NOUN,500,0.18452142,False
frog,5.6361847,-26.520418,NOUN,530,0.23203059,False
bud,13.60169,36.986294,NOUN,677,0.20068614,False
doggie,23.079977,-31.818651,NOUN,437,0.23823743,False
balloon,-8.46476,-10.758514,NOUN,552,0.24195422,True
blocks,30.792048,-8.097917,NOUN,511,0.20466228,False
wheels,-25.93392,-6.8045225,NOUN,509,0.20715332,False
bounce,-21.627884,11.419317,NOUN,635,0.19988601,False
tiger,12.857813,-35.1783,NOUN,530,0.18865371,False
tv,-23.317558,23.011774,NOUN,601,0.19292991,True
apples,31.743256,21.552755,NOUN,515,0.19655268,False
pasta,17.926168,19.987226,NOUN,632,0.19851047,False
power,-11.750623,5.9930015,NOUN,324,0.18587911,False
baa,22.776823,-21.303776,NOUN,745,0.18831198,False
sky,-16.716066,-18.76501,NOUN,474,0.17807932,False
window,-25.012552,-15.138999,NOUN,386,0.17909473,False
muffin,13.529163,14.163093,NOUN,343,0.21794207,False
bike,-34.01198,6.2517896,NOUN,480,0.1939158,True
sand,-18.299044,-8.01822,NOUN,326,0.21280147,False
cats,-14.670227,24.134756,NOUN,665,0.2706365,False
clock,27.303974,-16.315722,NOUN,518,0.20547296,True
tail,5.8008494,-39.021027,NOUN,290,0.19723459,False
beans,-0.3604476,35.753677,NOUN,411,0.17755668,False
owl,2.5379307,-34.448025,NOUN,490,0.2429819,False
laundry,-3.6580596,5.4780064,NOUN,461,0.19321555,False
fox,4.5233073,-31.38566,NOUN,437,0.19869955,False
towel,-5.7365365,14.122752,NOUN,360,0.17837268,False
shoe,-7.108765,-5.3774724,NOUN,453,0.21835786,True
stickers,14.367195,0.5577828,NOUN,432,0.24860828,False
butterfly,-3.821286,-22.84873,NOUN,510,0.22210951,True
snake,9.356259,-35.723724,NOUN,275,0.22076528,False
arms,-21.378986,-31.052296,NOUN,430,0.18299532,False
swing,-29.951157,-18.595688,NOUN,507,0.18716455,False
leaves,-8.224379,-26.966284,NOUN,340,0.22451605,True
panda,10.476707,-41.291122,NOUN,465,0.191631,False
zoo,10.214644,-33.846474,NOUN,222,0.19933873,False
timer,-25.850136,14.12532,NOUN,390,0.18098001,False
bib,4.521692,43.067722,NOUN,497,0.2081052,False
birds,-6.7106795,-30.555407,NOUN,311,0.18508595,False
grass,-5.743915,-25.050663,NOUN,329,0.19248562,False
sea,-7.910413,-18.345013,NOUN,463,0.21879435,False
lid,8.466877,23.104918,NOUN,341,0.2019942,False
trees,-10.007816,-31.485275,NOUN,322,0.21455896,False
blanket,-1.4759387,4.5457006,NOUN,335,0.18261044,False
date,-25.257956,13.409538,NOUN,408,0.18492489,False
bar,12.214244,16.335815,NOUN,318,0.1939689,False
square,26.320004,-8.897597,NOUN,449,0.3872789,False
giraffe,12.499577,-34.44517,NOUN,286,0.20915073,False
triangle,25.85701,-8.830265,NOUN,425,0.37352145,False
candy,12.288174,7.04161,NOUN,323,0.17795418,False
sage,9.168296,3.3595498,NOUN,571,0.22137536,False
stars,21.403574,-12.023135,NOUN,403,0.21536963,False
soap,-4.303591,15.260279,NOUN,394,0.22749718,False
movie,-13.101976,20.145185,NOUN,270,0.18159252,False
tongue,-23.52637,-26.594198,NOUN,303,0.18903375,False
sticker,13.478212,0.3836188,NOUN,374,0.2161253,False
squirrel,-9.0072565,-33.015457,NOUN,268,0.21291669,False
dirt,-21.199617,-3.0467055,NOUN,341,0.20113252,False
toast,14.256542,32.226177,NOUN,294,0.1782429,False
trains,-30.888996,-9.422211,NOUN,307,0.3313502,False
zebra,9.415561,-27.948812,NOUN,274,0.20422925,False
carrots,23.680735,24.354465,NOUN,366,0.23157084,False
treat,2.7570782,4.8236065,NOUN,306,0.17860556,False
fridge,14.366984,19.171366,NOUN,381,0.2012638,False
airplane,-22.735733,-10.713007,NOUN,334,0.21311414,True
bunnies,-8.618411,-38.211792,NOUN,232,0.20290428,False
track,-31.46578,-11.122022,NOUN,225,0.21919803,False
carrot,23.582737,24.504847,NOUN,421,0.24361019,False
rocks,-13.27455,-21.577656,NOUN,181,0.20087944,False
dragon,-12.322689,37.484955,NOUN,310,0.26131657,False
peekaboo,-16.546309,-25.501976,NOUN,398,0.18918605,False
blueberry,19.387001,35.661648,NOUN,373,0.22584467,False
knife,6.479231,32.831898,NOUN,341,0.21894653,True
ear,-20.807613,-29.612076,NOUN,253,0.22976424,False
cups,4.74645,20.502598,NOUN,395,0.18313046,False
bucket,-14.665869,-8.980894,NOUN,354,0.19306295,True
piano,-14.304133,15.7910185,NOUN,460,0.18428749,False
toothbrush,2.7384439,0.87167364,NOUN,331,0.19505097,False
penguin,0.5634149,-28.27129,NOUN,270,0.21119392,False
glasses,-21.858948,-25.077488,NOUN,315,0.1929935,False
letters,29.515364,-3.2366772,NOUN,357,0.21536987,False
berries,18.864897,33.500317,NOUN,224,0.2902661,False
farmer,13.9501915,-24.876467,NOUN,207,0.22870708,False
plane,-22.073303,-11.177379,NOUN,370,0.2071517,False
potatoes,17.150282,31.932877,NOUN,283,0.17951824,False
piggy,18.480116,-25.89096,NOUN,357,0.21371412,False
tweet,-7.906814,-36.864586,NOUN,315,0.19659287,False
backpack,-5.958601,0.21924394,NOUN,256,0.18132453,False
cheerios,10.854748,11.305698,NOUN,230,0.18206023,False
land,-5.3658457,-14.432311,NOUN,348,0.18367021,False
stairs,-14.041437,15.014226,NOUN,280,0.18944295,False
guitar,-18.578497,20.723778,NOUN,450,0.21174328,True
spray,-11.7518015,3.9525733,NOUN,160,0.17781012,False
block,30.989555,-8.322412,NOUN,320,0.1954589,False
sink,-2.504808,27.597427,NOUN,272,0.18316467,False
watermelon,28.986523,27.106276,NOUN,377,0.20644413,False
engine,-28.692688,-6.130929,NOUN,301,0.2815516,False
jacket,-5.7977586,0.57855177,NOUN,300,0.19564407,True
battery,-3.113989,10.48945,NOUN,336,0.20532954,False
pet,6.02705,-40.558826,NOUN,324,0.19030078,False
beach,-15.666707,-11.037555,NOUN,317,0.2014264,False
