word,x,y,pos,count,nn_cos,konkle60
book,-12.640045,10.737818,NOUN,6056,0.29760715,False
ball,13.921213,-2.1242266,NOUN,4328,0.22123237,True
hands,11.273295,-22.389534,NOUN,3816,0.22113867,False
dog,18.04905,43.64256,NOUN,2691,0.24078493,True
car,22.60924,16.449718,NOUN,3032,0.23319972,False
bear,-9.077737,35.724472,NOUN,2344,0.24375802,False
cheese,-9.519566,-40.53455,NOUN,3008,0.20661837,True
night,4.1705966,25.081171,NOUN,2418,0.24929313,False
mouth,44.904537,3.6858726,NOUN,2478,0.21589811,False
train,30.297253,21.36042,NOUN,2104,0.34414935,True
teeth,46.132,2.1377492,NOUN,2485,0.23515701,False
house,30.833288,29.806843,NOUN,2093,0.20080118,False
cat,-1.0116717,25.742224,NOUN,2539,0.22552764,True
bed,18.229256,-4.0726933,NOUN,1720,0.19190776,True
truck,21.74356,19.102528,NOUN,2010,0.22738497,False
color,36.463898,-5.564016,NOUN,1990,0.24156582,False
th,38.77101,18.814714,NOUN,2009,0.20650761,False
hat,22.216476,-7.6047683,NOUN,2414,0.22382386,True
shoes,7.7680364,-4.1615067,NOUN,1984,0.27796122,False
banana,-21.174902,-48.641075,NOUN,1906,0.19141467,False
box,-3.533181,19.047445,NOUN,1569,0.18127824,False
apple,-25.7934,-42.337097,NOUN,1533,0.21552412,True
table,4.4005747,-51.174694,NOUN,1526,0.19534798,False
song,-21.292278,-2.838281,NOUN,1700,0.2122292,False
nose,43.78284,3.1182234,NOUN,1548,0.28445843,False
eggs,-10.832433,-41.58735,NOUN,1574,0.27127382,False
bread,-7.5424247,-41.19706,NOUN,1736,0.24667342,False
cup,8.509336,-38.469254,NOUN,1820,0.20238584,False
feet,1.0959098,14.621486,NOUN,1741,0.20917363,False
bus,20.476088,13.373465,NOUN,1279,0.19835357,False
books,-12.536885,10.228218,NOUN,1651,0.30698416,False
bunny,-25.108067,34.91567,NOUN,1493,0.2277308,False
tree,-16.882338,27.944452,NOUN,1187,0.22723992,True
eyes,42.405975,2.3571646,NOUN,1492,0.2508464,False
music,-20.839787,-2.4364777,NOUN,1941,0.21224509,False
breakfast,-10.919835,-37.75688,NOUN,1583,0.23750134,False
socks,11.127178,-6.656053,NOUN,1087,0.22867297,True
piece,38.047123,-22.841652,NOUN,1250,0.22604401,False
sister,-21.771296,-19.388142,NOUN,1593,0.19049834,False
toys,-1.3186011,8.114787,NOUN,1455,0.20574284,False
egg,-11.039182,-41.764587,NOUN,1196,0.24274103,False
chair,3.8579152,-50.839607,NOUN,1428,0.21097334,True
friends,-0.96235,50.24708,NOUN,1066,0.18087666,False
duck,-13.765255,37.438057,NOUN,1214,0.26209295,False
pizza,-7.4556255,-22.270893,NOUN,1162,0.19678383,True
