word,x,y,pos,count,nn_cos,konkle60
book,2.781461,-27.722897,NOUN,6056,0.24157639,False
hands,-46.259567,3.2045496,NOUN,3816,0.20228593,False
ball,26.886332,-34.47258,NOUN,4328,0.19370513,True
dog,28.779488,17.659704,NOUN,2691,0.22099926,True
bear,45.462486,-12.6195345,NOUN,2344,0.21934724,False
car,16.272078,13.471049,NOUN,3032,0.20894398,False
cheese,-39.29302,15.484599,NOUN,3008,0.22257541,True
night,14.163992,-7.5935364,NOUN,2418,0.2126488,False
train,4.5276337,9.599934,NOUN,2104,0.38729325,True
teeth,10.563799,27.461704,NOUN,2485,0.22863834,False
mouth,9.404625,31.076569,NOUN,2478,0.18624105,False
cat,24.083622,4.404763,NOUN,2539,0.21208556,True
room,-2.4593253,-18.714254,NOUN,1866,0.18737783,False
bed,11.776966,-8.156221,NOUN,1720,0.19281077,True
truck,13.444632,13.087962,NOUN,2010,0.23219317,False
color,-1.1999679,12.1089115,NOUN,1990,0.20483188,False
hat,-0.66981846,5.3834524,NOUN,2414,0.1985802,True
face,12.357062,29.524948,NOUN,2047,0.18756129,False
shoes,5.060475,-12.117583,NOUN,1984,0.24461068,False
helmet,-22.076231,-16.660387,NOUN,1834,0.1767863,False
banana,-21.397497,27.373657,NOUN,1906,0.1768945,False
eggs,-41.265377,17.042305,NOUN,1574,0.27730134,False
ice,-48.22379,-6.323988,NOUN,1544,0.1775737,False
cup,-42.131542,-16.536934,NOUN,1820,0.2211694,False
nose,10.228871,31.973969,NOUN,1548,0.26937062,False
books,2.8601863,-27.520706,NOUN,1651,0.2491697,False
bus,16.882504,10.648156,NOUN,1279,0.17997335,False
bunny,24.220484,12.392246,NOUN,1493,0.21556218,False
breakfast,-41.21252,15.042615,NOUN,1583,0.1970834,False
music,-18.57287,-11.948602,NOUN,1941,0.2032096,False
fish,23.61051,-23.233309,NOUN,1789,0.21549392,False
eyes,10.065649,32.755512,NOUN,1492,0.2774773,False
socks,2.846658,-12.967238,NOUN,1087,0.17980158,True
bread,-42.412823,13.6583185,NOUN,1736,0.22910292,False
piece,-7.0117254,9.391579,NOUN,1250,0.18056522,False
egg,-41.49588,17.43741,NOUN,1196,0.2285132,False
friends,25.723986,28.320238,NOUN,1066,0.19972341,False
duck,32.70957,-1.5064722,NOUN,1214,0.2240994,False
butter,-27.730534,5.264933,NOUN,1217,0.21805014,False
pizza,-31.267931,-6.125474,NOUN,1162,0.17750104,True
chicken,-17.734234,15.58717,NOUN,1168,0.17823231,False
bowl,-30.97693,4.3175974,NOUN,1062,0.21898234,True
mouse,18.077309,-5.490668,NOUN,839,0.19461612,False
spoon,-38.19094,6.944747,NOUN,1180,0.2524248,True
rice,-37.09577,-11.526962,NOUN,1417,0.21919411,False
yogurt,-40.26769,9.8960285,NOUN,1193,0.2601396,False
bubbles,2.2893937,18.515287,NOUN,1321,0.23368102,False
vroom,16.879543,14.081164,NOUN,1027,0.19886184,False
paper,-2.1556199,14.788479,NOUN,854,0.22814602,False
peek,0.87777185,33.794098,NOUN,1052,0.23909743,False
woof,26.375092,18.426725,NOUN,1436,0.2379347,False
kiss,-6.881844,-27.543476,NOUN,1254,0.20108043,False
bird,31.430273,-3.8455608,NOUN,857,0.18919803,True
poop,5.0749383,-18.703545,NOUN,886,0.18876891,False
page,16.23005,1.8271531,NOUN,1076,0.24392457,False
animals,43.67428,3.204484,NOUN,736,0.20233174,False
fire,0.49669442,-37.711338,NOUN,850,0.18501873,False
pants,0.37950245,-22.088942,NOUN,998,0.21494894,True
cow,44.1879,-3.3367686,NOUN,912,0.30608812,False
diaper,-8.159063,-22.249958,NOUN,1067,0.17768644,False
elephant,38.288372,1.7931669,NOUN,958,0.21325882,False
babe,-27.595007,-20.369371,NOUN,561,0.18979782,False
sun,21.303217,-16.285707,NOUN,851,0.19196154,False
friend,26.259007,28.13878,NOUN,747,0.17685504,False
monkey,37.022106,5.1416416,NOUN,1205,0.20403244,False
lunch,-28.098997,20.232216,NOUN,969,0.18239588,False
clothes,-2.093481,-21.132921,NOUN,829,0.19129127,False
plate,-38.258408,7.993544,NOUN,784,0.24680401,False
spider,30.525928,-9.445347,NOUN,845,0.18615074,False
potty,-0.24873021,-6.9073396,NOUN,837,0.18461412,False
horse,45.10536,-5.6887927,NOUN,715,0.3076626,False
rock,37.10504,-23.342093,NOUN,763,0.18199356,True
pig,45.20841,-2.737415,NOUN,632,0.31671813,False
number,-5.856445,3.2204924,NOUN,805,0.21780998,False
dogs,27.537144,18.557405,NOUN,578,0.25587937,False
pieces,-6.526792,9.094222,NOUN,628,0.23046602,False
shirt,0.10253068,-22.576195,NOUN,635,0.20892008,False
sheep,45.943832,-0.6340715,NOUN,743,0.25933596,False
monster,-4.365868,-5.098308,NOUN,699,0.19632328,False
oink,45.035004,-1.8253576,NOUN,639,0.25669658,False
doggy,30.915636,16.710068,NOUN,706,0.21869676,False
