word,x,y,pos,count,nn_cos,konkle60
baby,57.916985,9.8380995,NOUN,12866,0.18504699,False
daddy,56.67245,11.385477,NOUN,11215,0.19210665,False
job,56.5486,9.651202,NOUN,5912,0.19736962,False
water,54.99339,9.6968775,NOUN,6416,0.1798023,False
book,-14.650882,-33.48092,NOUN,6056,0.3101488,False
hands,55.917084,4.6468534,NOUN,3816,0.2480597,False
ball,-0.6362452,-18.326145,NOUN,4328,0.24399836,True
dog,-32.78417,-22.653906,NOUN,2691,0.23300155,True
milk,53.62928,10.495791,NOUN,4113,0.1784832,False
bear,-45.1509,-0.693866,NOUN,2344,0.22664376,False
car,-15.760912,-13.456182,NOUN,3032,0.24522005,False
cheese,47.636707,14.010126,NOUN,3008,0.18919702,True
night,-6.77558,10.660798,NOUN,2418,0.2548407,False
jump,7.0810776,-27.274057,NOUN,2136,0.19691627,False
train,-17.27807,-8.041067,NOUN,2104,0.37385476,True
teeth,6.4107485,-39.832966,NOUN,2485,0.22423089,False
hand,56.87564,5.545036,NOUN,2435,0.200383,False
mouth,8.73968,-39.727135,NOUN,2478,0.23593998,False
house,-24.09752,-22.547194,NOUN,2093,0.2064687,False
cat,-45.432518,17.224203,NOUN,2539,0.2304657,True
room,9.993571,10.847754,NOUN,1866,0.19435954,False
head,12.990805,-36.971207,NOUN,2199,0.19678046,False
bed,-5.500836,10.040449,NOUN,1720,0.19470112,True
truck,-15.835716,-20.273226,NOUN,2010,0.24438083,False
color,1.1570367,32.00166,NOUN,1990,0.25377348,False
th,4.187768,-10.350031,NOUN,2009,0.17788672,False
hat,14.156963,-34.51327,NOUN,2414,0.21779585,True
bite,44.169956,8.289039,NOUN,1402,0.1911122,False
face,5.764849,-41.53985,NOUN,2047,0.19629335,False
shoes,5.1372323,5.6262336,NOUN,1984,0.27658665,False
helmet,27.052952,37.077568,NOUN,1834,0.20307977,False
table,53.94028,16.284986,NOUN,1526,0.20908003,False
banana,32.8611,25.717928,NOUN,1906,0.20741017,False
apple,32.76745,28.930927,NOUN,1533,0.19496794,True
eggs,47.597317,11.73255,NOUN,1574,0.2602497,False
song,9.398445,-27.253008,NOUN,1700,0.21149713,False
dinner,55.986965,13.147891,NOUN,1537,0.188848,False
cup,51.431087,9.036014,NOUN,1820,0.20862,False
nose,9.696384,-40.56758,NOUN,1548,0.28040037,False
books,-14.870004,-33.040203,NOUN,1651,0.29462263,False
hair,12.672896,-37.632236,NOUN,1456,0.19500075,False
bus,-4.4373584,-12.121281,NOUN,1279,0.2001435,False
bunny,-36.29876,11.961013,NOUN,1493,0.23495217,False
breakfast,44.71775,13.028391,NOUN,1583,0.24169587,False
tree,-33.024082,16.830532,NOUN,1187,0.2279849,True
music,9.821653,-28.40504,NOUN,1941,0.17996556,False
dada,56.629356,12.439438,NOUN,1149,0.20031933,False
feet,-2.2561462,-38.051315,NOUN,1741,0.23129416,False
fish,-26.133778,-0.6382057,NOUN,1789,0.1969331,False
eyes,11.339666,-40.50234,NOUN,1492,0.24829988,False
socks,-7.0728517,-35.289097,NOUN,1087,0.21307929,True
dance,8.00939,-27.24189,NOUN,1619,0.21157563,False
bread,46.829037,14.748556,NOUN,1736,0.22241127,False
toys,-28.317656,-34.56206,NOUN,1455,0.21108027,False
