word,x,y,pos,count,nn_cos,konkle60
slide,-20.561188,10.4507475,NOUN,722,0.17980699,False
ghost,-6.5809345,9.330233,NOUN,199,0.17506845,False
tray,-15.263788,13.5399475,NOUN,278,0.17370999,False
clown,-15.120127,13.1447735,NOUN,77,0.17257018,False
spring,-14.113847,1.0672687,NOUN,140,0.17149772,False
tomato,-20.698584,16.9586,NOUN,231,0.17023571,False
number,4.157321,17.05201,NOUN,805,0.16989453,False
bus,20.851763,-15.668412,NOUN,1279,0.16919462,False
twirling,-14.106664,0.40094385,NOUN,71,0.16910462,False
button,-9.810155,7.4691906,NOUN,782,0.16909856,True
pond,-17.244146,-0.9177194,NOUN,92,0.16902286,False
rabbit,17.808838,9.041521,NOUN,500,0.1683803,False
oval,1.6239539,-18.837185,NOUN,98,0.16806634,False
triangle,4.9806437,-17.22486,NOUN,425,0.16804326,False
chickens,25.161507,-14.311208,NOUN,106,0.16665809,False
squirrels,-5.1241207,-7.7739472,NOUN,50,0.16624536,False
train,12.089173,-20.116295,NOUN,2104,0.16581148,True
dishwasher,-7.7522607,27.20375,NOUN,196,0.16576587,False
camel,4.2011375,-1.8995957,NOUN,68,0.16532429,False
bah,15.451896,-8.249467,NOUN,276,0.1650616,False
strawberries,-20.40953,17.300516,NOUN,707,0.16490994,False
pump,-10.927389,-0.9900419,NOUN,103,0.16471665,False
filter,4.057424,-1.5103018,NOUN,52,0.16468126,False
rule,-4.4728327,-16.3129,NOUN,59,0.16457127,False
battery,16.665918,-0.41726354,NOUN,336,0.16437487,False
snowman,-1.7767076,16.489676,NOUN,170,0.16437326,False
plant,-26.031603,6.8676295,NOUN,273,0.16406797,False
goose,-8.38971,2.2801661,NOUN,450,0.1638186,False
smiles,0.36790964,-14.943852,NOUN,84,0.16380954,False
cloth,-2.4850888,2.9847748,NOUN,86,0.16350685,False
toothbrush,-2.125354,24.516644,NOUN,331,0.16343269,False
pipe,-6.5509963,-12.099202,NOUN,61,0.16340798,True
chest,4.574162,6.1057277,NOUN,140,0.1633953,False
laundry,-4.0014243,13.10825,NOUN,461,0.1632723,False
castle,-10.3169985,-8.2232065,NOUN,123,0.16302964,False
jail,10.783194,18.954851,NOUN,77,0.16280393,False
flash,-5.614615,0.9059204,NOUN,60,0.16274291,False
fairy,18.368568,9.632453,NOUN,79,0.16258575,False
bread,-10.536511,15.53259,NOUN,1736,0.16249096,False
story,-5.9686394,5.4721694,NOUN,576,0.16195677,False
toaster,20.1912,16.509937,NOUN,68,0.16185297,False
tomatoes,-20.418991,-3.9745102,NOUN,219,0.16176248,False
pirate,-25.398802,6.505179,NOUN,92,0.16167732,False
fiddle,0.61783236,-15.667011,NOUN,67,0.16125138,False
country,14.011869,-17.018972,NOUN,127,0.16107543,False
grapes,15.058604,18.133844,NOUN,290,0.16101466,False
ghosts,-2.3683605,3.588108,NOUN,53,0.16090983,False
hospital,15.717104,-7.3594556,NOUN,114,0.16086389,False
seats,-22.253588,10.243448,NOUN,86,0.16071852,False
cleaner,17.74032,0.30203423,NOUN,85,0.16066419,False
eyes,3.822052,18.527702,NOUN,1492,0.16061483,False
grape,14.55644,19.14242,NOUN,135,0.15984444,False
playroom,-7.149861,9.579557,NOUN,61,0.15967476,False
frogs,-16.80669,-1.5811292,NOUN,105,0.15931578,False
beads,-21.313408,-18.841738,NOUN,127,0.15930165,False
summer,14.228481,-24.754484,NOUN,276,0.15925246,False
barn,4.8264585,-14.981491,NOUN,118,0.15917312,False
night,13.643819,7.20301,NOUN,2418,0.1591035,False
load,-2.0812051,25.73853,NOUN,99,0.15895878,False
wood,-20.350416,11.980536,NOUN,216,0.15889461,False
sports,14.258283,-0.83285654,NOUN,70,0.15857272,False
spider,-25.27222,2.308853,NOUN,845,0.15852313,False
race,15.584424,17.495089,NOUN,208,0.15851468,False
pan,-22.314873,-2.920175,NOUN,332,0.15837835,False
future,-26.259005,1.712744,NOUN,123,0.1582017,False
spoon,-9.542386,20.509525,NOUN,1180,0.15814883,True
jeans,10.90242,3.887012,NOUN,60,0.15812604,False
costume,3.2492726,-12.955904,NOUN,76,0.15796925,False
alien,23.20814,11.82068,NOUN,102,0.15794185,False
instructions,-10.859741,-18.312262,NOUN,69,0.15786831,False
people,4.293573,-13.884131,NOUN,2138,0.15766726,False
dragons,-1.4789205,-10.619588,NOUN,122,0.15766503,False
heart,-2.8358555,-17.930988,NOUN,653,0.15764527,False
books,14.247215,-24.985159,NOUN,1651,0.15741818,False
puppet,8.082724,21.822895,NOUN,82,0.15731847,False
snail,6.498654,10.171275,NOUN,144,0.1571268,False
hedgehog,-1.944651,-4.6732035,NOUN,91,0.15708001,False
middle,-20.835077,2.5002584,NOUN,389,0.15704313,False
pancake,-13.183136,18.36216,NOUN,571,0.15695786,False
bat,4.723838,5.134724,NOUN,166,0.15679453,False
sauce,-16.895134,19.039593,NOUN,688,0.15677808,False
sleeves,-20.581583,-19.488438,NOUN,73,0.15674631,False
farm,24.764719,-14.557191,NOUN,619,0.15673257,False
doggies,22.87605,-1.4109093,NOUN,254,0.15655775,False
lettuce,-10.098998,12.191372,NOUN,90,0.1563871,False
puzzle,7.629822,-24.112246,NOUN,575,0.15630011,False
tracks,12.147128,-20.386517,NOUN,135,0.15623562,False
sun,11.560659,3.1767972,NOUN,851,0.15615472,False
underwear,19.349558,-23.20186,NOUN,89,0.15603597,False
homework,-5.294306,0.5467285,NOUN,58,0.1559944,False
pumpkin,6.70477,-4.285634,NOUN,559,0.15597896,False
rain,9.634069,12.430354,NOUN,608,0.15597503,False
truck,20.868029,-15.912964,NOUN,2010,0.15590969,False
police,19.420956,-8.273386,NOUN,158,0.15563394,False
ducks,-8.929974,1.6506555,NOUN,193,0.15562512,False
owl,-4.8984795,-6.860218,NOUN,490,0.15559994,False
salad,-19.06154,-4.050039,NOUN,320,0.15538533,False
blanket,28.42375,-3.1157928,NOUN,335,0.15537857,False
hour,21.896475,6.902972,NOUN,261,0.15536785,False
bedroom,-13.950168,2.066688,NOUN,76,0.15520346,False
desk,10.343953,6.979566,NOUN,85,0.15515977,False
kid,-20.817303,3.0375109,NOUN,733,0.15505823,False
trap,12.040156,19.947424,NOUN,81,0.15502751,False
sir,19.335758,-22.88009,NOUN,918,0.15501048,False
roof,15.497959,2.171113,NOUN,89,0.15489611,False
soup,-9.176755,21.700912,NOUN,756,0.15486984,False
pumpkins,11.017415,-8.561288,NOUN,93,0.15480857,False
caboose,14.021998,-17.64697,NOUN,89,0.1547923,False
boots,-9.080939,-7.4906907,NOUN,173,0.15467152,False
plants,-27.026026,7.3231683,NOUN,170,0.15462513,False
pigs,24.871841,-7.914739,NOUN,159,0.1543844,False
tube,9.923628,18.801298,NOUN,84,0.15413682,False
photo,-10.597309,-15.8006935,NOUN,138,0.15399998,False
coin,16.424198,22.743998,NOUN,156,0.15393765,False
surface,-28.222897,-3.2226076,NOUN,51,0.15373687,False
slurp,-11.4173765,10.701591,NOUN,83,0.15364005,False
blueberries,-10.6848955,20.260197,NOUN,518,0.15361468,False
jungle,6.925478,-3.594864,NOUN,105,0.15359761,False
shoes,2.6922212,12.129669,NOUN,1984,0.15358709,False
door,-13.177631,5.539069,NOUN,1437,0.15347938,False
edamame,-16.782269,-3.940881,NOUN,64,0.15337914,False
tires,22.127113,-10.26428,NOUN,61,0.15322481,False
family,-5.577419,-16.542255,NOUN,749,0.15312819,False
movie,17.026707,-12.446755,NOUN,270,0.15302928,False
father,-15.259356,22.710373,NOUN,195,0.15296769,False
nanny,-27.043507,13.732916,NOUN,66,0.15290831,False
shirt,-4.615192,12.822586,NOUN,635,0.15290202,False
necklace,0.34716344,19.546894,NOUN,90,0.15289646,True
noises,-9.625885,7.632,NOUN,89,0.15286724,False
duck,-18.306345,-0.051181782,NOUN,1214,0.15285213,False
suitcase,-5.6059213,14.566438,NOUN,60,0.15283237,False
rhino,13.148054,-0.8381066,NOUN,69,0.15283008,False
cows,22.044676,5.3430195,NOUN,128,0.15273201,False
towels,-0.1961114,19.686733,NOUN,89,0.15267257,False
hippo,-23.554249,-4.445469,NOUN,151,0.1526186,False
bathtub,-2.1836352,1.6366912,NOUN,66,0.15254031,False
ship,5.728854,27.879292,NOUN,234,0.15251881,False
bucks,17.554049,-4.9938383,NOUN,55,0.15247397,False
bowls,-8.467368,27.18401,NOUN,113,0.15243508,False
batteries,27.388018,7.778758,NOUN,159,0.15241696,False
years,-3.5620236,-15.192185,NOUN,525,0.15224244,False
sorts,-18.03797,6.0778046,NOUN,64,0.15223424,False
machine,0.9442394,-8.536462,NOUN,266,0.15206563,False
none,11.983255,-8.17503,NOUN,104,0.15201873,False
head,-11.696301,-22.660969,NOUN,2199,0.15199672,False
pressure,-7.4975495,-11.14911,NOUN,78,0.1518139,False
butterfly,10.255234,15.236247,NOUN,510,0.15176357,True
engine,10.056493,-16.494827,NOUN,301,0.15172864,False
bulldozer,26.676943,4.7024198,NOUN,74,0.15166046,False
bit,5.2102375,-28.84682,NOUN,3234,0.1516584,False
potatoes,-5.7450414,-4.609486,NOUN,283,0.15152259,False
girls,-4.145013,9.629915,NOUN,295,0.15148608,False
kittens,12.354377,-12.555157,NOUN,59,0.15147243,False
guitar,0.4516935,2.731139,NOUN,450,0.15145195,True
remy,6.999712,-20.402395,NOUN,206,0.15140612,False
lake,1.3009104,-17.342787,NOUN,91,0.15133098,False
tweet,0.47580656,15.183081,NOUN,315,0.15123403,False
activity,5.9407077,16.647732,NOUN,71,0.15122677,False
finger,16.578844,23.096407,NOUN,886,0.15119453,False
dog,22.861208,-0.512757,NOUN,2691,0.15115915,True
cats,23.105698,-3.8302085,NOUN,665,0.15110672,False
power,-28.795073,-3.75112,NOUN,324,0.15105261,False
paint,10.805721,11.381681,NOUN,394,0.1510516,False
shape,-24.092468,-12.593779,NOUN,268,0.1509885,False
square,5.1110797,-19.319345,NOUN,449,0.15098515,False
dinner,0.3009429,9.753917,NOUN,1537,0.15098476,False
safety,-2.5067232,7.6373706,NOUN,77,0.15096061,False
berry,-23.347473,19.587332,NOUN,136,0.1509417,False
poop,-15.252805,-11.178835,NOUN,886,0.15073335,False
jellyfish,-11.234252,-7.4935846,NOUN,72,0.15067448,False
eggs,-10.745835,14.479729,NOUN,1574,0.1506628,False
months,-14.739851,9.1505995,NOUN,294,0.15062393,False
kiddos,-26.312963,14.064373,NOUN,54,0.1506085,False
drip,-11.041091,-18.923355,NOUN,74,0.15056016,False
pjs,9.40482,-0.94972795,NOUN,83,0.15051354,False
boys,-12.593472,-9.558841,NOUN,208,0.15051143,False
pancakes,-12.309823,18.954212,NOUN,781,0.15043592,False
fun,1.5926838,0.60735047,NOUN,2190,0.15038995,False
splash,-2.0054674,26.765844,NOUN,250,0.15036274,False
mermaid,-13.433481,-3.8753943,NOUN,143,0.15034257,False
fork,-9.906413,16.57674,NOUN,717,0.15025246,False
trouble,-11.063815,-0.27253225,NOUN,222,0.15016812,False
m,0.48284367,-1.9753392,NOUN,2489,0.15016313,False
space,23.503511,11.317524,NOUN,526,0.15015481,False
smoothie,-17.83498,21.957684,NOUN,170,0.1501372,False
squares,5.734312,-17.087297,NOUN,70,0.15011132,False
powers,10.547614,-4.675389,NOUN,50,0.15005897,False
shoe,2.7610343,11.749132,NOUN,453,0.15002863,True
shoulders,4.8753176,-28.396946,NOUN,320,0.150007,False
van,17.01879,4.6753864,NOUN,61,0.14996445,False
turtle,-12.964315,-2.9516933,NOUN,541,0.14995396,True
apple,17.396511,-11.663156,NOUN,1533,0.14994992,True
trains,10.262416,-17.242746,NOUN,307,0.14983626,False
afternoon,-12.625607,-12.905831,NOUN,165,0.14983375,False
front,17.406286,-5.7188764,NOUN,641,0.14979662,False
veggie,6.9064784,10.584144,NOUN,65,0.14973626,False
crabs,15.919421,11.019148,NOUN,52,0.14972173,False
team,10.083828,-7.4308753,NOUN,307,0.14970602,False
ramp,12.92489,-12.525831,NOUN,62,0.14969797,False
burp,19.208181,-7.859053,NOUN,208,0.14965297,False
rush,28.085619,-3.3096185,NOUN,80,0.14964963,False
syrup,-6.2063937,6.2080717,NOUN,65,0.14963923,False
noodles,-15.151513,-4.5903406,NOUN,687,0.1495905,False
presents,-23.122507,10.20457,NOUN,88,0.14957373,False
oink,23.567451,-5.0206385,NOUN,639,0.14948978,False
spatula,2.292909,8.301215,NOUN,54,0.1494684,False
goodnight,13.811494,6.9026604,NOUN,231,0.14944126,False
owls,-2.9786057,-5.667155,NOUN,75,0.14942038,False
dolphin,-5.532928,-3.5322263,NOUN,128,0.14935015,False
sesame,-16.957792,21.467001,NOUN,76,0.1493347,False
crown,-23.973967,-13.039625,NOUN,57,0.14929454,False
yay,6.0733356,13.605898,NOUN,2822,0.14927752,False
cluck,20.375921,9.439167,NOUN,261,0.14923714,False
crayon,13.283578,13.019135,NOUN,122,0.14919549,False
