word,x,y,pos,count,nn_cos,konkle60
goodness,0.38088262,-16.432621,NOUN,1608,0.17163725,False
eek,-4.947945,-15.87652,NOUN,92,0.169807,False
steak,26.774311,-6.186178,NOUN,76,0.16672367,False
bananas,-13.285564,-7.1951923,NOUN,402,0.16517024,False
yawn,-9.827367,-5.044686,NOUN,83,0.16324449,False
tomorrow,-8.051884,5.118013,NOUN,900,0.16270281,False
heart,16.28149,7.682411,NOUN,653,0.16264378,False
strength,-14.330385,9.832342,NOUN,66,0.16253693,False
rain,7.6362653,-0.9328853,NOUN,608,0.16233785,False
dinosaur,18.099403,-20.603674,NOUN,733,0.16175282,False
carrot,15.361599,0.1808462,NOUN,421,0.16165902,False
present,-25.770613,-8.157537,NOUN,217,0.16127108,False
medicine,9.72506,8.429793,NOUN,245,0.16094072,False
clown,-22.729553,-7.062416,NOUN,77,0.16067868,False
tummy,-4.0468926,2.1631968,NOUN,383,0.16053073,False
weekend,-23.152573,-15.242972,NOUN,262,0.16005583,False
rainbow,-1.630448,11.985901,NOUN,587,0.15995674,False
deer,15.844409,-18.160307,NOUN,130,0.15990037,False
future,-0.25300646,15.450519,NOUN,123,0.15860666,False
pin,-5.1738706,-16.97879,NOUN,94,0.15841357,False
dream,-12.618068,-8.8548155,NOUN,219,0.15808588,False
information,-10.606681,-19.002703,NOUN,70,0.1579413,False
froggy,23.316702,2.8398008,NOUN,128,0.15779434,False
dumpling,-14.287064,13.685419,NOUN,85,0.15732913,False
paws,5.9794574,1.3668301,NOUN,61,0.15711835,False
lip,-7.682814,1.7612284,NOUN,86,0.15693396,False
dishwasher,-4.1878734,2.850215,NOUN,196,0.15655607,False
drill,-10.481642,-18.166248,NOUN,85,0.15649045,False
bathroom,-14.644849,-17.78813,NOUN,581,0.15645538,False
kinds,-4.724631,8.10341,NOUN,144,0.15616226,False
stamp,-1.065869,5.185573,NOUN,80,0.15608571,False
girl,2.6089659,5.102405,NOUN,1842,0.15608425,False
rule,21.368725,-17.732538,NOUN,59,0.15593106,False
costume,14.321568,19.7621,NOUN,76,0.15566896,False
hunt,-6.722589,19.386543,NOUN,112,0.1556434,False
hotel,-5.153333,-20.890116,NOUN,72,0.15558586,False
hospital,16.360853,8.990936,NOUN,114,0.15541439,False
buffalo,4.3233466,-8.785978,NOUN,56,0.1553859,False
museum,-26.335674,-8.214208,NOUN,136,0.155273,False
sheep,15.618897,-4.4642053,NOUN,743,0.15522988,False
birthday,-11.584553,-9.5630865,NOUN,1160,0.15510581,False
animal,-9.639579,16.418383,NOUN,465,0.15498647,False
seconds,-7.848434,5.0687275,NOUN,218,0.15496697,False
bubble,20.927582,-13.4506235,NOUN,538,0.15490507,False
years,-14.89304,6.035577,NOUN,525,0.15469407,False
chin,16.119707,14.7857,NOUN,239,0.15462647,False
position,12.965855,-1.4417263,NOUN,70,0.15449448,False
fairy,1.502068,-6.416508,NOUN,79,0.15448518,False
belly,8.294724,-18.003254,NOUN,777,0.15431757,False
