word,x,y,pos,count,nn_cos,konkle60
re,-23.748251,-37.346592,NOUN,141,0.21002197,False
m,-23.942625,-37.54724,NOUN,2489,0.19471265,False
baby,-23.296047,-33.98133,NOUN,12866,0.23819162,False
daddy,-24.630245,-34.866516,NOUN,11215,0.2268709,False
time,-23.103834,-33.091923,NOUN,7853,0.19580205,False
job,-22.69883,-34.32153,NOUN,5912,0.23714662,False
water,-21.039415,-30.175755,NOUN,6416,0.23513652,False
book,1.6481434,-37.617264,NOUN,6056,0.33842778,False
mom,-21.359884,-36.718666,NOUN,5785,0.19019215,False
mm,-25.452309,-36.046444,NOUN,3841,0.18003504,False
hands,-33.216026,-22.059586,NOUN,3816,0.21771592,False
ball,14.71147,-35.32566,NOUN,4328,0.21124928,True
dog,31.450602,-21.36842,NOUN,2691,0.26171717,True
milk,-38.773354,4.1091785,NOUN,4113,0.2273947,False
bear,31.689243,-5.7095785,NOUN,2344,0.2658097,False
food,-41.26297,4.9360247,NOUN,2818,0.1876076,False
car,21.040112,-24.304434,NOUN,3032,0.22917092,False
things,-2.0322664,-33.55565,NOUN,2978,0.17955227,False
cheese,-36.09033,8.021923,NOUN,3008,0.22232671,True
night,22.816912,-13.243249,NOUN,2418,0.24672456,False
jump,-19.665644,-34.26068,NOUN,2136,0.1971643,False
train,16.052984,13.050262,NOUN,2104,0.39374837,True
fun,-21.819214,-34.637154,NOUN,2190,0.21092217,False
teeth,-28.062168,-25.054888,NOUN,2485,0.3045496,False
hand,-33.4796,-22.557734,NOUN,2435,0.18602513,False
mouth,-28.952133,-28.872505,NOUN,2478,0.2740011,False
goodness,-25.267633,-37.2841,NOUN,1608,0.18186384,False
house,10.604348,-11.897711,NOUN,2093,0.18749948,False
cat,38.10695,-17.534983,NOUN,2539,0.2215357,True
room,-7.937323,-35.605164,NOUN,1866,0.18424587,False
head,-26.172104,-31.639473,NOUN,2199,0.192234,False
people,21.181318,-34.005592,NOUN,2138,0.2043745,False
bed,5.759355,-34.628788,NOUN,1720,0.22249858,True
truck,11.611802,9.7912035,NOUN,2010,0.2680683,False
stuff,-21.24903,-36.90067,NOUN,1915,0.18120523,False
color,11.105946,22.732819,NOUN,1990,0.2645155,False
hat,-25.672897,-31.544863,NOUN,2414,0.20578802,True
bite,-44.047157,4.254512,NOUN,1402,0.22245203,False
face,-29.078566,-27.154354,NOUN,2047,0.21054427,False
shoes,-12.656839,-30.307016,NOUN,1984,0.27474225,False
helmet,-23.447744,-26.121119,NOUN,1834,0.21285105,False
table,-45.73767,-1.5050887,NOUN,1526,0.2161148,False
banana,-41.8703,18.803474,NOUN,1906,0.19330299,False
apple,-36.427372,18.720642,NOUN,1533,0.2520089,True
door,-10.189569,-29.880306,NOUN,1437,0.19008279,False
eggs,-41.150146,2.5094771,NOUN,1574,0.28750354,False
song,-7.290043,-21.990778,NOUN,1700,0.23903553,False
box,3.4489486,-38.095463,NOUN,1569,0.18022698,False
dinner,-37.893616,-17.493973,NOUN,1537,0.18684365,False
cup,-39.438423,-8.824604,NOUN,1820,0.19499163,False
nose,-29.54964,-29.214642,NOUN,1548,0.31558302,False
books,1.6118747,-37.361355,NOUN,1651,0.28655314,False
hair,-30.031366,-31.124434,NOUN,1456,0.19928151,False
bus,11.60878,12.799081,NOUN,1279,0.21602052,False
name,34.89094,-27.4364,NOUN,1363,0.17813875,False
bunny,42.535496,-4.895343,NOUN,1493,0.23745461,False
breakfast,-40.0731,3.095786,NOUN,1583,0.24249323,False
tree,19.169048,-0.72068805,NOUN,1187,0.24190365,True
music,-7.4762406,-20.84095,NOUN,1941,0.21831675,False
feet,-4.5766487,-38.277374,NOUN,1741,0.2003244,False
fish,26.378754,-5.7082314,NOUN,1789,0.24231671,False
school,17.1818,-22.694656,NOUN,1463,0.18544996,False
eyes,-30.26231,-29.353523,NOUN,1492,0.30617735,False
socks,-11.279472,-28.535936,NOUN,1087,0.20669092,True
dance,-7.465086,-22.304155,NOUN,1619,0.223103,False
bread,-36.713463,6.1084538,NOUN,1736,0.2943793,False
toys,-9.200632,-36.74697,NOUN,1455,0.19985382,False
piece,12.995547,35.47554,NOUN,1250,0.26494434,False
egg,-41.419495,2.3932188,NOUN,1196,0.25536907,False
minutes,-25.032204,-34.583725,NOUN,1325,0.19262765,False
chair,-45.74451,-1.5197407,NOUN,1428,0.20741291,True
friends,38.125755,10.3855295,NOUN,1066,0.20353855,False
duck,31.098576,5.7172694,NOUN,1214,0.22922851,False
cream,31.843441,28.57084,NOUN,1236,0.19250296,False
bag,-13.052543,-28.605595,NOUN,1097,0.17784804,False
butter,-35.845005,5.2108297,NOUN,1217,0.2794144,False
sister,-3.8466039,-25.064922,NOUN,1593,0.19650684,False
chicken,36.924328,3.2531931,NOUN,1168,0.18540935,False
bowl,-29.740808,-0.13795686,NOUN,1062,0.20781343,True
idea,-21.96303,-33.13423,NOUN,935,0.19372272,False
mouse,31.606993,-3.4064937,NOUN,839,0.2187898,False
spoon,-38.46064,7.365967,NOUN,1180,0.3064284,True
rice,-19.905912,16.327852,NOUN,1417,0.259078,False
clap,-10.3999,-34.304882,NOUN,1090,0.21145044,False
yogurt,-39.08224,5.8722157,NOUN,1193,0.28164494,False
trash,-14.562892,-23.202322,NOUN,773,0.18742563,False
bubbles,9.953416,-38.973522,NOUN,1321,0.26278493,False
vroom,21.949781,-23.94396,NOUN,1027,0.23206012,False
paper,8.3737335,22.542759,NOUN,854,0.27163467,False
toy,-9.620958,-36.807682,NOUN,1003,0.1884032,False
peek,44.930412,-4.640466,NOUN,1052,0.26605955,False
woof,33.649174,-22.122473,NOUN,1436,0.2892448,False
kiss,-4.924166,-31.968884,NOUN,1254,0.20663197,False
bird,40.160255,3.0325239,NOUN,857,0.21745478,True
poop,-6.267719,-28.465157,NOUN,886,0.19458759,False
page,22.456148,11.159398,NOUN,1076,0.30673584,False
foot,-4.578985,-38.16767,NOUN,1122,0.19529355,False
yours,-45.654312,3.350683,NOUN,859,0.17821777,False
phone,-7.933787,-11.007334,NOUN,1129,0.18741383,True
animals,35.046772,3.1495261,NOUN,736,0.27303967,False
end,1.2835186,-38.477985,NOUN,1125,0.23934734,False
fire,-4.9357066,-11.523191,NOUN,850,0.18953653,False
tomorrow,-46.31764,3.2054234,NOUN,900,0.1846345,False
pants,-15.384275,-27.840286,NOUN,998,0.21226068,True
cow,35.004272,5.476623,NOUN,912,0.30154392,False
diaper,-7.56037,-29.134178,NOUN,1067,0.19251068,False
elephant,34.211918,1.7033896,NOUN,958,0.24146219,False
babe,7.6817026,0.58440554,NOUN,561,0.21651632,False
sun,21.283524,-9.155393,NOUN,851,0.23438644,False
toes,-3.8975942,-37.147152,NOUN,1000,0.19855754,False
coffee,-42.296524,-6.25353,NOUN,1298,0.21380012,False
friend,36.402454,13.542775,NOUN,747,0.20252293,False
monkey,32.491077,0.35691655,NOUN,1205,0.216281,False
babies,-2.6435251,-32.72977,NOUN,1143,0.1924327,False
clothes,-15.263723,-26.207895,NOUN,829,0.22601695,False
plate,-39.836456,7.291423,NOUN,784,0.25375792,False
spider,41.300762,-9.14521,NOUN,845,0.2184924,False
potty,4.0463467,-31.973743,NOUN,837,0.2306983,False
horse,35.489685,5.283523,NOUN,715,0.30335003,False
cookie,-35.24155,-7.8893743,NOUN,597,0.17876787,True
kids,32.172832,22.096836,NOUN,951,0.17983972,False
rock,10.760268,-1.5557326,NOUN,763,0.18751408,True
party,23.988895,28.992378,NOUN,837,0.18677498,False
pig,34.01444,6.6623015,NOUN,632,0.29708356,False
number,20.810495,31.703814,NOUN,805,0.27292934,False
dogs,32.645535,-21.564095,NOUN,578,0.28310877,False
pieces,13.281555,35.523174,NOUN,628,0.30378476,False
shirt,-15.68285,-26.834026,NOUN,635,0.23217268,False
sheep,34.31789,6.029163,NOUN,743,0.30983028,False
monster,13.782363,-6.8813944,NOUN,699,0.1780291,False
rain,19.363865,-2.1655972,NOUN,608,0.17859884,False
oink,34.638466,7.7421536,NOUN,639,0.2644432,False
doggy,30.374851,-21.246672,NOUN,706,0.2901039,False
kitchen,-8.883368,-32.107193,NOUN,702,0.18453467,False
year,-3.3034341,-5.6153493,NOUN,692,0.17759706,False
dinosaur,38.515335,-13.855496,NOUN,733,0.2093559,False
bubble,9.963424,-38.976974,NOUN,538,0.23445147,False
paint,5.2301903,21.293644,NOUN,394,0.24161316,False
colors,11.428625,23.014767,NOUN,665,0.22088866,False
couch,-12.440613,-21.791828,NOUN,596,0.19819795,False
kitty,35.35558,-18.917274,NOUN,854,0.19151528,False
world,41.89704,3.4599597,NOUN,686,0.18739767,False
bath,4.6403537,-31.26232,NOUN,686,0.2630587,False
farm,36.822746,6.8186746,NOUN,619,0.23053177,False
kid,11.093869,-22.329624,NOUN,733,0.17724466,False
poo,-11.43349,-4.3483105,NOUN,776,0.18386233,False
strawberry,-35.907845,17.429407,NOUN,877,0.26654413,False
boat,11.678926,3.6619878,NOUN,687,0.31269574,False
fork,-37.6191,8.113459,NOUN,717,0.33523932,False
camera,-23.879284,-26.0642,NOUN,776,0.18647219,True
circle,23.710958,24.999033,NOUN,681,0.3971982,False
fingers,-33.21717,-26.106256,NOUN,655,0.18269044,False
family,14.384505,-22.958939,NOUN,749,0.18629491,False
cereal,-32.40465,-3.7501209,NOUN,735,0.2596791,False
blueberries,-33.008278,7.172592,NOUN,518,0.2646974,False
cars,20.328987,-24.36102,NOUN,652,0.24584384,False
spot,-30.061165,-7.8810167,NOUN,609,0.20977215,False
rainbow,23.668821,1.9456766,NOUN,587,0.20027046,False
turtle,32.54873,2.0355854,NOUN,541,0.24038084,True
pancakes,-37.272182,3.831783,NOUN,781,0.33733073,False
letter,20.306759,30.528557,NOUN,702,0.2596126,False
strawberries,-35.840168,16.928682,NOUN,707,0.27247748,False
row,40.406918,15.419952,NOUN,560,0.17710258,False
puzzle,14.637932,35.62086,NOUN,575,0.30149952,False
front,21.194246,-34.010456,NOUN,641,0.20800662,False
shark,23.873688,-5.159988,NOUN,868,0.2335859,False
brother,-3.9640045,-28.568987,NOUN,1240,0.18831916,False
soup,-21.125868,16.741404,NOUN,756,0.17725301,False
star,21.925793,24.735207,NOUN,594,0.26151624,False
sauce,-27.203566,11.946274,NOUN,688,0.22838849,False
flowers,20.472944,2.8258476,NOUN,731,0.29896837,False
snow,18.226767,-7.9150915,NOUN,403,0.22463642,False
slide,34.975918,14.390749,NOUN,722,0.2103947,False
moon,22.059395,-11.84941,NOUN,596,0.27331135,False
park,17.6309,21.071022,NOUN,677,0.1817792,False
lion,35.487923,2.3358562,NOUN,659,0.2678193,False
bathroom,2.8445432,-32.47562,NOUN,581,0.20853144,False
ears,-30.754004,-29.290611,NOUN,484,0.27700755,False
balls,14.0387,-35.429943,NOUN,609,0.21422355,False
pumpkin,6.0921645,29.596315,NOUN,559,0.25371107,False
pancake,-37.301136,3.7842636,NOUN,571,0.31979066,False
story,19.088486,-15.880287,NOUN,576,0.19866003,False
spin,7.766728,36.07901,NOUN,843,0.18320434,False
tap,10.845058,26.50933,NOUN,505,0.18409066,False
heart,25.556684,27.700457,NOUN,653,0.23304869,False
animal,33.5435,3.4639306,NOUN,465,0.20964749,False
vacuum,-15.298579,-22.765875,NOUN,441,0.21136153,False
bud,-33.341125,-14.003103,NOUN,677,0.2193075,False
legs,28.294756,-24.312164,NOUN,544,0.21005021,False
doggie,30.002907,-21.07897,NOUN,437,0.27328765,False
video,-6.181986,-8.712017,NOUN,672,0.2541401,False
air,-2.1244922,-28.799917,NOUN,502,0.17908408,False
person,-4.9348907,-24.733137,NOUN,642,0.18181552,False
noodles,-25.868279,12.519167,NOUN,687,0.2151738,False
fruit,-33.78477,14.124097,NOUN,604,0.19720413,False
tonight,-37.802498,-16.891924,NOUN,501,0.18211184,False
basket,-10.395751,-10.822059,NOUN,552,0.19160922,True
bounce,-22.056826,-10.725627,NOUN,635,0.18952684,False
days,-15.123651,-37.656437,NOUN,568,0.18046033,False
frog,28.785418,1.1647017,NOUN,530,0.25911307,False
blocks,28.97622,23.280767,NOUN,511,0.23310362,False
wheels,11.945656,11.420928,NOUN,509,0.22938208,False
cookies,-34.960434,-9.034454,NOUN,455,0.18176286,False
apples,-35.919765,19.369577,NOUN,515,0.22645469,False
ring,-6.3836975,-17.480104,NOUN,468,0.18555175,True
flower,20.601301,2.1359546,NOUN,799,0.29929668,False
puppy,36.954636,-22.729439,NOUN,569,0.23464136,False
bananas,-42.540035,18.729383,NOUN,402,0.19998825,False
pasta,-26.588238,12.39468,NOUN,632,0.23295967,False
money,29.645645,24.436163,NOUN,591,0.18084407,False
life,-47.40519,9.151598,NOUN,530,0.19490772,False
muffin,-31.929077,-3.7857282,NOUN,343,0.26908174,False
tiger,35.854,0.6933127,NOUN,530,0.24212694,False
