word,x,y,pos,count,nn_cos,konkle60
book,13.280935,-11.66765,NOUN,6056,0.25177038,False
hands,-26.638142,-24.528074,NOUN,3816,0.20181124,False
ball,36.903522,12.427622,NOUN,4328,0.20587082,True
dog,-0.48243904,32.871025,NOUN,2691,0.21795468,True
bear,-5.7188416,23.396328,NOUN,2344,0.22107933,False
car,23.616564,10.740851,NOUN,3032,0.19483215,False
cheese,-29.004585,-17.178196,NOUN,3008,0.18302095,True
night,20.969215,-11.118534,NOUN,2418,0.2181152,False
train,14.143959,3.1865556,NOUN,2104,0.3728678,True
teeth,4.6487784,-39.80029,NOUN,2485,0.2012342,False
mouth,6.8171334,-40.454704,NOUN,2478,0.18053591,False
cat,-3.4423513,10.135149,NOUN,2539,0.19449653,True
truck,19.091103,3.0300303,NOUN,2010,0.23978813,False
color,31.187227,22.992014,NOUN,1990,0.19696365,False
pop,-38.402138,-21.070944,NOUN,2077,0.18133903,False
th,19.574337,-38.048107,NOUN,2009,0.22500683,False
bite,-30.36637,-26.382648,NOUN,1402,0.18154955,False
face,11.2277975,-40.546913,NOUN,2047,0.17683649,False
shoes,17.092611,-9.990306,NOUN,1984,0.20554328,False
banana,-33.70052,-26.34379,NOUN,1906,0.18135165,False
eggs,-31.489534,-21.244545,NOUN,1574,0.25114527,False
ice,-5.5940948,-38.15011,NOUN,1544,0.19013627,False
cup,-31.26875,8.027441,NOUN,1820,0.21371524,False
nose,8.043335,-39.125214,NOUN,1548,0.28150895,False
books,13.059546,-11.85886,NOUN,1651,0.27275094,False
bus,24.954855,10.472159,NOUN,1279,0.2005407,False
bunny,19.733438,18.362476,NOUN,1493,0.1811025,False
breakfast,-31.764914,-19.968164,NOUN,1583,0.21876955,False
music,1.1814,-18.798851,NOUN,1941,0.18161012,False
fish,11.373288,26.06898,NOUN,1789,0.21490376,False
eyes,7.823276,-38.89715,NOUN,1492,0.27312148,False
bread,-28.512732,-15.220904,NOUN,1736,0.18456821,False
toys,35.133907,6.6287427,NOUN,1455,0.19076067,False
piece,33.65253,30.249016,NOUN,1250,0.21441972,False
egg,-31.629864,-21.947725,NOUN,1196,0.22347312,False
friends,-11.906559,36.039936,NOUN,1066,0.18430781,False
duck,-1.9210252,31.70721,NOUN,1214,0.18514718,False
cream,-29.490196,2.2922575,NOUN,1236,0.18995388,False
light,24.31781,-31.18639,NOUN,1307,0.1812038,False
bag,5.0471716,-31.23367,NOUN,1097,0.1799829,False
butter,-24.35092,-26.251326,NOUN,1217,0.18671794,False
sister,25.71627,-4.9860516,NOUN,1593,0.18398629,False
pizza,38.376408,1.1466872,NOUN,1162,0.18233031,True
bowl,-17.437157,-25.985157,NOUN,1062,0.19464193,True
mouse,-6.8905582,15.8747,NOUN,839,0.21775798,False
spoon,-21.855131,-22.122118,NOUN,1180,0.29617527,True
rice,-20.040026,-18.908892,NOUN,1417,0.1901838,False
clap,4.773326,15.865122,NOUN,1090,0.17785282,False
yogurt,-30.104952,-17.751276,NOUN,1193,0.22505836,False
bow,37.774467,13.079254,NOUN,382,0.1819772,False
bubbles,3.298812,-0.3830125,NOUN,1321,0.18667562,False
vroom,24.551895,10.989782,NOUN,1027,0.20011573,False
peek,4.021072,18.484024,NOUN,1052,0.21870846,False
woof,4.400903,32.50575,NOUN,1436,0.22032745,False
kiss,12.192994,-38.692715,NOUN,1254,0.20141976,False
poop,16.746805,-19.649748,NOUN,886,0.2022093,False
page,14.183926,20.513432,NOUN,1076,0.2742877,False
animals,-8.039856,25.255976,NOUN,736,0.23574406,False
cow,-6.7351584,29.71069,NOUN,912,0.25925064,False
elephant,-7.51674,20.40117,NOUN,958,0.23600136,False
sun,20.05994,27.757526,NOUN,851,0.17817152,False
toes,-3.2703345,40.14205,NOUN,1000,0.18031453,False
friend,-11.642189,36.378784,NOUN,747,0.19695973,False
monkey,-4.5901027,21.448261,NOUN,1205,0.20236994,False
clothes,21.772572,-25.016785,NOUN,829,0.19959038,False
plate,-24.054525,-22.30969,NOUN,784,0.25915325,False
spider,18.570007,21.966555,NOUN,845,0.21214221,False
horse,-7.6134887,29.039785,NOUN,715,0.27410302,False
cookie,40.7757,-1.0462192,NOUN,597,0.21586716,True
rock,17.011606,11.302224,NOUN,763,0.17988224,True
pig,-8.2244215,30.880764,NOUN,632,0.25787568,False
dogs,-0.017564649,32.88523,NOUN,578,0.23024862,False
pieces,33.602234,30.25142,NOUN,628,0.24664211,False
shirt,18.68268,-22.225153,NOUN,635,0.17862739,False
sheep,-7.194983,30.407185,NOUN,743,0.2539029,False
rain,10.278178,19.277071,NOUN,608,0.2035002,False
oink,-8.652767,31.680395,NOUN,639,0.20594943,False
doggy,1.5109214,35.55067,NOUN,706,0.21682201,False
dinosaur,24.141716,31.00824,NOUN,733,0.18345444,False
bubble,3.600671,-0.33708957,NOUN,538,0.18392535,False
