word,x,y,pos,count,nn_cos,konkle60
book,4.868428,-12.608307,NOUN,6056,0.24974434,False
hands,-43.06653,-3.39117,NOUN,3816,0.18050276,False
ball,39.609577,-0.5916723,NOUN,4328,0.20015533,True
dog,18.658123,16.50236,NOUN,2691,0.22753848,True
bear,13.275201,18.795815,NOUN,2344,0.18697722,False
car,21.376516,-18.102123,NOUN,3032,0.22041304,False
cheese,-33.997494,-1.2906775,NOUN,3008,0.19161431,True
night,9.179436,1.838915,NOUN,2418,0.21635284,False
train,19.089947,-9.237704,NOUN,2104,0.37900963,True
teeth,2.7209513,5.558846,NOUN,2485,0.2212426,False
mouth,5.5559754,4.820225,NOUN,2478,0.17816268,False
house,20.810883,-25.7925,NOUN,2093,0.17699325,False
cat,11.430124,17.766851,NOUN,2539,0.18319355,True
bed,1.874049,-6.596392,NOUN,1720,0.17692538,True
truck,19.905596,-15.444921,NOUN,2010,0.2464586,False
color,-1.3474767,-26.617596,NOUN,1990,0.21491317,False
th,-2.422218,-5.5208597,NOUN,2009,0.18494137,False
shoes,2.6434064,-18.647608,NOUN,1984,0.24021332,False
helmet,-4.387027,-15.32505,NOUN,1834,0.19720145,False
eggs,-37.177654,-0.9499836,NOUN,1574,0.2295176,False
song,-9.32782,4.5745687,NOUN,1700,0.18071498,False
ice,-18.290098,12.293546,NOUN,1544,0.1772786,False
cup,-32.65581,-16.629263,NOUN,1820,0.20254894,False
nose,6.559544,3.8727486,NOUN,1548,0.23628259,False
books,4.836187,-12.496042,NOUN,1651,0.23116766,False
bus,22.357029,-16.308285,NOUN,1279,0.1924787,False
bunny,29.02053,-0.95988667,NOUN,1493,0.19615225,False
breakfast,-37.48132,1.0079598,NOUN,1583,0.20594434,False
tree,17.494759,3.3059752,NOUN,1187,0.19284481,True
music,-8.888392,4.2015758,NOUN,1941,0.1953281,False
feet,31.704872,-22.918337,NOUN,1741,0.18233351,False
eyes,7.2233152,4.8422294,NOUN,1492,0.2371788,False
socks,-2.1430109,-10.614119,NOUN,1087,0.18377292,True
bread,-31.427881,-0.47587946,NOUN,1736,0.19203605,False
toys,34.575443,3.7597995,NOUN,1455,0.17937936,False
piece,-14.857934,-31.996037,NOUN,1250,0.19365029,False
egg,-37.277786,-1.2149267,NOUN,1196,0.19848247,False
chair,-33.330273,5.9958344,NOUN,1428,0.1786709,True
friends,21.613947,-2.1317484,NOUN,1066,0.18444763,False
duck,15.514691,20.950766,NOUN,1214,0.19567585,False
bag,-29.535982,-12.847464,NOUN,1097,0.18015409,False
butter,-33.66284,-3.2777894,NOUN,1217,0.18805309,False
pizza,-13.62746,16.153616,NOUN,1162,0.18178038,True
bowl,-28.104225,-5.196565,NOUN,1062,0.19474113,True
tickle,5.2042074,-0.38353792,NOUN,1361,0.19236474,False
spoon,-29.648317,3.2048662,NOUN,1180,0.2802172,True
rice,-26.642496,5.5128055,NOUN,1417,0.18446423,False
yogurt,-33.296665,8.666661,NOUN,1193,0.20688552,False
bubbles,-4.373283,34.691803,NOUN,1321,0.17852265,False
paper,-5.601852,-27.82375,NOUN,854,0.22093046,False
toy,36.851353,3.5451176,NOUN,1003,0.19816439,False
peek,18.16366,26.088287,NOUN,1052,0.20986998,False
woof,16.804459,16.268042,NOUN,1436,0.19032353,False
bird,14.177102,21.946291,NOUN,857,0.19045179,True
poop,7.0079775,-10.140784,NOUN,886,0.18673746,False
page,12.514925,2.9179218,NOUN,1076,0.2651544,False
foot,31.681286,-22.90944,NOUN,1122,0.19036746,False
animals,25.264618,17.76034,NOUN,736,0.24334829,False
fire,18.378132,-19.971813,NOUN,850,0.20167942,False
pants,-2.2372885,-13.533119,NOUN,998,0.1889656,True
cow,25.785233,13.601257,NOUN,912,0.2434475,False
diaper,2.0518765,-14.51278,NOUN,1067,0.17725456,False
elephant,21.633724,18.154526,NOUN,958,0.21874137,False
babe,-18.457777,-28.40043,NOUN,561,0.20305453,False
sun,24.127022,-1.0008365,NOUN,851,0.19154064,False
picture,7.4719315,29.00512,NOUN,973,0.18606324,False
monkey,26.403097,23.152075,NOUN,1205,0.17833702,False
babies,0.29263833,-10.6663685,NOUN,1143,0.18257304,False
plate,-31.539295,2.8147717,NOUN,784,0.25705364,False
potty,6.669215,-7.436387,NOUN,837,0.18712862,False
horse,25.260687,14.8609085,NOUN,715,0.25426564,False
cookie,-18.133968,28.112772,NOUN,597,0.20648865,True
button,35.560234,-16.033148,NOUN,782,0.1936298,True
rock,29.025026,-19.392786,NOUN,763,0.18520284,True
pig,28.410467,13.617801,NOUN,632,0.24927668,False
dogs,18.048386,16.410719,NOUN,578,0.21728027,False
pieces,-14.601149,-31.818045,NOUN,628,0.23710482,False
shirt,-2.2346778,-13.26515,NOUN,635,0.18061316,False
sheep,26.680128,13.958823,NOUN,743,0.24692269,False
oink,28.711096,12.777422,NOUN,639,0.21340239,False
doggy,20.143639,15.105052,NOUN,706,0.23625623,False
dinosaur,-11.151304,17.405285,NOUN,733,0.19972424,False
bubble,-4.260548,35.0197,NOUN,538,0.18623435,False
paint,0.84622747,-32.482155,NOUN,394,0.22055526,False
colors,-1.0162239,-26.752798,NOUN,665,0.194151,False
couch,-12.468572,-11.812188,NOUN,596,0.18532664,False
bath,-2.0445077,2.6640866,NOUN,686,0.20753591,False
farm,27.13998,15.162044,NOUN,619,0.21726076,False
strawberry,-36.70415,13.095866,NOUN,877,0.20934622,False
boat,23.157724,-9.965075,NOUN,687,0.20480804,False
fork,-29.282143,5.504243,NOUN,717,0.28123248,False
circle,37.540234,9.684606,NOUN,681,0.37203494,False
cereal,-22.89484,-1.6860001,NOUN,735,0.21311809,False
blueberries,-36.56623,8.3619375,NOUN,518,0.23467879,False
cars,21.021933,-17.790264,NOUN,652,0.22529519,False
turtle,17.272964,19.585611,NOUN,541,0.20762806,True
pancakes,-35.096996,2.827478,NOUN,781,0.27588657,False
letter,4.182967,33.40615,NOUN,702,0.25485003,False
strawberries,-36.691227,12.6214,NOUN,707,0.24078499,False
puzzle,-12.993264,-30.670696,NOUN,575,0.24911802,False
shark,-0.6822286,-3.774245,NOUN,868,0.18023415,False
star,27.223255,2.1423783,NOUN,594,0.19033265,False
sauce,-22.630548,6.794945,NOUN,688,0.20903526,False
flowers,22.398855,5.605654,NOUN,731,0.19124024,False
slide,37.32253,-6.708006,NOUN,722,0.20529336,False
moon,24.720608,2.1460192,NOUN,596,0.22858244,False
lion,23.927702,20.983046,NOUN,659,0.2540078,False
ears,7.4463854,4.621736,NOUN,484,0.25051096,False
balls,39.602512,-0.6334995,NOUN,609,0.19937837,False
pumpkin,-2.5363533,10.12,NOUN,559,0.18016668,False
pancake,-35.22471,2.9952245,NOUN,571,0.29264385,False
heart,39.095333,12.03409,NOUN,653,0.1942367,False
legs,3.2834322,2.3971155,NOUN,544,0.19792558,False
doggie,19.855064,14.902262,NOUN,437,0.24968167,False
video,-10.009461,22.595793,NOUN,672,0.21891384,False
noodles,-23.065796,9.238837,NOUN,687,0.23275836,False
fruit,-39.71281,11.36597,NOUN,604,0.19678247,False
bounce,-9.183586,-18.402729,NOUN,635,0.18830055,False
frog,18.0961,11.416298,NOUN,530,0.2493829,False
blocks,35.615116,-0.83134323,NOUN,511,0.21112853,False
wheels,22.782309,-15.063567,NOUN,509,0.21070419,False
cookies,-17.905657,28.399445,NOUN,455,0.21489187,False
apples,-30.758116,19.07734,NOUN,515,0.20970042,False
flower,22.288795,5.7664185,NOUN,799,0.21263699,False
pasta,-21.713676,8.502381,NOUN,632,0.22027771,False
muffin,-20.366373,-2.1172757,NOUN,343,0.19199504,False
tiger,23.680489,22.348724,NOUN,530,0.19298966,False
baa,30.823917,15.740497,NOUN,745,0.17863832,False
window,14.323949,-17.735352,NOUN,386,0.18818241,False
sand,16.523098,-23.205915,NOUN,326,0.1935947,False
rabbit,14.010814,16.74617,NOUN,500,0.19628082,False
cats,-14.288505,1.4937866,NOUN,665,0.22693415,False
balloon,22.636555,28.60443,NOUN,552,0.18605536,True
tower,27.735832,-10.267532,NOUN,497,0.18630493,False
owl,8.793564,12.301705,NOUN,490,0.2098494,False
beans,-40.72508,6.6980753,NOUN,411,0.18705542,False
sky,24.018902,2.5813997,NOUN,474,0.17745708,False
tail,5.4528813,10.60602,NOUN,290,0.20167287,False
tv,-12.492659,-9.908655,NOUN,601,0.20933457,True
laundry,-5.225578,-12.7917385,NOUN,461,0.20084536,False
fox,8.44494,11.470842,NOUN,437,0.20727247,False
clock,-1.226582,21.381666,NOUN,518,0.19724415,True
shoe,2.9450774,-18.67105,NOUN,453,0.21558584,True
stickers,-4.297694,-28.709122,NOUN,432,0.29134512,False
arms,2.874183,2.2658944,NOUN,430,0.18218662,False
bib,-31.92609,5.676488,NOUN,497,0.22323193,False
zoo,27.00924,19.383999,NOUN,222,0.22558786,False
leaves,14.263371,6.7024117,NOUN,340,0.21341898,True
snake,-16.590166,22.980375,NOUN,275,0.19381718,False
butterfly,29.768696,-11.255215,NOUN,510,0.20356457,True
potato,-26.876932,2.6110198,NOUN,437,0.18169482,False
birds,18.563221,5.209679,NOUN,311,0.2217172,False
pictures,7.643944,28.719357,NOUN,408,0.17972928,False
grass,28.683025,-17.842642,NOUN,329,0.18712841,False
bar,-21.478525,-6.006649,NOUN,318,0.19834088,False
swing,37.33744,-6.856678,NOUN,507,0.20709813,False
trees,16.839386,3.0642092,NOUN,322,0.20781933,False
blanket,1.1607531,-4.106704,NOUN,335,0.20347382,False
panda,14.312299,13.940236,NOUN,465,0.18360122,False
sage,-9.142126,8.359235,NOUN,571,0.21461987,False
lid,-29.870497,-12.049712,NOUN,341,0.19612871,False
giraffe,24.172693,20.707912,NOUN,286,0.22830994,False
stars,26.1169,1.9559811,NOUN,403,0.19909208,False
square,38.090775,10.482619,NOUN,449,0.35275903,False
triangle,37.955048,9.957001,NOUN,425,0.37917343,False
squirrel,21.26187,7.731572,NOUN,268,0.20729935,False
tongue,3.6211498,6.017332,NOUN,303,0.23095556,False
zebra,23.716743,19.372385,NOUN,274,0.2187439,False
trains,18.832817,-8.780755,NOUN,307,0.35371494,False
dirt,12.542303,-25.111738,NOUN,341,0.21622826,False
soap,-43.429432,-5.3044257,NOUN,394,0.21866842,False
bunnies,28.878733,-1.1814547,NOUN,232,0.20142202,False
