word,x,y,pos,count,nn_cos,konkle60
book,-21.058214,18.393114,NOUN,6056,0.2552887,False
beep,13.793896,34.059025,NOUN,3504,0.17997348,False
hands,31.74369,-11.642067,NOUN,3816,0.21098529,False
ball,-34.319412,-18.303375,NOUN,4328,0.18019624,True
dog,-4.705721,17.314152,NOUN,2691,0.21846604,True
bear,-3.5965843,-0.05681897,NOUN,2344,0.22750421,False
car,11.065702,28.552547,NOUN,3032,0.18945414,False
cheese,34.630722,-20.017714,NOUN,3008,0.21234572,True
night,-14.515576,14.620754,NOUN,2418,0.21010429,False
train,11.329564,33.41573,NOUN,2104,0.36908534,True
teeth,32.417843,3.0117178,NOUN,2485,0.18088038,False
mouth,-31.197994,20.335667,NOUN,2478,0.2099634,False
room,-27.37122,-21.240818,NOUN,1866,0.18232058,False
bed,-20.780094,22.065905,NOUN,1720,0.18110757,True
truck,9.100035,23.204994,NOUN,2010,0.23288532,False
color,-35.337,-8.602219,NOUN,1990,0.20788361,False
pop,1.3062373,-19.417446,NOUN,2077,0.18621206,False
th,-20.738579,-32.37413,NOUN,2009,0.19839625,False
shoes,-36.833515,18.560772,NOUN,1984,0.19813575,False
table,-9.58272,45.79622,NOUN,1526,0.17931747,False
banana,-6.4096327,-7.5929923,NOUN,1906,0.17982052,False
apple,25.159803,17.483585,NOUN,1533,0.17715685,True
eggs,32.838047,-23.173122,NOUN,1574,0.24046908,False
song,-2.0800874,-25.815105,NOUN,1700,0.18307574,False
cup,30.73519,-27.96992,NOUN,1820,0.20943744,False
nose,-30.706371,19.770855,NOUN,1548,0.263074,False
books,-21.561436,18.375362,NOUN,1651,0.27862236,False
bus,8.518713,28.391373,NOUN,1279,0.19976467,False
bunny,-25.58438,21.129503,NOUN,1493,0.2571063,False
breakfast,31.865776,-21.054968,NOUN,1583,0.22042657,False
tree,2.439274,16.707567,NOUN,1187,0.22236927,True
music,-6.2084394,-21.78378,NOUN,1941,0.1922855,False
feet,-22.388245,27.565956,NOUN,1741,0.18802659,False
fish,-11.069334,15.530639,NOUN,1789,0.18918864,False
eyes,-30.237127,19.521557,NOUN,1492,0.27003118,False
bread,30.23125,-16.778664,NOUN,1736,0.21276389,False
toys,-5.9986343,7.8249717,NOUN,1455,0.19223344,False
piece,-31.701168,-14.240319,NOUN,1250,0.20198338,False
egg,32.961662,-23.280537,NOUN,1196,0.21511738,False
chair,-9.552867,45.749943,NOUN,1428,0.18268879,True
friends,-15.777086,-38.88411,NOUN,1066,0.19405848,False
duck,-9.334861,1.0035304,NOUN,1214,0.19957274,False
