scale,source,kind,category,spearman,n_pairs
10000,F_dinov3b_align_10000_s0,model,all,0.05006189825850161,607
10000,bv26a_align_10000,w2v,all,-0.04820360810761686,607
10000,F_dinov3b_align_10000_s0,model,noun,0.05109506161820021,207
10000,bv26a_align_10000,w2v,noun,0.05388599535198831,207
10000,F_dinov3b_align_10000_s1,model,all,0.00444298257065175,607
10000,F_dinov3b_align_10000_s1,model,noun,0.005454330253317016,207
10000,F_dinov3b_align_10000_s2,model,all,-0.006944206073432244,607
10000,F_dinov3b_align_10000_s2,model,noun,-0.044810217144707475,207
30000,F_dinov3b_align_30000_s0,model,all,0.027336504758459015,1382
30000,bv26a_align_30000,w2v,all,0.10049741527598034,1382
30000,F_dinov3b_align_30000_s0,model,noun,0.03216913506032916,570
30000,bv26a_align_30000,w2v,noun,0.11781852556975211,570
30000,F_dinov3b_align_30000_s1,model,all,0.05177703207468126,1382
30000,F_dinov3b_align_30000_s1,model,noun,0.01555691568854569,570
30000,F_dinov3b_align_30000_s2,model,all,0.04236831188473753,1382
30000,F_dinov3b_align_30000_s2,model,noun,0.11265875547003051,570
100000,F_dinov3b_align_100000_s0,model,all,0.07482668060016151,2901
100000,bv26a_align_100000,w2v,all,0.26864857477983733,2901
100000,F_dinov3b_align_100000_s0,model,noun,0.11151767408174702,1205
100000,bv26a_align_100000,w2v,noun,0.329010584925177,1205
100000,F_dinov3b_align_100000_s1,model,all,0.12970639480100157,2901
100000,F_dinov3b_align_100000_s1,model,noun,0.15104747957690132,1205
100000,F_dinov3b_align_100000_s2,model,all,0.0803082251727052,2901
100000,F_dinov3b_align_100000_s2,model,noun,0.08313811170206713,1205
170000,F_dinov3b_align_170000_s0,model,all,0.09009236799037365,3673
170000,bv26a_align_170000,w2v,all,0.26610461951519376,3673
170000,F_dinov3b_align_170000_s0,model,noun,0.14558841176020973,1509
170000,bv26a_align_170000,w2v,noun,0.32863102900701285,1509
170000,F_dinov3b_align_170000_s1,model,all,0.10784669745988087,3673
170000,F_dinov3b_align_170000_s1,model,noun,0.11753771347893079,1509
170000,F_dinov3b_align_170000_s2,model,all,0.13726427854051276,3673
170000,F_dinov3b_align_170000_s2,model,noun,0.19857103051339706,1509
