scale,source,kind,category,spearman,n_pairs
3000,F_dinov3b_rand_3000_s0,model,all,0.07039101421917228,207
3000,bv26a_rand_3000_s0,w2v,all,-0.02915884566064728,207
3000,F_dinov3b_rand_3000_s0,model,noun,0.33282442748091606,27
3000,bv26a_rand_3000_s0,w2v,noun,-0.26900763358778623,27
3000,F_dinov3b_rand_3000_s1,model,all,0.10976468406157688,128
3000,F_dinov3b_rand_3000_s2,model,all,0.0489570904178366,129
3000,F_dinov3b_rand_3000_s3,model,all,-0.04216949746354521,126
3000,F_dinov3b_rand_3000_s4,model,all,-0.027494713386932674,128
3000,F_dinov3b_rand_3000_s5,model,all,-0.11829386183081207,113
3000,F_dinov3b_rand_3000_s6,model,all,0.11112741307562236,98
3000,F_dinov3b_rand_3000_s7,model,all,-0.004065224249201558,123
10000,F_dinov3b_rand_10000_s0,model,all,-0.014972017953638575,771
10000,bv26a_rand_10000_s0,w2v,all,0.03357617680780514,771
10000,F_dinov3b_rand_10000_s0,model,noun,0.06908954053847938,211
10000,bv26a_rand_10000_s0,w2v,noun,-0.08833920053102966,211
10000,F_dinov3b_rand_10000_s1,model,all,0.0792600669107278,593
10000,F_dinov3b_rand_10000_s1,model,noun,0.03255685847502069,135
10000,F_dinov3b_rand_10000_s2,model,all,0.0112591232990773,603
10000,F_dinov3b_rand_10000_s2,model,noun,-0.022414268061970256,143
10000,F_dinov3b_rand_10000_s3,model,all,-0.06524478102054095,609
10000,F_dinov3b_rand_10000_s3,model,noun,-0.053134279499945127,154
10000,F_dinov3b_rand_10000_s4,model,all,-0.04360914569160808,602
10000,F_dinov3b_rand_10000_s4,model,noun,-0.06251315621415346,133
10000,F_dinov3b_rand_10000_s5,model,all,-0.061631814685547084,593
10000,F_dinov3b_rand_10000_s5,model,noun,0.048694788231422065,146
10000,F_dinov3b_rand_10000_s6,model,all,0.01465000813853697,572
10000,F_dinov3b_rand_10000_s6,model,noun,-0.002198890534364344,136
10000,F_dinov3b_rand_10000_s7,model,all,0.035553444323212065,607
10000,F_dinov3b_rand_10000_s7,model,noun,-0.04942835572844567,139
30000,F_dinov3b_rand_30000_s0,model,all,-0.04875101934291456,1595
30000,bv26a_rand_30000_s0,w2v,all,0.15735811766985586,1595
30000,F_dinov3b_rand_30000_s0,model,noun,-0.07435155547960058,514
30000,bv26a_rand_30000_s0,w2v,noun,0.1563561196535471,514
30000,F_dinov3b_rand_30000_s1,model,all,0.015320010294625631,1325
30000,F_dinov3b_rand_30000_s1,model,noun,0.017461376629103104,413
30000,F_dinov3b_rand_30000_s2,model,all,0.009541418780456274,1273
30000,F_dinov3b_rand_30000_s2,model,noun,0.04284584574584765,417
