scale,source,kind,category,spearman,n_pairs
10000,F_dinov3s_align_10000_s0,model,all,-0.005258514939896964,607
10000,bv26a_align_10000,w2v,all,-0.04820360810761686,607
10000,F_dinov3s_align_10000_s0,model,noun,-0.07411332987449223,207
10000,bv26a_align_10000,w2v,noun,0.05388599535198831,207
10000,F_dinov3s_align_10000_s1,model,all,0.05334787983037189,607
10000,F_dinov3s_align_10000_s1,model,noun,0.04838464209394444,207
10000,F_dinov3s_align_10000_s2,model,all,-0.012341299269914004,607
10000,F_dinov3s_align_10000_s2,model,noun,-0.031921177719577025,207
30000,F_dinov3s_align_30000_s0,model,all,0.030405767181308125,1382
30000,bv26a_align_30000,w2v,all,0.10049741527598034,1382
30000,F_dinov3s_align_30000_s0,model,noun,0.011566054489251467,570
30000,bv26a_align_30000,w2v,noun,0.11781852556975211,570
30000,F_dinov3s_align_30000_s1,model,all,0.02998812687205412,1382
30000,F_dinov3s_align_30000_s1,model,noun,-0.026486832806471808,570
30000,F_dinov3s_align_30000_s2,model,all,0.03032661750573838,1382
30000,F_dinov3s_align_30000_s2,model,noun,0.024750869912656386,570
100000,F_dinov3s_align_100000_s0,model,all,0.07796508139027379,2901
100000,bv26a_align_100000,w2v,all,0.26864857477983733,2901
100000,F_dinov3s_align_100000_s0,model,noun,0.13478589154669393,1205
100000,bv26a_align_100000,w2v,noun,0.329010584925177,1205
100000,F_dinov3s_align_100000_s1,model,all,0.0519283676420485,2901
100000,F_dinov3s_align_100000_s1,model,noun,0.11788064010011447,1205
100000,F_dinov3s_align_100000_s2,model,all,0.09217579597987674,2901
100000,F_dinov3s_align_100000_s2,model,noun,0.13411819338345787,1205
170000,F_dinov3s_align_170000_s0,model,all,0.08891793018493016,3673
170000,bv26a_align_170000,w2v,all,0.26610461951519376,3673
170000,F_dinov3s_align_170000_s0,model,noun,0.11743362249075802,1509
170000,bv26a_align_170000,w2v,noun,0.32863102900701285,1509
170000,F_dinov3s_align_170000_s1,model,all,0.07164362096757551,3673
170000,F_dinov3s_align_170000_s1,model,noun,0.08167347503541253,1509
170000,F_dinov3s_align_170000_s2,model,all,0.06418296724766469,3673
170000,F_dinov3s_align_170000_s2,model,noun,0.08237128773032398,1509
