scale,source,kind,category,spearman,n_pairs
3000,F_dinov3s_rand_3000_s0,model,all,-0.015559570573356917,207
3000,bv26a_rand_3000_s0,w2v,all,-0.02915884566064728,207
3000,F_dinov3s_rand_3000_s0,model,noun,-0.22351145038167938,27
3000,bv26a_rand_3000_s0,w2v,noun,-0.26900763358778623,27
3000,F_dinov3s_rand_3000_s1,model,all,0.19441940709182123,128
3000,F_dinov3s_rand_3000_s2,model,all,0.10034078856081495,129
3000,F_dinov3s_rand_3000_s3,model,all,0.030565085384077876,126
3000,F_dinov3s_rand_3000_s4,model,all,-0.09044810637185483,128
3000,F_dinov3s_rand_3000_s5,model,all,-0.2428706357485259,113
3000,F_dinov3s_rand_3000_s6,model,all,-0.0779900794549088,98
3000,F_dinov3s_rand_3000_s7,model,all,0.07372391410124793,123
10000,F_dinov3s_rand_10000_s0,model,all,-0.02234939211671383,771
10000,bv26a_rand_10000_s0,w2v,all,0.03357617680780514,771
10000,F_dinov3s_rand_10000_s0,model,noun,-0.0890049206011338,211
10000,bv26a_rand_10000_s0,w2v,noun,-0.08833920053102966,211
10000,F_dinov3s_rand_10000_s1,model,all,0.0223036607429388,593
10000,F_dinov3s_rand_10000_s1,model,noun,-0.008938133482127663,135
10000,F_dinov3s_rand_10000_s2,model,all,-0.016090871736929916,603
10000,F_dinov3s_rand_10000_s2,model,noun,0.099727637354429,143
10000,F_dinov3s_rand_10000_s3,model,all,0.037113216676262065,609
10000,F_dinov3s_rand_10000_s3,model,noun,0.04413846890742367,154
10000,F_dinov3s_rand_10000_s4,model,all,-0.0016488276928662826,602
10000,F_dinov3s_rand_10000_s4,model,noun,-0.017184484992594583,133
10000,F_dinov3s_rand_10000_s5,model,all,-0.005457820025337115,593
10000,F_dinov3s_rand_10000_s5,model,noun,0.022953083941797448,146
10000,F_dinov3s_rand_10000_s6,model,all,-0.03977064706511116,572
10000,F_dinov3s_rand_10000_s6,model,noun,-0.13577164738961434,136
10000,F_dinov3s_rand_10000_s7,model,all,0.08267753811232109,607
10000,F_dinov3s_rand_10000_s7,model,noun,0.08258397415996545,139
30000,F_dinov3s_rand_30000_s0,model,all,0.043589442742030284,1595
30000,bv26a_rand_30000_s0,w2v,all,0.15735811766985586,1595
30000,F_dinov3s_rand_30000_s0,model,noun,0.031546372896487526,514
30000,bv26a_rand_30000_s0,w2v,noun,0.1563561196535471,514
30000,F_dinov3s_rand_30000_s1,model,all,-0.028084128215740595,1325
30000,F_dinov3s_rand_30000_s1,model,noun,-0.05527877724058918,413
30000,F_dinov3s_rand_30000_s2,model,all,-0.004233988168099578,1273
30000,F_dinov3s_rand_30000_s2,model,noun,0.06937919241558317,417
30000,F_dinov3s_rand_30000_s3,model,all,-0.038228401000109026,1301
30000,F_dinov3s_rand_30000_s3,model,noun,-0.02859485778062819,425
30000,F_dinov3s_rand_30000_s4,model,all,-0.04421377046198267,1327
30000,F_dinov3s_rand_30000_s4,model,noun,-0.05457311368197694,427
30000,F_dinov3s_rand_30000_s5,model,all,0.052606560306162745,1304
30000,F_dinov3s_rand_30000_s5,model,noun,0.06832516497086207,424
30000,F_dinov3s_rand_30000_s6,model,all,-0.0022137384696538295,1312
30000,F_dinov3s_rand_30000_s6,model,noun,0.023728849845509756,439
30000,F_dinov3s_rand_30000_s7,model,all,-0.07210436631181395,1302
30000,F_dinov3s_rand_30000_s7,model,noun,-0.05435534808256925,430
100000,F_dinov3s_rand_100000_s0,model,all,-0.0032931288922298596,2808
100000,bv26a_rand_100000_s0,w2v,all,0.20608088830198362,2808
100000,F_dinov3s_rand_100000_s0,model,noun,-0.026715415547833958,1067
100000,bv26a_rand_100000_s0,w2v,noun,0.24123293301708545,1067
100000,F_dinov3s_rand_100000_s1,model,all,0.009987348755813962,2540
100000,F_dinov3s_rand_100000_s1,model,noun,0.030393377788274403,955
100000,F_dinov3s_rand_100000_s2,model,all,0.014681386299994869,2520
100000,F_dinov3s_rand_100000_s2,model,noun,-0.010007053945473389,960
100000,F_dinov3s_rand_100000_s3,model,all,0.0074991996994393535,2521
100000,F_dinov3s_rand_100000_s3,model,noun,0.018495778491861896,960
100000,F_dinov3s_rand_100000_s4,model,all,0.038465104616135566,2504
100000,F_dinov3s_rand_100000_s4,model,noun,0.0734985589482984,935
100000,F_dinov3s_rand_100000_s5,model,all,0.017192670419147682,2507
100000,F_dinov3s_rand_100000_s5,model,noun,-0.0028453602401031374,960
100000,F_dinov3s_rand_100000_s6,model,all,0.008822673161049597,2567
100000,F_dinov3s_rand_100000_s6,model,noun,-0.014301889196303607,961
100000,F_dinov3s_rand_100000_s7,model,all,-0.03495613729655892,2486
100000,F_dinov3s_rand_100000_s7,model,noun,-0.017523938765899326,949
300000,F_dinov3s_rand_300000_s0,model,all,0.025371919788220385,4131
300000,bv26a_rand_300000_s0,w2v,all,0.23248393847439464,4131
300000,F_dinov3s_rand_300000_s0,model,noun,0.047869411568100026,1610
300000,bv26a_rand_300000_s0,w2v,noun,0.28094899448725486,1610
300000,F_dinov3s_rand_300000_s1,model,all,0.07729307090542284,3820
300000,F_dinov3s_rand_300000_s1,model,noun,0.05541754916696763,1505
