scale,source,kind,category,spearman,n_pairs
10000,F_vitl_bv_align_10000_s0,model,all,0.047530678532901785,607
10000,bv26a_align_10000,w2v,all,-0.04820360810761686,607
10000,F_vitl_bv_align_10000_s0,model,noun,0.0069516239146195724,207
10000,bv26a_align_10000,w2v,noun,0.05388599535198831,207
10000,F_vitl_bv_align_10000_s1,model,all,-0.011340047889617488,607
10000,F_vitl_bv_align_10000_s1,model,noun,-0.05078991952997272,207
10000,F_vitl_bv_align_10000_s2,model,all,0.021273573427841967,607
10000,F_vitl_bv_align_10000_s2,model,noun,0.11673579326690789,207
30000,F_vitl_bv_align_30000_s0,model,all,0.006870617856894087,1382
30000,bv26a_align_30000,w2v,all,0.10049741527598034,1382
30000,F_vitl_bv_align_30000_s0,model,noun,0.04201857129771107,570
30000,bv26a_align_30000,w2v,noun,0.11781852556975211,570
30000,F_vitl_bv_align_30000_s1,model,all,0.0074336610555158335,1382
30000,F_vitl_bv_align_30000_s1,model,noun,-0.03402498936988948,570
30000,F_vitl_bv_align_30000_s2,model,all,0.03627331856494576,1382
30000,F_vitl_bv_align_30000_s2,model,noun,0.03368815929781699,570
100000,F_vitl_bv_align_100000_s0,model,all,0.05328858281198912,2901
100000,bv26a_align_100000,w2v,all,0.26864857477983733,2901
100000,F_vitl_bv_align_100000_s0,model,noun,0.06208044275123688,1205
100000,bv26a_align_100000,w2v,noun,0.329010584925177,1205
100000,F_vitl_bv_align_100000_s1,model,all,0.07783096245881237,2901
100000,F_vitl_bv_align_100000_s1,model,noun,0.051064976673756216,1205
100000,F_vitl_bv_align_100000_s2,model,all,0.0846028912775889,2901
100000,F_vitl_bv_align_100000_s2,model,noun,0.08212588463390616,1205
170000,F_vitl_bv_align_170000_s0,model,all,0.06635776912092475,3673
170000,bv26a_align_170000,w2v,all,0.26610461951519376,3673
170000,F_vitl_bv_align_170000_s0,model,noun,0.03678443082885321,1509
170000,bv26a_align_170000,w2v,noun,0.32863102900701285,1509
170000,F_vitl_bv_align_170000_s1,model,all,0.08569971951638503,3673
170000,F_vitl_bv_align_170000_s1,model,noun,0.14532295939483442,1509
170000,F_vitl_bv_align_170000_s2,model,all,0.09529165340569942,3673
170000,F_vitl_bv_align_170000_s2,model,noun,0.07069436122175714,1509
