scale,source,kind,category,spearman,n_pairs
10000,F_vits_bv_align_10000_s0,model,all,-0.011583022660504603,607
10000,bv26a_align_10000,w2v,all,-0.04820360810761686,607
10000,F_vits_bv_align_10000_s0,model,noun,-0.08919790383686933,207
10000,bv26a_align_10000,w2v,noun,0.05388599535198831,207
10000,F_vits_bv_align_10000_s1,model,all,0.04298904112208309,607
10000,F_vits_bv_align_10000_s1,model,noun,0.029587618823132145,207
10000,F_vits_bv_align_10000_s2,model,all,-0.015185735368673733,607
10000,F_vits_bv_align_10000_s2,model,noun,-0.03733795722811216,207
30000,F_vits_bv_align_30000_s0,model,all,0.01386127306103548,1382
30000,bv26a_align_30000,w2v,all,0.10049741527598034,1382
30000,F_vits_bv_align_30000_s0,model,noun,-0.009892532340879402,570
30000,bv26a_align_30000,w2v,noun,0.11781852556975211,570
30000,F_vits_bv_align_30000_s1,model,all,0.01883324212601395,1382
30000,F_vits_bv_align_30000_s1,model,noun,-0.03634031942952077,570
30000,F_vits_bv_align_30000_s2,model,all,0.016099590058854238,1382
30000,F_vits_bv_align_30000_s2,model,noun,0.012670772877627343,570
100000,F_vits_bv_align_100000_s0,model,all,0.052509794385675795,2901
100000,bv26a_align_100000,w2v,all,0.26864857477983733,2901
100000,F_vits_bv_align_100000_s0,model,noun,0.09161632064371185,1205
100000,bv26a_align_100000,w2v,noun,0.329010584925177,1205
100000,F_vits_bv_align_100000_s1,model,all,0.027452494835373802,2901
100000,F_vits_bv_align_100000_s1,model,noun,0.07760029064474266,1205
100000,F_vits_bv_align_100000_s2,model,all,0.06676859064071726,2901
100000,F_vits_bv_align_100000_s2,model,noun,0.09225599198740278,1205
170000,F_vits_bv_align_170000_s0,model,all,0.0609903402654136,3673
170000,bv26a_align_170000,w2v,all,0.26610461951519376,3673
170000,F_vits_bv_align_170000_s0,model,noun,0.07745617702804143,1509
170000,bv26a_align_170000,w2v,noun,0.32863102900701285,1509
170000,F_vits_bv_align_170000_s1,model,all,0.05569601061453038,3673
170000,F_vits_bv_align_170000_s1,model,noun,0.05725734278212807,1509
170000,F_vits_bv_align_170000_s2,model,all,0.04196683185153347,3673
170000,F_vits_bv_align_170000_s2,model,noun,0.0494808294501114,1509
