run,family,encoder,readout,seed,corrected,n_scored,n_oov,n_total
E_dinov3b_ots_grid_s0,E_dinov3b_ots_grid,dinov3b_ots,grid,0,73.03,60,0,60
E_dinov3b_ots_grid_s1,E_dinov3b_ots_grid,dinov3b_ots,grid,1,73.57,60,0,60
E_dinov3b_ots_grid_s2,E_dinov3b_ots_grid,dinov3b_ots,grid,2,70.38,60,0,60
E_dinov3b_ots_wf_s0,E_dinov3b_ots_wf,dinov3b_ots,wf,0,71.23,60,0,60
E_dinov3b_ots_wf_s1,E_dinov3b_ots_wf,dinov3b_ots,wf,1,73.07,60,0,60
E_dinov3b_ots_wf_s2,E_dinov3b_ots_wf,dinov3b_ots,wf,2,72.35,60,0,60
E_dinov3b_ots_wfc_s0,E_dinov3b_ots_wfc,dinov3b_ots,wfc,0,71.23,60,0,60
E_dinov3b_ots_wfc_s1,E_dinov3b_ots_wfc,dinov3b_ots,wfc,1,73.17,60,0,60
E_dinov3b_ots_wfc_s2,E_dinov3b_ots_wfc,dinov3b_ots,wfc,2,72.55,60,0,60
E_dinov3l_bv_grid_s0,E_dinov3l_bv_grid,dinov3l_bv,grid,0,40.45,60,0,60
E_dinov3l_bv_grid_s1,E_dinov3l_bv_grid,dinov3l_bv,grid,1,42.33,60,0,60
E_dinov3l_bv_grid_s2,E_dinov3l_bv_grid,dinov3l_bv,grid,2,38.78,60,0,60
E_dinov3l_bv_wf_s0,E_dinov3l_bv_wf,dinov3l_bv,wf,0,39.22,60,0,60
E_dinov3l_bv_wf_s1,E_dinov3l_bv_wf,dinov3l_bv,wf,1,42.05,60,0,60
E_dinov3l_bv_wf_s2,E_dinov3l_bv_wf,dinov3l_bv,wf,2,41.83,60,0,60
E_dinov3l_bv_wfc_s0,E_dinov3l_bv_wfc,dinov3l_bv,wfc,0,39.07,60,0,60
E_dinov3l_bv_wfc_s1,E_dinov3l_bv_wfc,dinov3l_bv,wfc,1,42.15,60,0,60
E_dinov3l_bv_wfc_s2,E_dinov3l_bv_wfc,dinov3l_bv,wfc,2,41.85,60,0,60
E_vjepa2l_bv_grid_s0,E_vjepa2l_bv_grid,vjepa2l_bv,grid,0,27.88,60,0,60
E_vjepa2l_bv_grid_s1,E_vjepa2l_bv_grid,vjepa2l_bv,grid,1,31.93,60,0,60
E_vjepa2l_bv_grid_s2,E_vjepa2l_bv_grid,vjepa2l_bv,grid,2,31.23,60,0,60
E_vjepa2l_bv_wf_s0,E_vjepa2l_bv_wf,vjepa2l_bv,wf,0,30.7,60,0,60
E_vjepa2l_bv_wf_s1,E_vjepa2l_bv_wf,vjepa2l_bv,wf,1,29.12,60,0,60
E_vjepa2l_bv_wf_s2,E_vjepa2l_bv_wf,vjepa2l_bv,wf,2,28.05,60,0,60
E_vjepa2l_bv_wfc_s0,E_vjepa2l_bv_wfc,vjepa2l_bv,wfc,0,30.88,60,0,60
E_vjepa2l_bv_wfc_s1,E_vjepa2l_bv_wfc,vjepa2l_bv,wfc,1,28.85,60,0,60
E_vjepa2l_bv_wfc_s2,E_vjepa2l_bv_wfc,vjepa2l_bv,wfc,2,28.0,60,0,60
E_zwm170m_bv_grid_s0,E_zwm170m_bv_grid,zwm170m_bv,grid,0,27.03,60,0,60
E_zwm170m_bv_grid_s1,E_zwm170m_bv_grid,zwm170m_bv,grid,1,29.08,60,0,60
E_zwm170m_bv_grid_s2,E_zwm170m_bv_grid,zwm170m_bv,grid,2,27.15,60,0,60
E_zwm170m_bv_wf_s0,E_zwm170m_bv_wf,zwm170m_bv,wf,0,29.68,60,0,60
E_zwm170m_bv_wf_s1,E_zwm170m_bv_wf,zwm170m_bv,wf,1,30.55,60,0,60
E_zwm170m_bv_wf_s2,E_zwm170m_bv_wf,zwm170m_bv,wf,2,29.1,60,0,60
E_zwm170m_bv_wfc_s0,E_zwm170m_bv_wfc,zwm170m_bv,wfc,0,29.57,60,0,60
E_zwm170m_bv_wfc_s1,E_zwm170m_bv_wfc,zwm170m_bv,wfc,1,30.52,60,0,60
E_zwm170m_bv_wfc_s2,E_zwm170m_bv_wfc,zwm170m_bv,wfc,2,29.0,60,0,60
E_zwm1b_bv_grid_s0,E_zwm1b_bv_grid,zwm1b_bv,grid,0,32.63,60,0,60
E_zwm1b_bv_grid_s1,E_zwm1b_bv_grid,zwm1b_bv,grid,1,34.08,60,0,60
E_zwm1b_bv_grid_s2,E_zwm1b_bv_grid,zwm1b_bv,grid,2,32.28,60,0,60
E_zwm1b_bv_wf_s0,E_zwm1b_bv_wf,zwm1b_bv,wf,0,35.42,60,0,60
E_zwm1b_bv_wf_s1,E_zwm1b_bv_wf,zwm1b_bv,wf,1,34.17,60,0,60
E_zwm1b_bv_wf_s2,E_zwm1b_bv_wf,zwm1b_bv,wf,2,33.8,60,0,60
E_zwm1b_bv_wfc_s0,E_zwm1b_bv_wfc,zwm1b_bv,wfc,0,36.12,60,0,60
E_zwm1b_bv_wfc_s1,E_zwm1b_bv_wfc,zwm1b_bv,wfc,1,34.47,60,0,60
E_zwm1b_bv_wfc_s2,E_zwm1b_bv_wfc,zwm1b_bv,wfc,2,34.33,60,0,60
