"form","measure","age","n_items","mean_p_know","pred_4afc"
"WG","understands",8,40,0.0999019607843137,32.4926470588235
"WG","understands",10,40,0.166666666666667,37.5
"WG","understands",12,40,0.261219512195122,44.5914634146341
"WG","understands",14,40,0.378461538461538,53.3846153846154
"WG","understands",16,40,0.617073170731707,71.280487804878
"WG","understands",18,40,0.651827676240209,73.8870757180157
"WS","produces",16,46,0.19107059373539,39.3302945301543
"WS","produces",18,46,0.26324357322119,44.7432679915892
"WS","produces",20,46,0.363509526229458,52.2632144672094
"WS","produces",22,46,0.484389963608504,61.3292472706378
"WS","produces",24,46,0.626326417523147,71.974481314236
"WS","produces",26,46,0.705944079130601,77.9458059347951
"WS","produces",28,46,0.86546349466776,89.909762100082
"WS","produces",30,46,0.793506347601393,84.5129760701045
