"age","word","p","n_admin","form","measure"
8,"airplane",0.0823529411764706,255,"WG","understands"
8,"apple",0.105882352941176,255,"WG","understands"
8,"ball",0.368627450980392,255,"WG","understands"
8,"balloon",0.0941176470588235,255,"WG","understands"
8,"bed",0.145098039215686,255,"WG","understands"
8,"bike",0.0470588235294118,255,"WG","understands"
8,"bird",0.113725490196078,255,"WG","understands"
8,"boot",0.0392156862745098,255,"WG","understands"
8,"bottle",0.368627450980392,255,"WG","understands"
8,"bowl",0.0588235294117647,255,"WG","understands"
8,"butterfly",0.0705882352941176,255,"WG","understands"
8,"button",0.0588235294117647,255,"WG","understands"
8,"cake",0.0588235294117647,255,"WG","understands"
8,"cat",0.219607843137255,255,"WG","understands"
8,"chair",0.0588235294117647,255,"WG","understands"
8,"cheese",0.0588235294117647,255,"WG","understands"
8,"clock",0.0509803921568627,255,"WG","understands"
8,"cookie",0.113725490196078,255,"WG","understands"
8,"crib",0.12156862745098,255,"WG","understands"
8,"dog",0.325490196078431,255,"WG","understands"
8,"doll",0.0980392156862745,255,"WG","understands"
8,"hat",0.0901960784313725,255,"WG","understands"
8,"jacket",0.0588235294117647,255,"WG","understands"
8,"juice",0.0980392156862745,255,"WG","understands"
8,"key",0.0941176470588235,255,"WG","understands"
8,"meat",0.0470588235294118,255,"WG","understands"
8,"necklace",0.0392156862745098,255,"WG","understands"
8,"pants",0.0705882352941176,255,"WG","understands"
8,"pen",0.0549019607843137,255,"WG","understands"
8,"phone",0.0862745098039216,255,"WG","understands"
8,"pizza",0.0549019607843137,255,"WG","understands"
8,"rock",0.0313725490196078,255,"WG","understands"
8,"shoe",0.0941176470588235,255,"WG","understands"
8,"socks",0.117647058823529,255,"WG","understands"
8,"spoon",0.0901960784313725,255,"WG","understands"
8,"train",0.0509803921568627,255,"WG","understands"
8,"tree",0.0549019607843137,255,"WG","understands"
8,"turtle",0.0549019607843137,255,"WG","understands"
8,"tv",0.0941176470588235,255,"WG","understands"
8,"watch",0.0549019607843137,255,"WG","understands"
10,"airplane",0.0931899641577061,279,"WG","understands"
10,"apple",0.175627240143369,279,"WG","understands"
10,"ball",0.523297491039427,279,"WG","understands"
10,"balloon",0.161290322580645,279,"WG","understands"
10,"bed",0.279569892473118,279,"WG","understands"
10,"bike",0.0681003584229391,279,"WG","understands"
10,"bird",0.204301075268817,279,"WG","understands"
10,"boot",0.046594982078853,279,"WG","understands"
10,"bottle",0.530465949820789,279,"WG","understands"
10,"bowl",0.0967741935483871,279,"WG","understands"
10,"butterfly",0.0681003584229391,279,"WG","understands"
10,"button",0.0645161290322581,279,"WG","understands"
