"word","b_produce","n_prod","p_produce","b_comprehend","n_comp","p_comprehend"
"mommy*",-4.6033311387813,14190,0.811486962649753,-4.68905161051615,5123,0.931680655865704
"daddy*",-4.55490065414407,14190,0.807329105003524,-4.30600407114515,5123,0.913136833886395
"bye",-3.66310221053191,14189,0.726055395024315,-3.43715819367243,5123,0.856724575444076
"ball",-3.6246723176282,14190,0.722410147991543,-2.87552509774427,5123,0.808120242045676
"uh oh",-3.45159175839317,14190,0.70584918957012,-1.89548805095038,5123,0.699590083935194
"no",-3.03640807553955,14189,0.665163154556346,-3.1814212706675,5123,0.835838375951591
"dog",-2.9971688469706,14190,0.66138125440451,-2.31475073267498,5123,0.74956080421628
"hi",-2.9344949497841,14190,0.655109231853418,-2.53526129065104,5123,0.77376537185243
"woof woof",-2.5724153897104,14188,0.619114744854807,-1.19952671477149,5123,0.607066172164747
"baby",-2.45514099836293,14190,0.607399577167019,-1.32197630446839,5123,0.624048409135272
"banana",-2.4431323451237,14190,0.606201550387597,-1.55984634240854,5123,0.65625609994144
"moo",-2.40074636351374,14188,0.601987595150832,-0.413071996164156,5123,0.494046457154011
"book",-2.36612685321594,14190,0.598520084566596,-2.43398466605406,5123,0.762834276790943
"shoe",-2.24382150879298,14190,0.586257928118393,-1.42333529754929,5123,0.63790747608823
"meow",-2.16099635247435,14188,0.578094164082323,-0.906034631373622,5123,0.565488971305875
"baa baa",-2.15462018787165,14188,0.577459825204398,-0.703009140935546,5123,0.536209252391177
"grrr",-1.96290322746544,14182,0.558242843040474,-0.239960394574629,5123,0.468865898887371
"car",-1.8959170445653,14190,0.551797040169133,-1.58927189657149,5123,0.6601600624634
"eye",-1.87807514784772,14189,0.549933046726337,-0.595443158373034,5123,0.520593402303338
"grandma*",-1.83520931836143,14189,0.545774896046233,-1.6694567445894,5123,0.670700761272692
"yum yum",-1.82012283433724,14181,0.544108313941189,-1.22752052773643,5123,0.610970134686707
"cat",-1.81661266433149,14189,0.544012967791952,-1.18974941912692,5123,0.605699785282061
"nose",-1.74639525443059,14190,0.536997885835095,-1.15908771916912,5123,0.601405426507906
"bird",-1.72916685712993,14188,0.535382012968706,-0.541767785853444,5123,0.512785477259418
"duck",-1.72270320704353,14188,0.534747674090781,-0.303096174397206,5123,0.478040210813976
"yes",-1.69898712708851,14188,0.532351282774175,-1.27813837630591,5123,0.617997267226235
"thank you",-1.67020780326671,14190,0.529598308668076,-0.527015255551964,5123,0.51063829787234
"quack quack",-1.66516550910583,14186,0.529042718172846,-0.288328498313385,5123,0.475893031426898
"balloon",-1.63850342311429,14188,0.526430786580209,-0.496177053668052,5123,0.506148740972087
"apple",-1.60964179106259,14190,0.523678646934461,-0.0781289085918846,5123,0.445442123755612
"milk",-1.57712068042592,14189,0.520473606314751,-1.6262575063905,5123,0.66504001561585
"ouch",-1.57495088869117,14189,0.520332652054408,-0.500198924174448,5123,0.506734335350381
"bubbles",-1.5162691305986,14188,0.514519312094728,0.0782876334922501,5123,0.422994339254343
"night night",-1.49593989271649,14185,0.51244272118435,-1.60995540468273,5123,0.662892836228772
"cheese",-1.46395308414809,14189,0.509479174008034,-0.258777653376052,5123,0.471598672652743
"bath",-1.43627850826613,14188,0.506766281364533,-2.53526129065103,5123,0.77376537185243
"vroom",-1.42898311184846,14178,0.505713076597545,-0.0997744521958738,5123,0.44856529377318
"cookie",-1.41731875088844,14188,0.504933746828306,-0.308465090760556,5123,0.478821003318368
"hot",-1.35664651246229,14185,0.499048290447656,0.0455073660590121,5123,0.427679094280695
"grandpa*",-1.29281289938237,14187,0.492916049904842,-0.854385642335256,5123,0.558071442514152
"please",-1.28980360424952,14189,0.492705617027275,0.61671515221514,5123,0.348233456958813
"water",-1.28766644124021,14189,0.49242370850659,-1.27249910561268,5123,0.617216474721843
"ear",-1.28472313479259,14187,0.492070205117361,-0.24533779750562,5123,0.469646691391763
"hat",-1.28104706468394,14190,0.491825229034531,-0.364808316426287,5123,0.487019324614484
"juice",-1.26853389558929,14190,0.490697674418605,-0.0997744521958735,5123,0.44856529377318
"shh/shush/hush",-1.21394206423371,14187,0.485373933883132,-0.46534610779972,5123,0.501659184071833
"fish",-1.15247686845357,14187,0.479593994502009,0.346805883819996,5123,0.385125902791333
"kitty",-1.1435614118589,14179,0.478454051766697,-0.703009140935546,5123,0.536209252391177
"bottle",-1.11309112281782,14187,0.475717205892719,-1.46081369160414,5123,0.642982627366777
"all gone",-1.10638978453635,14185,0.475149806133239,-1.95996742812693,5123,0.707593207105212
"choo choo",-1.09372790027714,14186,0.473988439306358,0.505543802370847,5123,0.363263712668358
"hello",-1.03997229983148,14187,0.468879960527243,-1.05664391996744,5123,0.586960765176654
"truck",-1.02125611884885,14185,0.467042650687346,0.258823217911776,5123,0.397423384735507
"up",-0.996516636472545,14187,0.464862197786706,-0.418433665183792,5123,0.494827249658403
"peekaboo",-0.990513716349237,14190,0.464341085271318,-2.70856171836187,5123,0.791723599453445
"more",-0.972476551957116,14184,0.462492949802594,-0.792075211050923,5123,0.549092328713644
"go",-0.913706552810864,14187,0.457108620568126,-0.443900488392439,5123,0.498536014054265
"diaper",-0.879675261182068,14185,0.453718716954529,-2.02697189367835,5123,0.715791528401327
"owie/boo boo",-0.872862537060808,14187,0.453161344893212,0.887799413081304,5123,0.312707398008979
"bear",-0.855424579698031,14185,0.451603806838209,0.278302406786538,5123,0.394690610970135
"child's own name",-0.822766783681987,14189,0.448657410670238,-3.1814212706675,5123,0.835838375951591
"cup",-0.815920210811343,14189,0.447952639368525,-1.03599739966184,5123,0.584032793285184
"cracker",-0.791538138779001,14183,0.445533385038426,-0.417093259054526,5123,0.494632051532305
"hair",-0.785444476130008,14189,0.445133554161675,-0.492155306601895,5123,0.505563146593793
"sock",-0.754890788564456,14187,0.442235849721576,-0.817786097638707,5123,0.552801093109506
"cow",-0.693562823603448,14187,0.436737858602946,0.0605217345623391,5123,0.425531914893617
"mine",-0.625737708464029,14184,0.430414551607445,1.21816145344275,5123,0.271910989654499
"mouth",-0.608723298013455,14185,0.428762777581953,-0.626334044034406,5123,0.525082959203592
"eat",-0.607948772018297,14186,0.428873537290286,-1.6754410483482,5123,0.671481553777084
"airplane",-0.565302701645772,14186,0.42492598336388,0.415859275051279,5123,0.375561194612532
"down",-0.555971718990649,14182,0.423988153998026,-0.277585253973032,5123,0.474331446418114
"spoon",-0.552871650620864,14189,0.423849460849954,-0.213059875824686,5123,0.464961936365411
"tree",-0.548200932363827,14186,0.423304666572677,0.645900153592272,5123,0.344329494436853
"outside",-0.517816708813015,14185,0.420585125132182,-1.09390502887764,5123,0.5922311145813
"door",-0.50299292736819,14187,0.419257066328329,-0.450602178974115,5123,0.499512004684755
"bus",-0.447416394370061,14189,0.414405525407005,1.20341444669281,5123,0.273667772789381
"flower",-0.430912547789576,14183,0.412606641754213,0.522751209144531,5123,0.360921335155182
"bed",-0.42305989718911,14187,0.412067385634736,-0.674737938174377,5123,0.532110091743119
"belly button",-0.409677657611887,14184,0.410744500846024,0.0277839864738324,5123,0.430216669919969
"boat",-0.40190891156467,9063,0.585788370296811,NA,NA,NA
